Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penghasilan Keuangan Yang Diterima,Pembayaran Beban Operasi Lainnya,Penerimaan Bunga,Pembayaran Beban Bunga Dan Keuangan,Penerimaan Restitusi Pajak,Pembayaran Atas Pemeriksaan Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tidak Lancar Lainnya,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pinjaman Kepada Pihak Berelasi,Penyertaan Saham Pada Entitas Anak,Penerimaan Dari Penjualan Investasi Di Entitas Anak,Akuisisi Entitas Anak Dikurangi Kas Yang Diperoleh,Akuisisi Kepentingan Non-Pengendali Di Entitas Anak,Perolehan Dari Penjualan Penyertaan Saham,Perolehan Saham Entitas Afiliasi,Penerimaan Dari Penyelesaian Aset Indemnifikasi,Uang Muka Investasi,Perolehan Saham Perusahaan Asosiasi,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Dari Mandatory Convertible Bond,Penerimaan Dari Hasil Penerbitan Saham Baru,Penerimaan Dari Wesel Bayar Jangka Menengah,Akuisisi Kepentingan Nonpengendali Di Entitas Anak,Pembayaran Utang Bank,Pembayaran Dari Wesel Bayar Jangka Menengah,Pembayaran Dividen Kas,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Setoran Modal Dari Kepentingan Nonpengendali,Pembayaran Beban Penerbitan Saham,Pembayaran Utang Pembiayaan Konsumen,Penjualan Saham Treasuri,Perolehan Saham Treasuri,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,"Saldo Akhir Tahun Kas Dan Setara Kas Milik Garuda Polyflex Foods Pvt,, Ltd,",Kas Dan Setara Kas Akhir Periode
12M 2017,535562596631.000000,7417383364030.000000,-4501179880555.000000,-976568456594.000000,,-1244935190592.000000,12033263949.000000,-106672373986.000000,24833222534.000000,,-89331352155.000000,535562596631.000000,-506361925263.000000,-461798923053.000000,,-67365178179.000000,12479401316.000000,,-5434439237.000000,19748744020.000000,,,,,,,,-3991530130.000000,-506361925263.000000,-120978452524.000000,1321057428410.000000,,,150000000000.000000,,-1328441975576.000000,-15000000000.000000,-227098836176.000000,-16062429522.000000,,,,-5432639660.000000,,,-120978452524.000000,-91777781156.000000,,222945245273.000000,-396509994.000000,130770954123.000000
12M 2018,656583909022.000000,8647167421846.000000,-5581152592604.000000,-1112846857119.000000,,-1038258962348.000000,6191750935.000000,-51378958053.000000,12595300.000000,,-213150488935.000000,656583909022.000000,-721661363376.000000,-513729145692.000000,,-218601115791.000000,19494782181.000000,,,,,,,,,,,-8825884074.000000,-721661363376.000000,152003679729.000000,14545785236872.000000,934999999859.000000,44940000000.000000,,,-14844530803538.000000,-320000000000.000000,-183082141237.000000,-14215990893.000000,,,-7606947463.000000,-4285673871.000000,,,152003679729.000000,86926225375.000000,,130770954123.000000,,217697179498.000000
12M 2019,474666272987.000000,9039744613108.000000,-6027824474351.000000,-1108820678522.000000,,-1212619580801.000000,15033906528.000000,-104271703697.000000,,,-126575809278.000000,474666272987.000000,-700018521732.000000,-426894611675.000000,,-282946451875.000000,14168920137.000000,,,,,,1000.000000,-1571560103.000000,,,,-2774819216.000000,-700018521732.000000,492791465514.000000,14591846881450.000000,,,,,-13943626013967.000000,,-132379748022.000000,-17695041568.000000,,,,-5354612379.000000,,,492791465514.000000,267439216769.000000,,217697179498.000000,,485136396267.000000
12M 2020,823166102577.000000,8388112526354.000000,-5160545710825.000000,-1121975277204.000000,,-937432886525.000000,885213077.000000,-242232869855.000000,,,-103644892445.000000,823166102577.000000,-1423903080349.000000,-415207107832.000000,,-28943294970.000000,24719536801.000000,,-982082391174.000000,,,,,-16025819595.000000,,,,-6364003579.000000,-1423903080349.000000,795198784519.000000,2975056121862.000000,,,,,-1876656957946.000000,,-213786027325.000000,-22100169547.000000,-30352414384.000000,,,-6882860665.000000,,-30078907476.000000,795198784519.000000,194461806747.000000,,664877027427.000000,,859338834174.000000
12M 2021,709767241234.000000,8699290367936.000000,-6597107874557.000000,-1100559505006.000000,20966076163.000000,,,-156283346822.000000,4359129387.000000,-4074000000.000000,-156823605867.000000,709767241234.000000,-331109457048.000000,-188071904604.000000,-10974930658.000000,,30498402214.000000,,-162561024000.000000,,,,,,,,,,-331109457048.000000,-333670697865.000000,1108338072839.000000,,,,,-1159853690219.000000,,-131923972638.000000,,-84200365708.000000,,,,,-66030742139.000000,-333670697865.000000,44987086321.000000,,859338834174.000000,,904325920495.000000
12M 2022,622229731268.000000,10413954957639.000000,-8266858994426.000000,-1252764616398.000000,15611207104.000000,,,-134722573780.000000,,,-152990248871.000000,622229731268.000000,-276938117371.000000,-342215707104.000000,-1600861225.000000,,74967356350.000000,,,,,,,,,,-8088905392.000000,,-276938117371.000000,-176442463836.000000,1398139639872.000000,,,,,-1291738973957.000000,,-221508548952.000000,,-58425279180.000000,,,,,-2909301619.000000,-176442463836.000000,168849150061.000000,,904325920495.000000,,1073175070556.000000
12M 2023,863578001049.000000,10450924074116.000000,-8028920352017.000000,-1279785755731.000000,30800723405.000000,,,-163557694007.000000,15815202720.000000,,-161698197437.000000,863578001049.000000,-325568637600.000000,-300984236117.000000,,,18337579801.000000,-29105608000.000000,,,,-3091775600.000000,,,,,-10724597684.000000,,-325568637600.000000,-494614342017.000000,202020186803.000000,,,,,-595222381004.000000,,-266912280210.000000,,-41064230925.000000,,,,210873838140.000000,-4309474821.000000,-494614342017.000000,43395021432.000000,,1073175070556.000000,,1116570091988.000000
12M 2024,1129893958833.000000,12053734670397.000000,-8959945176866.000000,-1556133075150.000000,51412738076.000000,,2349632863.000000,-178469141635.000000,12658772135.000000,,-295714460987.000000,1129893958833.000000,-530181427173.000000,-446943138066.000000,,,32365980939.000000,,,,-122392205435.000000,,,,83000000000.000000,-14250000000.000000,-6615000000.000000,-55347064611.000000,-530181427173.000000,-799616168417.000000,1380541120856.000000,,,,-410000000000.000000,-1381739861464.000000,,-358887729795.000000,,-31499365022.000000,2719124821.000000,,,8982600000.000000,-9732057813.000000,-799616168417.000000,-199903636757.000000,4869542648.000000,1116570091988.000000,,921535997879.000000
