Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,536 B,(533 B),2 B,0.36
12M 2018,657 B,(741 B),(85 B),-11.46
12M 2019,475 B,(713 B),(238 B),-32.24
12M 2020,823 B,(451 B),373 B,50.50
12M 2021,710 B,(188 B),522 B,14.14
12M 2022,622 B,(342 B),280 B,7.59
12M 2023,864 B,(301 B),563 B,15.25
12M 2024,"1,130 B",(502 B),628 B,17.01
