Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada:,Pemasok,Karyawan,Beban Umum Dan Administrasi Diluar Pembayaran Kepada Karyawan,Total Pembayaran Kepada:,Pembayaran Beban Keuangan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Kegiatan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Investasi,Investasi Pada Entitas Anak,Investasi Pada Entitas Asosiasi,Pengurangan (Penambahan) Piutang Lain-Lain,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Pembelian Aset Tak Berwujud,Penambahan Aset Tidak Berwujud,Perolehan Aset Real Estat,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Tambahan Modal Disetor,Penerimaan (Pembayaran) Utang Lain-Lain Jangka Panjang,Pembayaran Utang Sewa,Penerimaan Uang Muka Investasi,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Total Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Penurunan (Kenaikan) Piutang Pihak Berelasi,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Berelasi,Penerimaan (Pembayaran) Uang Muka,Penerimaan Utang Pemegang Saham,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Ketiga,Pembayaran Utang Lembaga Keuangan,Pembayarn Dividen,Penerimaan Utang Titipan,Penurunan (Kenaikan) Piutang Lain-Lain Pihak Berelasi,Penurunan (Kenaikan) Piutang Lain-Lain Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi Pada Tahun Berjalan,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-20015125905.000000,6885289816.000000,,-4840341800.000000,-4376217500.000000,,-9216559300.000000,,,,,-17683856421.000000,-20015125905.000000,-32145600.000000,,,,,-32145600.000000,,,,,-32145600.000000,22655940000.000000,,-199037105000.000000,,,195000000000.000000,,,,,195000000000.000000,,,156645000.000000,,,,,,,26536400000.000000,,22655940000.000000,2608668495.000000,,385347882.000000,2994016377.000000
12M 2020,-50852806739.000000,15286512740.000000,,-48557863501.000000,-3098576164.000000,,-51656439665.000000,-22164703735.000000,,,,7681823921.000000,-50852806739.000000,-622566228.000000,,,,,-597334000.000000,,,-25232228.000000,,-622566228.000000,50280061250.000000,76875031250.000000,-9438325000.000000,,,-17000000000.000000,,,,,-17000000000.000000,,,-156645000.000000,,,,,,,,,50280061250.000000,-1195311717.000000,,2994016377.000000,1798704660.000000
12M 2021,53963879905.000000,155564392155.000000,,-55409061098.000000,-14187987565.000000,,-69597048663.000000,-42490505247.000000,,,-8823864736.000000,19310906396.000000,53963879905.000000,-363821293963.000000,-216126611111.000000,-144998884615.000000,,,-1448281873.000000,,-1247516364.000000,,,-363821293963.000000,359813299037.000000,,,,,359969787003.000000,,,,,359969787003.000000,-156487966.000000,,,,,,,,,,,359813299037.000000,49955884979.000000,1964381700.000000,1798704660.000000,53718971339.000000
12M 2022,408566574863.000000,701620767884.000000,-293763543007.000000,,,,-293763543007.000000,-1352415458.000000,,,-1444676512.000000,3506441956.000000,408566574863.000000,-153047620880.000000,-20000000000.000000,-417620880.000000,-131040000000.000000,,,,,-1590000000.000000,,-153047620880.000000,-168900018026.000000,,,-1890892929.000000,,,-200000000000.000000,33279931571.000000,,,-166720068429.000000,-289056668.000000,,,,,,,,,,,-168900018026.000000,86618935957.000000,,53718971339.000000,140337907296.000000
12M 2023,-91374928683.000000,93527861036.000000,-186298612340.000000,,,,-186298612340.000000,-445804829.000000,,,-2200792729.000000,4042420179.000000,-91374928683.000000,-6655972677.000000,24446967711.000000,-562097065.000000,-4290000000.000000,-26237043323.000000,,,,-13800000.000000,,-6655972677.000000,25628865702.000000,,,-2201128078.000000,,,-361250908346.000000,370977116780.000000,-9998810228.000000,19920005201.000000,19647403407.000000,-317409627.000000,,8500000000.000000,,,,,,,,,25628865702.000000,-72402035658.000000,,140337907296.000000,67935871638.000000
12M 2024,-72988000000.000000,270062000000.000000,,-193772000000.000000,-71430000000.000000,-20658000000.000000,-285860000000.000000,,3558000000.000000,-1878000000.000000,-58870000000.000000,,-72988000000.000000,40413000000.000000,,,,29775000000.000000,-1685000000.000000,,,-177000000.000000,12500000000.000000,40413000000.000000,102077000000.000000,,,-2172000000.000000,4901000000.000000,,,43000000000.000000,-3000000.000000,,42997000000.000000,,,-8500000000.000000,,,74773000000.000000,-56000000.000000,-9866000000.000000,,,,102077000000.000000,69502000000.000000,,67936000000.000000,137438000000.000000
