Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,6885289816.000000,-6502318845.000000,382970971.000000,-15478148218.000000,,-15478148218.000000,-15478148218.000000,-15095177247.000000,-8750631428.000000,-10004465284.000000,,,1253833856.000000,-8750631428.000000,-23845808675.000000,10907895.000000,-23834900780.000000,24985740.000000,-23809915040.000000,-23834900780.000000,-23834900780.000000,,-23834900780.000000,-23809915040.000000,-23809915040.000000,,-23809915040.000000
12M 2020,11153312740.000000,-6658444305.000000,4494868435.000000,-13735448882.000000,,-13735448882.000000,-13735448882.000000,-9240580447.000000,-20109609579.000000,-24044703735.000000,,,3935094156.000000,-20109609579.000000,-29350190026.000000,94317574.000000,-29255872452.000000,-577045689.000000,-29832918141.000000,-29255872452.000000,-29255872452.000000,,-29255872452.000000,-29832918141.000000,-29832918141.000000,,-29832918141.000000
12M 2021,7460135157.000000,-5986525898.000000,1473609259.000000,-40101582824.000000,-8372465181.000000,-31729117643.000000,-40101582824.000000,-38627973565.000000,-37747417991.000000,-44155176749.000000,,,6407758758.000000,-37747417991.000000,-76375391556.000000,232023907.000000,-76143367649.000000,1444355371.000000,-74699012278.000000,-76143367649.000000,-76143367649.000000,,-76143367649.000000,-74699012278.000000,-74699012278.000000,,-74699012278.000000
12M 2022,,,,-67169061468.000000,-21752353035.000000,-45416708433.000000,-67169061468.000000,-67169061468.000000,8167491368.000000,-1352415458.000000,,,9519906826.000000,8167491368.000000,-59001570100.000000,-111969621.000000,-59113539721.000000,-283548790.000000,-59397088511.000000,-59113539721.000000,-59113498321.000000,-41400.000000,-59113539721.000000,-59397088511.000000,-59397047111.000000,-41400.000000,-59397088511.000000
12M 2023,539041194339.0,-218869932037.0,320171262302.0,-87123493019.0,-15054990639.0,-72068502380.0,-87123493019.0,233047769283.0,39747810915.0,-445804829.0,4042420179.0,-2650541694.0,38801737259.0,39747810915.0,272795580198.0,-11569935693.0,261225644505.0,170803533.0,261396448038.0,261225644505.0,261223138801.0,2505704.0,261225644505.0,261396448038.0,261393942334.0,2505704.0,261396448038.0
12M 2024,317941000000.0,-111668000000.0,206273000000.0,-117671000000.0,-17765000000.0,-99906000000.0,-117671000000.0,88602000000.0,9110000000.0,-1878000000.0,3558000000.0,-5363000000.0,12793000000.0,9110000000.0,97712000000.0,-14225000000.0,83487000000.0,2169000000.0,85656000000.0,83487000000.0,84945000000.0,-1458000000.0,83487000000.0,85656000000.0,87114000000.0,-1458000000.0,85656000000.0
