Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Real Estat,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pembelian Aset Tetap,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pembelian Aset Tetap,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,2994016377.000000,,,,9328812000.000000,,,9328812000.000000,,110031854783.000000,122354683160.000000,,30727540455.000000,,30186192954.000000,,101579647703.000000,28454315.000000,,162521835427.000000,284876518587.000000,,,29537257579.000000,,,,,,,,,,154171996.000000,8633085583.000000,,17000000000.000000,,,17000000000.000000,3750000000.000000,29537257579.000000,187940540357.000000,,178000000000.000000,,156645000.000000,,178156645000.000000,,41121850.000000,41121850.000000,190631247.000000,9438325000.000000,113817260.000000,187940540357.000000,217477797936.000000,,50000000000.000000,,17398720651.000000,,,67398720651.000000,284876518587.000000,500000000.000000
12M 2020,,,1798704660.000000,,,,4484475000.000000,,,4484475000.000000,,136425032500.000000,142708212160.000000,,51424538954.000000,,28149424390.000000,,97986749144.000000,267033311.000000,,177827745799.000000,320535957959.000000,,,80759957643.000000,,,2765556622.000000,2765556622.000000,,11699516667.000000,,,11699516667.000000,218370435.000000,7943313919.000000,,54000000000.000000,,,54000000000.000000,4133200000.000000,80759957643.000000,125335166555.000000,,124000000000.000000,,,,124000000000.000000,,,,,,1335166555.000000,125335166555.000000,206095124198.000000,,121000000000.000000,5875031250.000000,-12434197489.000000,,,114440833761.000000,320535957959.000000,1210000000.000000
12M 2021,,,53718971339.000000,,,,13313299082.000000,12773183697.000000,540115385.000000,13313299082.000000,39726712383.000000,265125220075.000000,371884202879.000000,,627337211200.000000,,2081602900.000000,6547293561.000000,17872828.000000,111969621.000000,,636095950110.000000,1007980152989.000000,,,439298532371.000000,9998810228.000000,,7552067365.000000,7552067365.000000,,,250630268359.000000,16817185213.000000,267447453572.000000,1027287275.000000,746400268.000000,,,289056668.000000,,289056668.000000,152237456995.000000,439298532371.000000,528938664966.000000,,527970976775.000000,458735366.000000,,,528429712141.000000,,,,,,508952825.000000,528938664966.000000,968237197337.000000,,121000000000.000000,5875031250.000000,-87133209767.000000,-418932.000000,1553101.000000,39742955652.000000,1007980152989.000000,1210000000.000000
12M 2022,,,140337907296.000000,,,,6656702946.000000,2785595969.000000,3871106977.000000,6656702946.000000,176891527599.000000,419247399972.000000,743133537813.000000,,603711611873.000000,130960437655.000000,3484762480.000000,6333760656.000000,1204064776.000000,,,745694637440.000000,1488828175253.000000,,,1446986012268.000000,9998810228.000000,,14882639743.000000,14882639743.000000,,,244092893246.000000,11778896219.000000,255871789465.000000,6163696511.000000,2441405389.000000,,301250908346.000000,317409627.000000,2201128078.000000,303769446051.000000,853858224881.000000,1446986012268.000000,61496295844.000000,,60000000000.000000,141325739.000000,,,60141325739.000000,,,,,,1354970105.000000,61496295844.000000,1508482308112.000000,,121000000000.000000,5875031250.000000,-146530256878.000000,-460332.000000,1553101.000000,-19654132859.000000,1488828175253.000000,1210000000.000000
12M 2023,,,67935871638.000000,,,,32893746269.000000,32893746269.000000,,32893746269.000000,264102263877.000000,258779866778.000000,623711748562.000000,,475981452484.000000,132599895961.000000,5343236069.000000,6120227751.000000,813481719.000000,212500000000.000000,,833358293984.000000,1457070042546.000000,,,838627192904.000000,19920005201.000000,,12250995387.000000,12250995387.000000,,,382626890816.000000,8500000000.000000,391126890816.000000,16561142974.000000,8940211739.000000,,,141325739.000000,1991502265.000000,2132828004.000000,387695118783.000000,838627192904.000000,376700534463.000000,,370977116780.000000,2156795970.000000,,,373133912750.000000,,,,,,3566621713.000000,376700534463.000000,1215327727367.000000,,121000000000.000000,5875031250.000000,114863685456.000000,3598473.000000,,241742315179.000000,1457070042546.000000,1210000000.000000
12M 2024,,,137438000000.000000,5682000000.000000,,5682000000.000000,2954000000.000000,2954000000.000000,,2954000000.000000,383439000000.000000,257918000000.000000,787431000000.000000,,453093000000.000000,127237000000.000000,5877000000.000000,5907000000.000000,562000000.000000,200000000000.000000,,792676000000.000000,1580107000000.000000,,,859826000000.000000,19917000000.000000,,14277000000.000000,14277000000.000000,,,457397000000.000000,,457397000000.000000,26785000000.000000,2572000000.000000,,20699000000.000000,37000000.000000,2353000000.000000,23089000000.000000,315789000000.000000,859826000000.000000,397982000000.000000,,393278000000.000000,,,48000000.000000,393326000000.000000,,,,,,4656000000.000000,397982000000.000000,1257808000000.000000,,121000000000.000000,5875000000.000000,191978000000.000000,3446000000.000000,,322299000000.000000,1580107000000.000000,1210000000.000000
