Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2018,,,0.00,0.00,,0.00%,0.00%,0.00%,
12M 2019,0.00 B,40722613.10,0.00,0.00,,32.15%,38.45%,102.14%,
12M 2020,0.00 B,41665.40,0.00,0.00,,3.28%,3.44%,7.33%,
12M 2021,1.00 B,9.85,0.00,0.00,,4.40%,8.03%,12.49%,
12M 2022,1.25 B,7.41,83.67,5.43,,4.55%,4.75%,5.56%,
12M 2023,1.25 B,7.74,6.85,0.51,,4.67%,4.75%,4.58%,
12M 2024,1.25 B,2.01,32.84,0.97,,1.19%,1.22%,1.09%,
