Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Final,Beban Umum Dan Administrasi,Total Final,Total Beban Usaha,Final,Beban Umum Dan Administrasi,Total Final,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,50062780767.000000,-43519333874.000000,6543446893.000000,-1134040333.000000,,-1134040333.000000,-1134040333.000000,-1134040333.000000,-1134040333.000000,-1134040333.000000,-1134040333.000000,5409406560.000000,15206250.000000,15206250.000000,15206250.000000,5424612810.000000,-1352351500.000000,4072261310.000000,,4072261310.000000,4072261310.000000,4072261310.000000,,4072261310.000000,4072261310.000000,4072261310.000000,,4072261310.000000
12M 2020,60058689097.000000,-52912145189.000000,7146543908.000000,-4069308705.000000,,-4069308705.000000,-4069308705.000000,-4069308705.000000,-4069308705.000000,-4069308705.000000,-4069308705.000000,3077235203.000000,99680648.000000,99680648.000000,99680648.000000,3176915851.000000,-676991551.000000,2499924300.000000,-319947278.000000,2179977022.000000,2499924300.000000,2499924300.000000,,2499924300.000000,2179977022.000000,2179977022.000000,,2179977022.000000
12M 2021,126611879577.000000,-106648859272.000000,19963020305.000000,-7678570032.000000,,-7678570032.000000,-7678570032.000000,-7678570032.000000,-7678570032.000000,-7678570032.000000,-7678570032.000000,12284450273.000000,272070847.000000,272070847.000000,272070847.000000,12556521120.000000,-2702578865.000000,9853942255.000000,124323937.000000,9978266192.000000,9853942255.000000,9853942255.000000,,9853942255.000000,9978266192.000000,9978266192.000000,,9978266192.000000
12M 2022,143045583951.000000,-120638514850.000000,22407069101.000000,-13518408335.000000,,-13518408335.000000,-13518408335.000000,-13518408335.000000,-13518408335.000000,-13518408335.000000,-13518408335.000000,8888660766.000000,521909036.000000,521909036.000000,521909036.000000,9410569802.000000,-129335458.000000,9281234344.000000,-27137744.000000,9254096600.000000,9281234344.000000,9281234344.000000,,9281234344.000000,9254096600.000000,9254096600.000000,,9254096600.000000
12M 2023,130026556493.000000,-107022533451.000000,23004023042.000000,-3393066855.000000,-3393066855.000000,-10408875458.000000,-3393066855.000000,-3393066855.000000,-3393066855.000000,-10408875458.000000,-3393066855.000000,9202080729.000000,499067752.000000,499067752.000000,499067752.000000,9701148481.000000,,9701148481.000000,293334943.000000,9994483424.000000,9701148481.000000,9701148481.000000,,9701148481.000000,9994483424.000000,9994483424.000000,,9994483424.000000
12M 2024,85299498625.000000,-72792075714.000000,12507422911.000000,-2260436714.000000,-2260436714.000000,-8010044897.000000,-2260436714.000000,-2260436714.000000,-2260436714.000000,-8010044897.000000,-2260436714.000000,2236941300.000000,278491327.000000,278491327.000000,278491327.000000,2515432627.000000,,2515432627.000000,-45106123.000000,2470326504.000000,2515432627.000000,2515432627.000000,,2515432627.000000,2470326504.000000,2470326504.000000,,2470326504.000000
