Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak,Kegiatan Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tak Berwujud,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Dividen Kas,Utang Pembiayaan,Setoran Modal Saham,Tambahan Modal Disetor,Biaya Emisi Saham,Uang Muka Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,,,,,,,,,,,,,,,,,,,,,,
12M 2019,2574002340.000000,47507390767.000000,-44333540875.000000,-564000000.000000,-51053802.000000,15206250.000000,2574002340.000000,-234000000.000000,,-234000000.000000,-234000000.000000,,,,,,,,,2340002340.000000,5689967382.000000,8029969722.000000
12M 2020,-57869511713.000000,64140056211.000000,-118923859567.000000,-1112000000.000000,-2073389005.000000,99680648.000000,-57869511713.000000,-9043053300.000000,,-9043053300.000000,-9043053300.000000,59997500000.000000,,,59997500000.000000,,,,59997500000.000000,-6915065013.000000,8029969722.000000,1114904709.000000
12M 2021,49512432311.000000,220828344568.000000,-164419130167.000000,-2215500000.000000,-22680000.000000,-4658602090.000000,49512432311.000000,-206907400.000000,-206907400.000000,,-206907400.000000,40000000000.000000,,,40000000000.000000,,,,40000000000.000000,89305524911.000000,1114904709.000000,90420429620.000000
12M 2022,-40700822712.000000,103506499822.000000,-130371691569.000000,-4226206958.000000,-4170837808.000000,-5438586199.000000,-40700822712.000000,-646806000.000000,-335000000.000000,-311806000.000000,-646806000.000000,63402850000.000000,,-111950000.000000,25300000000.000000,41000000000.000000,-2785200000.000000,,63402850000.000000,22055221288.000000,90420429620.000000,112475650908.000000
12M 2023,-44692764254.000000,59831769629.000000,-92262622577.000000,-4610968811.000000,-1607573030.000000,-6043369465.000000,-44692764254.000000,-200429850.000000,-151160000.000000,-49269850.000000,-200429850.000000,-1387340000.000000,-1253000000.000000,-134340000.000000,,,,,-1387340000.000000,-46280534104.000000,112475650908.000000,66195116804.000000
12M 2024,-18604262780.000000,50580089780.000000,-63128594639.000000,-3380800714.000000,-1034494261.000000,-1640462946.000000,-18604262780.000000,-8628976678.000000,-220720000.000000,-8408256678.000000,-8628976678.000000,-783230000.000000,-626500000.000000,-156730000.000000,,,,,-783230000.000000,-28016469458.000000,66195116804.000000,38178647346.000000
