Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Adjustment,Liabilitas Jangka Panjang,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Tambahan Modal Disetor,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,,,8029969722.000000,3255390000.000000,1048814362.000000,12334174084.000000,,331291667.000000,,,331291667.000000,12665465751.000000,,,2073389005.000000,,2073389005.000000,,,,,,2073389005.000000,,,,,,,,2073389005.000000,,2500000.000000,10589576746.000000,,,10589576746.000000,,10592076746.000000,12665465751.000000,100.000000
12M 2020,,,1114904709.000000,,67369622060.000000,68484526769.000000,,7581576511.000000,,140010309.000000,7721586820.000000,76206113589.000000,,,2800149325.000000,,2800149325.000000,,,,,,2800149325.000000,,636410496.000000,,,,636410496.000000,636410496.000000,3436559821.000000,,60000000000.000000,12769553768.000000,,,12769553768.000000,,72769553768.000000,76206113589.000000,60000.000000
12M 2021,,,90420429620.000000,2268914254.000000,125836585895.000000,218525929769.000000,,5397710236.000000,,129335458.000000,5527045694.000000,224052975463.000000,,,100717267058.000000,,6936885833.000000,,,,,93780381225.000000,100717267058.000000,,587888445.000000,,,,587888445.000000,587888445.000000,101305155503.000000,,100000000000.000000,22747819960.000000,,,22747819960.000000,,122747819960.000000,224052975463.000000,1000000000.000000
12M 2022,,,112475650908.000000,,87551986590.000000,200027637498.000000,,3595456019.000000,479958333.000000,,4075414352.000000,204103051850.000000,,,7561389310.000000,,3789000000.000000,422877940.000000,,111950000.000000,111950000.000000,3237561370.000000,7561389310.000000,,1024945980.000000,,179120000.000000,179120000.000000,845825980.000000,1024945980.000000,8586335290.000000,,125300000000.000000,32001916560.000000,100000000.000000,31901916560.000000,32001916560.000000,38214800000.000000,195516716560.000000,204103051850.000000,1253000000.000000
12M 2023,,,66195116804.000000,67161060703.000000,72792075715.000000,206148253222.000000,,1064232319.000000,479526146.000000,,1543758465.000000,207692011687.000000,,,2606471859.000000,,2494521859.000000,,,111950000.000000,111950000.000000,,2606471859.000000,,827339844.000000,,44780000.000000,44780000.000000,782559844.000000,827339844.000000,3433811703.000000,,125300000000.000000,40743399984.000000,200000000.000000,40543399984.000000,40743399984.000000,38214800000.000000,204258199984.000000,207692011687.000000,1253000000.000000
12M 2024,,,38178647346.000000,101880469548.000000,63128594640.000000,203187711534.000000,,7254432425.000000,520831146.000000,,7775263571.000000,210962975105.000000,,,3720464312.000000,,3720464312.000000,,,,,,3720464312.000000,,1140484305.000000,,,,1140484305.000000,1140484305.000000,4860948617.000000,,125300000000.000000,42587226488.000000,300000000.000000,42287226488.000000,42587226488.000000,38214800000.000000,206102026488.000000,210962975105.000000,1253000000.000000
