Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Investasi Ke Anak Perusahaan,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Bunga Utang Bank,Pembayaran Biaya Perolehan Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Bunga Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Pinjaman Ke Direksi,Setoran Modal,Tambahan Modal Disetor,Biaya Emisi Saham,Penerimaan Dari Pihak Berelasi,Pembayaran Utang Lain-Lain,Penerimaan Dari Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2017,-1274471054.000000,80875106223.000000,-65672859489.000000,-16142677542.000000,-334040246.000000,-1274471054.000000,-46145100896.000000,-46418122696.000000,,225000000.000000,,48021800.000000,-46145100896.000000,48233433653.000000,108566887783.000000,-80142820794.000000,-8681588894.000000,-373027700.000000,-959387721.000000,-176629021.000000,,,30000000000.000000,,,,,,48233433653.000000,813861703.000000,1565628217.000000,,2379489920.000000
12M 2018,11932704127.000000,77726826307.000000,-42082412172.000000,-21724726126.000000,-1986983882.000000,11932704127.000000,-31075915955.000000,-30867789830.000000,-1815600000.000000,1593181818.000000,,14292057.000000,-31075915955.000000,22097849350.000000,32380000000.000000,-41024507183.000000,-8654826867.000000,-100000000.000000,-858894694.000000,-129637416.000000,-24876490.000000,,26800000000.000000,18224000000.000000,-4513408000.000000,,,,22097849350.000000,2954637522.000000,2379489920.000000,,5334127442.000000
12M 2019,2868679623.000000,70182761876.000000,-42485715895.000000,-23375904081.000000,-1452462277.000000,2868679623.000000,-4907476138.000000,-13881584466.000000,-162548000.000000,9124929560.000000,,11726768.000000,-4907476138.000000,-1615217724.000000,21700000000.000000,-35353471449.000000,-8012056995.000000,-132500000.000000,-698777849.000000,-172951939.000000,-272864812.000000,,4278200.000000,6845120.000000,,23266282000.000000,-2200000000.000000,250000000.000000,-1615217724.000000,-3654014239.000000,5334127442.000000,,1680113203.000000
12M 2020,15434809282.000000,69773993770.000000,-32639463626.000000,-21322299700.000000,-377421162.000000,15434809282.000000,-231503814.000000,-285773319.000000,,,,54269505.000000,-231503814.000000,-16227364349.000000,1626300000.000000,-7815942963.000000,-6797899499.000000,-214322975.000000,-936044051.000000,-820151940.000000,-1539328921.000000,,10000.000000,16000.000000,,270000000.000000,,,-16227364349.000000,-1024058881.000000,1680113203.000000,,656054322.000000
