Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,2379489920.000000,22587495066.000000,16965400245.000000,5622094821.000000,22587495066.000000,728085981.000000,11423651060.000000,374472899.000000,37493194926.000000,,143895609918.000000,2115817608.000000,4769387500.000000,150780815026.000000,188274009952.000000,,,71268156761.000000,54319342453.000000,,4239295495.000000,,4239295495.000000,290645100.000000,2201301527.000000,1827101550.000000,,7646424351.000000,,737213567.000000,8383637918.000000,6832718.000000,71268156761.000000,30074678867.000000,,20738350210.000000,,726426405.000000,21464776615.000000,,8609902252.000000,30074678867.000000,101342835628.000000,,50000000000.000000,,5133328808.000000,,,5133328808.000000,,31797845516.000000,86931174324.000000,188274009952.000000,500000000.000000
12M 2018,,,5334127442.000000,18200605170.000000,12598689288.000000,5601915882.000000,18200605170.000000,749852681.000000,27135307471.000000,579130484.000000,51999023248.000000,,172670033281.000000,1989708754.000000,4065600000.000000,178725342035.000000,230724365283.000000,,,73167363109.000000,53505004900.000000,,6942302970.000000,,6942302970.000000,2204899400.000000,465274233.000000,826855787.000000,,8452385005.000000,92560390.000000,617872886.000000,9162818281.000000,60207538.000000,73167363109.000000,21236264486.000000,,12132470580.000000,197563120.000000,749872392.000000,13079906092.000000,,8156358394.000000,21236264486.000000,94403627595.000000,,76800000000.000000,13710592000.000000,7656627298.000000,,,7656627298.000000,,38153518390.000000,136320737688.000000,230724365283.000000,768000000.000000
12M 2019,,,1680113203.000000,22957309000.000000,16512043589.000000,6445265411.000000,22957309000.000000,757252681.000000,41486577795.000000,626787580.000000,67508040259.000000,,185782769363.000000,1772049072.000000,267548000.000000,187822366435.000000,255330406694.000000,,,45005291875.000000,24945329747.000000,,8058241281.000000,,8058241281.000000,4899400.000000,879714458.000000,1113752246.000000,,7697207587.000000,1539326895.000000,645135371.000000,9881669853.000000,121684890.000000,45005291875.000000,64241978731.000000,,27807424283.000000,5393195611.000000,310832058.000000,33511451952.000000,23266282000.000000,7464244779.000000,64241978731.000000,109247270606.000000,,76804278200.000000,13717437120.000000,9819574153.000000,,,9819574153.000000,235348161.000000,45506498454.000000,146083136088.000000,255330406694.000000,768042782.000000
12M 2020,,,656054322.000000,17763968011.000000,9975239779.000000,7788728232.000000,17763968011.000000,672121681.000000,47394412187.000000,877920642.000000,67364476843.000000,,184748332497.000000,2450127431.000000,162548000.000000,187361007928.000000,254725484771.000000,,,50492727356.000000,24916019577.000000,,8723340827.000000,,8723340827.000000,899400.000000,2974150210.000000,3065913766.000000,,8287561790.000000,1704962068.000000,19923378.000000,10012447236.000000,799956340.000000,50492727356.000000,57390773518.000000,,20972867674.000000,3688231517.000000,,24661099191.000000,23536282000.000000,9193392327.000000,57390773518.000000,107883500874.000000,,76804288200.000000,13717453120.000000,3216800557.000000,,,3216800557.000000,212648432.000000,52890793588.000000,146841983897.000000,254725484771.000000,768042882.000000
