Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,1135990874.000000,19196832907.000000,19196832907.000000,19196832907.000000,88956578.000000,88956578.000000,88956578.000000,18402130895.000000,972771758.000000,39796683012.000000,,21158494383.000000,342647477.000000,608868987.000000,22110010847.000000,61906693859.000000,,,35395417912.000000,7144244111.000000,,25562743006.000000,25562743006.000000,191082090.000000,1386511378.000000,,1043502109.000000,67335218.000000,1110837327.000000,,35395417912.000000,23167667283.000000,,10303520985.000000,5930840.000000,10309451825.000000,,5402681839.000000,6131205000.000000,11533886839.000000,1324328619.000000,23167667283.000000,58563085195.000000,,2500000000.000000,,843608664.000000,,843608664.000000,843608664.000000,,3343608664.000000,61906693859.000000,250000.000000
12M 2021,,,1256956398.000000,16237583812.000000,16237583812.000000,16237583812.000000,73555380.000000,73555380.000000,73555380.000000,17494268258.000000,1106428589.000000,36168792437.000000,,20337862484.000000,447289055.000000,200260196.000000,20985411735.000000,57154204172.000000,,,28249367226.000000,7221818458.000000,,18246503345.000000,18246503345.000000,211247288.000000,1480477115.000000,,1083390180.000000,5930840.000000,1089321020.000000,,28249367226.000000,20593011040.000000,,9220120596.000000,,9220120596.000000,,4541713291.000000,5031205000.000000,9572918291.000000,1799972153.000000,20593011040.000000,48842378266.000000,,2500000000.000000,,5819065719.000000,,5819065719.000000,5819065719.000000,-7239813.000000,8311825906.000000,57154204172.000000,250000.000000
12M 2022,,,1512905327.000000,25108383338.000000,25108383338.000000,25108383338.000000,93897978.000000,93897978.000000,93897978.000000,23752901244.000000,1497784133.000000,51965872020.000000,,19768408332.000000,576160710.000000,1679832762.000000,22024401804.000000,73990273824.000000,,,40771099055.000000,8659934995.000000,,29247604296.000000,29247604296.000000,189943853.000000,791686643.000000,,1791164016.000000,90765252.000000,1881929268.000000,,40771099055.000000,18824061054.000000,,9063776620.000000,166402964.000000,9230179584.000000,,3576924070.000000,3631205000.000000,7208129070.000000,2385752400.000000,18824061054.000000,59595160109.000000,,2625000000.000000,,11786306740.000000,,11786306740.000000,11786306740.000000,-16193025.000000,14395113715.000000,73990273824.000000,262500.000000
12M 2023,,,1024192551.000000,24420596549.000000,24420596549.000000,24420596549.000000,468522978.000000,468522978.000000,468522978.000000,40536664440.000000,1755809166.000000,68205785684.000000,,19069448520.000000,843893624.000000,3788471619.000000,23701813763.000000,91907599447.000000,,,58347394795.000000,13476708270.000000,,41380947465.000000,41380947465.000000,367437695.000000,758650539.000000,,2272885574.000000,90765252.000000,2363650826.000000,,58347394795.000000,10054646018.000000,,6575732354.000000,75637712.000000,6651370066.000000,,,81973647.000000,81973647.000000,3321302305.000000,10054646018.000000,68402040813.000000,,18625000000.000000,,4910221746.000000,400000000.000000,4510221746.000000,4910221746.000000,-29663112.000000,23505558634.000000,91907599447.000000,1862500000.000000
12M 2024,,,70712482788.000000,35870375903.000000,35870375903.000000,35870375903.000000,176350354.000000,176350354.000000,176350354.000000,63288232217.000000,1252888288.000000,171300329550.000000,,30530306856.000000,1104744356.000000,12886046508.000000,44521097720.000000,215821427270.000000,,,91922402087.000000,53529645142.000000,,32508992835.000000,32508992835.000000,484095158.000000,1986539629.000000,,2975077988.000000,384053491.000000,3359131479.000000,53997844.000000,91922402087.000000,16850484142.000000,,12209093151.000000,523253069.000000,12732346220.000000,,,,,4118137922.000000,16850484142.000000,108772886229.000000,,23281458190.000000,73814047702.000000,9937135173.000000,400000000.000000,9537135173.000000,9937135173.000000,15899976.000000,107048541041.000000,215821427270.000000,1862500000.000000
