Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasional Dan Lainnya,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Penerimaan Dari Tagihan Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Kas Dari Pelepasanaset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank Dan Lembaga Keuangan,Penerimaan Utang Bank Dan Lembaga Keuangan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Pembiayaan Konsumen,Pembayaran Utang Pihak Ketiga,Pembayaran Utang Pihak Berelasi,Penerimaan Dari Penawaran Umum Perdana,Setoran Modal Entitas Anak Dari Nonpengendali,Penerimaan Dari Pelaksanaan Waran,Biaya Emisi Saham,Penerimaan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-823982611.000000,84436698830.000000,-69847735822.000000,-9127506508.000000,-2469311182.000000,15471947.000000,-2839119876.000000,,-992480000.000000,-823982611.000000,-1664453936.000000,-834453936.000000,,,,-830000000.000000,-1664453936.000000,-2373130193.000000,-1298789804.000000,,,,-60740773.000000,-763599616.000000,-250000000.000000,,,,,,-2373130193.000000,-4861566740.000000,-1146686497.000000,-6008253237.000000
12M 2021,3598630660.000000,129335683397.000000,-100917414742.000000,-15182885593.000000,-5648790484.000000,9692731.000000,-2596271000.000000,,-1401383649.000000,3598630660.000000,-483423399.000000,-563423399.000000,,,80000000.000000,,-483423399.000000,-3071816084.000000,-1043512318.000000,,,,-67335218.000000,-860968548.000000,-1100000000.000000,,,,,,-3071816084.000000,43391177.000000,-6008253237.000000,-5964862060.000000
12M 2022,1251808425.000000,135215263482.000000,-103392951445.000000,-16200586390.000000,-7877425012.000000,9010444.000000,-2617701361.000000,,-3883801293.000000,1251808425.000000,-724558290.000000,-365258290.000000,,,270700000.000000,-630000000.000000,-724558290.000000,-1709417743.000000,-1405864514.000000,1957294374.000000,,,-21058382.000000,-964789221.000000,-1400000000.000000,,,,,125000000.000000,-1709417743.000000,-1182167608.000000,-5964862060.000000,-7147029668.000000
12M 2023,-1178753852.000000,206287019261.000000,-162600936127.000000,-26136130518.000000,-11500876673.000000,7609354.000000,-3139546572.000000,,-4095892577.000000,-1178753852.000000,-903488816.000000,-429524852.000000,,,,-473963964.000000,-903488816.000000,-3223243383.000000,-11006322708.000000,9000000000.000000,,,-90765252.000000,-526155423.000000,-600000000.000000,,,,,,-3223243383.000000,-5305486051.000000,-7147029668.000000,-12452515719.000000
12M 2024,-35133470625.000000,213056833921.000000,-198275858929.000000,-30609641723.000000,-11366059093.000000,152109470.000000,-4283597787.000000,6967170.000000,-3814223654.000000,-35133470625.000000,-12246105625.000000,-3027551041.000000,-8249590620.000000,123000000.000000,,-1091963964.000000,-12246105625.000000,96888058617.000000,-13989874981.000000,11605428192.000000,28023129002.000000,-8150000000.000000,-218751130.000000,,-81973647.000000,81484375000.000000,1000000.000000,4163800.000000,-1789437619.000000,,96888058617.000000,49508482367.000000,-12452515719.000000,37055966648.000000
