Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,14392.39,0.00,0.00,10.42 B,5.81%,107.61%,65.28%,3.05
12M 2021,0.00 B,19901.83,0.00,0.00,11.86 B,8.71%,59.86%,36.43%,3.89
12M 2022,0.00 B,22732.35,0.00,0.00,12.97 B,8.06%,41.45%,36.60%,4.34
12M 2023,1.86 B,1.68,0.00,0.00,10.79 B,3.40%,13.29%,27.19%,2.89
12M 2024,1.86 B,2.70,42.59,0.95,14.60 B,2.33%,4.70%,15.97%,2.94
