Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,92652309017.000000,-69323528809.000000,23328780208.000000,-14675256370.000000,-6367568380.000000,-8307687990.000000,,-14675256370.000000,8653523838.000000,-3979298419.000000,15471947.000000,-2839119876.000000,-1155650490.000000,-3979298419.000000,4674225419.000000,-1076128023.000000,3598097396.000000,,3598097396.000000,3598097396.000000,3598097396.000000,,3598097396.000000,3598097396.000000,3598097396.000000,,3598097396.000000
12M 2021,126554142107.000000,-94513096094.000000,32041046013.000000,-21945906765.000000,-10387616212.000000,-11558290553.000000,,-21945906765.000000,10095139248.000000,-3318785587.000000,9692731.000000,-2596271000.000000,-732207318.000000,-3318785587.000000,6776353661.000000,-1800896606.000000,4975457055.000000,-7239813.000000,4968217242.000000,4975457055.000000,4975457055.000000,,4975457055.000000,4968217242.000000,4968217242.000000,,4968217242.000000
12M 2022,144221393248.000000,-107650509244.000000,36570884004.000000,-25200888868.000000,-12298772912.000000,-12902115956.000000,,-25200888868.000000,11369995136.000000,-3541643700.000000,9010444.000000,-2617701361.000000,-932952783.000000,-3541643700.000000,7828351436.000000,-1861110415.000000,5967241021.000000,-8953212.000000,5958287809.000000,5967241021.000000,5967241021.000000,,5967241021.000000,5958287809.000000,5958287809.000000,,5958287809.000000
12M 2023,185478063383.000000,-138167407806.000000,47310655577.000000,-38233471071.000000,-19459520664.000000,-18773950407.000000,,-38233471071.000000,9077184506.000000,-4711502684.000000,7609354.000000,-3139546572.000000,-1579565466.000000,-4711502684.000000,4365681822.000000,-1241766816.000000,3123915006.000000,-13470087.000000,3110444919.000000,3123915006.000000,3123915006.000000,,3123915006.000000,3110444919.000000,3110444919.000000,,3110444919.000000
12M 2024,224841464958.000000,-166652336522.000000,58189128436.000000,-45615591581.000000,-23140122522.000000,-22475469059.000000,,-45615591581.000000,12573536855.000000,-5800722633.000000,152109470.000000,-4283597787.000000,-1669234316.000000,-5800722633.000000,6772814222.000000,-1746220998.000000,5026593224.000000,44883291.000000,5071476515.000000,5026593224.000000,5026913427.000000,-320203.000000,5026593224.000000,5071476515.000000,5071796718.000000,-320203.000000,5071476515.000000
