Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,792629169034.000000,-654291460051.000000,138337708983.000000,-135564854110.000000,-129724979139.000000,-5844707141.000000,4832170.000000,-135564854110.000000,2772854873.000000,1251588208.000000,1500183700.000000,-4876426100.000000,3703538.000000,4624127070.000000,1251588208.000000,4024443081.000000,-725200367.000000,,-725200367.000000,,-725200367.000000,3299242714.000000,,,,3299242714.000000,3299242714.000000,3299242714.000000,,3299242714.000000,3299242714.000000,3299242714.000000,,3299242714.000000
12M 2010,1588162432018.000000,-1274538016140.000000,313624415878.000000,-282246200388.000000,-269097227920.000000,-13844954643.000000,695982175.000000,-282246200388.000000,31378215490.000000,-21205785917.000000,2050412057.000000,-32079670502.000000,-148685204.000000,8972157732.000000,-21205785917.000000,10172429573.000000,31017904.000000,,31017904.000000,,31017904.000000,10203447477.000000,,,,10203447477.000000,10203447477.000000,10203447477.000000,,10203447477.000000,10203447477.000000,10203447477.000000,,10203447477.000000
12M 2011,2583564000000.000000,-2034714000000.000000,548850000000.000000,-473669000000.000000,-430761000000.000000,-43923000000.000000,1015000000.000000,-473669000000.000000,75181000000.000000,-38645000000.000000,5945000000.000000,-44815000000.000000,225000000.000000,,-38645000000.000000,36536000000.000000,-4915000000.000000,-4443000000.000000,-472000000.000000,,-4915000000.000000,31621000000.000000,,,,31621000000.000000,31621000000.000000,31621000000.000000,,31621000000.000000,31621000000.000000,31621000000.000000,,31621000000.000000
12M 2012,3871951000000.000000,-3063767000000.000000,808184000000.000000,-711956000000.000000,-646808000000.000000,-62834000000.000000,-2314000000.000000,-711956000000.000000,96228000000.000000,-55768000000.000000,2096000000.000000,-57864000000.000000,,,-55768000000.000000,40460000000.000000,4541000000.000000,,,,4541000000.000000,45001000000.000000,,,,45001000000.000000,45001000000.000000,45001000000.000000,,45001000000.000000,45001000000.000000,45001000000.000000,,45001000000.000000
12M 2013,4962851000000.000000,-3885101000000.000000,1077750000000.000000,-930017000000.000000,-873032000000.000000,-81215000000.000000,24230000000.000000,-930017000000.000000,147733000000.000000,-70100000000.000000,1959000000.000000,-72059000000.000000,,,-70100000000.000000,77633000000.000000,-10307000000.000000,,,,-10307000000.000000,67326000000.000000,,,,67326000000.000000,67326000000.000000,67326000000.000000,,67326000000.000000,67326000000.000000,67326000000.000000,,67326000000.000000
12M 2014,6027859000000.000000,-4608398000000.000000,1419461000000.000000,-1150284000000.000000,-1072482000000.000000,-110908000000.000000,33106000000.000000,-1150284000000.000000,269177000000.000000,-94062000000.000000,1899000000.000000,-95961000000.000000,,,-94062000000.000000,175115000000.000000,-36491000000.000000,,,,-36491000000.000000,138624000000.000000,,,,138624000000.000000,138624000000.000000,138624000000.000000,,138624000000.000000,138624000000.000000,138624000000.000000,,138624000000.000000
12M 2015,7171904000000.000000,-5383601000000.000000,1788303000000.000000,-1462375000000.000000,-1376555000000.000000,-137915000000.000000,52095000000.000000,-1462375000000.000000,325928000000.000000,-138031000000.000000,1494000000.000000,-139525000000.000000,,,-138031000000.000000,187897000000.000000,-47386000000.000000,-42051000000.000000,,-5335000000.000000,-47386000000.000000,140511000000.000000,6893000000.000000,6893000000.000000,6893000000.000000,147404000000.000000,140511000000.000000,140511000000.000000,,140511000000.000000,147404000000.000000,147404000000.000000,,147404000000.000000
12M 2016,8493119000000.000000,-6316597000000.000000,2176522000000.000000,-1754612000000.000000,-1659469000000.000000,-163212000000.000000,68069000000.000000,-1754612000000.000000,421910000000.000000,-167534000000.000000,1305000000.000000,-168839000000.000000,,,-167534000000.000000,254376000000.000000,-58333000000.000000,-52454000000.000000,,-5879000000.000000,-58333000000.000000,196043000000.000000,6392000000.000000,6392000000.000000,6392000000.000000,202435000000.000000,196043000000.000000,196043000000.000000,,196043000000.000000,202435000000.000000,202435000000.000000,,202435000000.000000
12M 2017,9767592000000.000000,-7346291000000.000000,2421301000000.000000,-2088135000000.000000,-2000902000000.000000,-174382000000.000000,87149000000.000000,-2088135000000.000000,333166000000.000000,-203931000000.000000,971000000.000000,-204902000000.000000,,,-203931000000.000000,129235000000.000000,-26423000000.000000,-20437000000.000000,,-5986000000.000000,-26423000000.000000,102812000000.000000,-15959000000.000000,-15959000000.000000,-15959000000.000000,86853000000.000000,102812000000.000000,102812000000.000000,,102812000000.000000,86853000000.000000,86853000000.000000,,86853000000.000000
12M 2018,10701575000000.000000,-8022481000000.000000,2679094000000.000000,-2265237000000.000000,-2204814000000.000000,-192863000000.000000,132440000000.000000,-2265237000000.000000,413857000000.000000,-206163000000.000000,1067000000.000000,-207230000000.000000,,,-206163000000.000000,207694000000.000000,-48540000000.000000,-37944000000.000000,,-10596000000.000000,-48540000000.000000,159154000000.000000,29138000000.000000,29138000000.000000,29138000000.000000,188292000000.000000,159154000000.000000,159151000000.000000,3000000.000000,159154000000.000000,188292000000.000000,188289000000.000000,3000000.000000,188292000000.000000
