Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,86.35,0.00,86.35,16 B,87 B,103 B,38 B,47 B
12M 2010,2.95,130.46,2.95,130.46,234 B,221 B,455 B,244 B,(37 B)
12M 2011,3.01,141.43,3.01,141.43,206 B,266 B,472 B,289 B,(38 B)
12M 2012,5.12,154.30,5.12,154.30,300 B,433 B,733 B,532 B,(112 B)
12M 2013,3.05,173.75,3.05,173.75,366 B,442 B,808 B,562 B,(145 B)
12M 2014,2.72,214.85,2.72,214.85,566 B,434 B,"1,000 B",875 B,(254 B)
12M 2015,3.06,255.24,3.06,255.24,696 B,776 B,"1,472 B","1,344 B",(346 B)
12M 2016,2.61,310.55,2.61,310.55,"1,106 B","1,023 B","2,129 B","1,918 B",(525 B)
12M 2017,3.28,320.18,3.28,320.18,"1,414 B","1,079 B","2,493 B","2,264 B",(761 B)
12M 2018,2.85,374.80,2.85,374.80,"1,488 B",801 B,"2,289 B","2,092 B",(785 B)
12M 2019,2.72,423.44,2.72,423.44,"1,203 B",707 B,"1,911 B","1,669 B",(643 B)
12M 2020,3.97,485.08,3.97,485.08,"1,325 B",724 B,"2,050 B","1,812 B","(1,190 B)"
12M 2021,3.94,560.58,3.94,560.58,"1,244 B",607 B,"1,850 B","1,607 B","(1,156 B)"
12M 2022,4.31,689.02,4.31,689.02,800 B,766 B,"1,565 B","1,149 B",(893 B)
12M 2023,3.84,111.85,3.84,111.85,63 B,,63 B,(264 B),(177 B)
12M 2024,3.48,123.50,3.48,123.50,,,,(378 B),(238 B)
