Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,64922334709.000000,13923719667.000000,8027366794.000000,5896352873.000000,13923719667.000000,1781127705.000000,,,1781127705.000000,98679604113.000000,25733509702.000000,205040295896.000000,,,,177134470142.000000,115104283187.000000,292238753329.000000,497279049225.000000,,,157747778309.000000,,,111580586099.000000,12631583597.000000,124212169696.000000,10378525555.000000,,,10378525555.000000,1358875532.000000,3635103837.000000,,13529459571.000000,2278621605.000000,,15808081176.000000,2355022513.000000,157747778309.000000,90630007068.000000,,85310254712.000000,2170547642.000000,,87480802354.000000,137783714.000000,3011421000.000000,90630007068.000000,248377785377.000000,,245000000000.000000,,3901263848.000000,500000000.000000,3401263848.000000,3901263848.000000,,,248901263848.000000,497279049225.000000,2882353000.000000
12M 2010,,,210987998736.000000,15811930271.000000,15811930271.000000,,15811930271.000000,2967774444.000000,,,2967774444.000000,192008804715.000000,51196251284.000000,472972759450.000000,,,,401054636739.000000,240776077354.000000,641830714093.000000,1114803473543.000000,,,509950563376.000000,135955731573.000000,,231063335066.000000,14396143444.000000,245459478510.000000,9292215889.000000,,,9292215889.000000,1161947607.000000,14257545504.000000,,95845392848.000000,2563666336.000000,,98409059184.000000,5414585109.000000,509950563376.000000,228832362538.000000,,219123147491.000000,1857816237.000000,,220980963728.000000,106765810.000000,7744633000.000000,228832362538.000000,738782925914.000000,,288235300000.000000,73680536304.000000,14104711325.000000,500000000.000000,13604711325.000000,14104711325.000000,,,376020547629.000000,1114803473543.000000,2882353000.000000
12M 2011,,,183604000000.000000,24564000000.000000,23864000000.000000,700000000.000000,24564000000.000000,16236000000.000000,,,16236000000.000000,227098000000.000000,94088000000.000000,545590000000.000000,,,,437976000000.000000,291618000000.000000,729594000000.000000,1275184000000.000000,,,583490000000.000000,70000000000.000000,,313154000000.000000,7423000000.000000,320577000000.000000,19410000000.000000,,,19410000000.000000,9345000000.000000,11518000000.000000,,133538000000.000000,2788000000.000000,,136326000000.000000,16314000000.000000,583490000000.000000,284052000000.000000,,263307000000.000000,2689000000.000000,,265996000000.000000,579000000.000000,17477000000.000000,284052000000.000000,867542000000.000000,,288235000000.000000,73681000000.000000,45726000000.000000,1000000000.000000,44726000000.000000,45726000000.000000,,,407642000000.000000,1275184000000.000000,2882353000.000000
12M 2012,,,201061000000.000000,43645000000.000000,43614000000.000000,31000000.000000,43645000000.000000,31955000000.000000,,,31955000000.000000,324841000000.000000,105832000000.000000,707334000000.000000,,,16281000000.000000,599302000000.000000,409490000000.000000,1025073000000.000000,1732407000000.000000,,,819076000000.000000,70000000000.000000,,450577000000.000000,3432000000.000000,454009000000.000000,18113000000.000000,,,18113000000.000000,8044000000.000000,15581000000.000000,,227288000000.000000,2957000000.000000,,230245000000.000000,23084000000.000000,819076000000.000000,468593000000.000000,,430414000000.000000,2730000000.000000,,433144000000.000000,,35449000000.000000,468593000000.000000,1287669000000.000000,,288235000000.000000,73681000000.000000,82822000000.000000,1500000000.000000,81322000000.000000,82822000000.000000,,,444738000000.000000,1732407000000.000000,2882353000.000000
12M 2013,,,246150000000.000000,45326000000.000000,38774000000.000000,6552000000.000000,45326000000.000000,41022000000.000000,39767000000.000000,1255000000.000000,41022000000.000000,526776000000.000000,113981000000.000000,973255000000.000000,,,24681000000.000000,623414000000.000000,487547000000.000000,1135642000000.000000,2108897000000.000000,,,1118686000000.000000,70000000000.000000,,623691000000.000000,39047000000.000000,662738000000.000000,35582000000.000000,,,35582000000.000000,4077000000.000000,22194000000.000000,,292047000000.000000,3751000000.000000,,295798000000.000000,28297000000.000000,1118686000000.000000,489388000000.000000,,438999000000.000000,3208000000.000000,,442207000000.000000,,47181000000.000000,489388000000.000000,1608074000000.000000,,288235000000.000000,73681000000.000000,138907000000.000000,2000000000.000000,136907000000.000000,138907000000.000000,,,500823000000.000000,2108897000000.000000,2882353000.000000
12M 2014,,,125223000000.000000,75581000000.000000,75536000000.000000,45000000.000000,75581000000.000000,78856000000.000000,76198000000.000000,2658000000.000000,78856000000.000000,740589000000.000000,178230000000.000000,1198479000000.000000,,,32886000000.000000,779386000000.000000,568716000000.000000,1380988000000.000000,2579467000000.000000,,,1452875000000.000000,209188000000.000000,,700204000000.000000,26492000000.000000,726696000000.000000,62203000000.000000,,,62203000000.000000,19785000000.000000,32395000000.000000,,353271000000.000000,3218000000.000000,,356489000000.000000,46119000000.000000,1452875000000.000000,507321000000.000000,,432936000000.000000,1496000000.000000,,434432000000.000000,,72889000000.000000,507321000000.000000,1960196000000.000000,,288235000000.000000,73681000000.000000,257355000000.000000,2500000000.000000,254855000000.000000,257355000000.000000,,,619271000000.000000,2579467000000.000000,2882353000.000000
12M 2015,,,127934000000.000000,206111000000.000000,203499000000.000000,2612000000.000000,206111000000.000000,31726000000.000000,31726000000.000000,,31726000000.000000,758064000000.000000,177744000000.000000,1301579000000.000000,,,31687000000.000000,1054122000000.000000,845254000000.000000,1931063000000.000000,3232642000000.000000,,,1647881000000.000000,292229000000.000000,,768197000000.000000,26754000000.000000,794951000000.000000,63565000000.000000,,,63565000000.000000,8839000000.000000,46250000000.000000,,401394000000.000000,2028000000.000000,,403422000000.000000,38625000000.000000,1647881000000.000000,849056000000.000000,,775207000000.000000,1144000000.000000,,776351000000.000000,,72705000000.000000,849056000000.000000,2496937000000.000000,,288235000000.000000,73681000000.000000,364084000000.000000,3000000000.000000,361084000000.000000,364084000000.000000,,9705000000.000000,735705000000.000000,3232642000000.000000,2882353000.000000
12M 2016,,,211041000000.000000,281569000000.000000,280144000000.000000,1425000000.000000,281569000000.000000,27386000000.000000,27379000000.000000,7000000.000000,27386000000.000000,973331000000.000000,226840000000.000000,1720167000000.000000,,,34902000000.000000,1428451000000.000000,1077763000000.000000,2541116000000.000000,4261283000000.000000,,,2245119000000.000000,580000000000.000000,,940651000000.000000,9324000000.000000,949975000000.000000,82565000000.000000,,,82565000000.000000,12938000000.000000,47310000000.000000,,524772000000.000000,978000000.000000,22581000000.000000,548331000000.000000,24000000000.000000,2245119000000.000000,1121059000000.000000,,1022729000000.000000,655000000.000000,7390000000.000000,1030774000000.000000,,90285000000.000000,1121059000000.000000,3366178000000.000000,,288235000000.000000,73881000000.000000,516892000000.000000,3500000000.000000,513392000000.000000,516892000000.000000,,16097000000.000000,895105000000.000000,4261283000000.000000,2882353000.000000
12M 2017,,,229109000000.000000,320014000000.000000,315813000000.000000,4201000000.000000,320014000000.000000,22345000000.000000,22345000000.000000,,22345000000.000000,1130712000000.000000,268660000000.000000,1970840000000.000000,,,45604000000.000000,1625214000000.000000,1236457000000.000000,2907275000000.000000,4878115000000.000000,,,2732215000000.000000,725000000000.000000,,1086078000000.000000,19986000000.000000,1106064000000.000000,,99873000000.000000,16000000.000000,99889000000.000000,12912000000.000000,46542000000.000000,,688166000000.000000,945000000.000000,25697000000.000000,714808000000.000000,27000000000.000000,2732215000000.000000,1223030000000.000000,,1078314000000.000000,923000000.000000,6531000000.000000,1085768000000.000000,,137262000000.000000,1223030000000.000000,3955245000000.000000,,288235000000.000000,73881000000.000000,560616000000.000000,4500000000.000000,556116000000.000000,560616000000.000000,,138000000.000000,922870000000.000000,4878115000000.000000,2882353000.000000
12M 2018,,,196898000000.000000,427390000000.000000,3926000000.000000,423464000000.000000,427390000000.000000,67077000000.000000,67077000000.000000,,67077000000.000000,1189510000000.000000,293651000000.000000,2174526000000.000000,,,48828000000.000000,1598162000000.000000,1138629000000.000000,2785619000000.000000,4960145000000.000000,,,2959873000000.000000,813000000000.000000,,1110430000000.000000,11395000000.000000,1121825000000.000000,,232812000000.000000,2099000000.000000,234911000000.000000,12118000000.000000,40696000000.000000,,674088000000.000000,670000000.000000,37002000000.000000,711760000000.000000,25563000000.000000,2959873000000.000000,919451000000.000000,,800743000000.000000,253000000.000000,6194000000.000000,807190000000.000000,,112261000000.000000,919451000000.000000,3879324000000.000000,,288235000000.000000,73881000000.000000,688926000000.000000,5500000000.000000,683426000000.000000,688926000000.000000,503000000.000000,29276000000.000000,1080821000000.000000,4960145000000.000000,2882353000.000000
