Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan Dan Beban Usaha,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Beban Usaha,Penerimaan Tagihan Pajak Penghasilan,Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Uang Muka,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Sewa Pembelian Aset Tetap,Sewa Jangka Panjang,Total Penambahan Uang Muka,Penambahan Sewa Jangka Panjang,Penambahan Aset Tangguhan,Penambahan Aset Hak Guna,Penambahan Uang Muka Aset Hak Guna,Penerimaan Bunga,Investasi Jangka Panjang,Penambahan Beban Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hutang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Hutang Bank Jangka Panjang,Hutang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Hutang Bank Jangka Pendek,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Bunga,Penambahan Setoran Modal Saham,Beban Emisi Saham,Penambahan Modal Dengan Hmetd,Setoran Saham Pihak Non Pengendali,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,49399028572.000000,781816090041.000000,-631993231204.000000,-54128291340.000000,1500183700.000000,-3710685530.000000,-500803925.000000,-52287849691.000000,,8703616521.000000,49399028572.000000,-163546851290.000000,630000000.000000,-86964646235.000000,,,,-76228936556.000000,-76228936556.000000,,,,,,,-983268499.000000,-163546851290.000000,141278685735.000000,,98500000000.000000,,98500000000.000000,,,,,-2221314265.000000,,,45000000000.000000,,,,,141278685735.000000,27130863017.000000,37791471692.000000,64922334709.000000
12M 2010,111333044147.000000,1589333784011.000000,-1244864419704.000000,-117082081118.000000,2050412057.000000,-27289715166.000000,-1965487082.000000,-97404737313.000000,,8555288462.000000,111333044147.000000,-428616207725.000000,1053181818.000000,-264191661949.000000,,,,-162515830224.000000,-162515830224.000000,,,,,,,-2961897370.000000,-428616207725.000000,463348827605.000000,,214269446401.000000,,214269446401.000000,,135718231573.000000,,135718231573.000000,-3554686673.000000,,,118897075000.000000,-1981238696.000000,,,,463348827605.000000,146065664027.000000,64922334709.000000,210987998736.000000
12M 2011,69061000000.000000,2585711000000.000000,-2006220000000.000000,-470515000000.000000,5859000000.000000,-41733000000.000000,-4393000000.000000,,352000000.000000,,69061000000.000000,-106396000000.000000,5402000000.000000,-103345000000.000000,,-8453000000.000000,,,-8453000000.000000,,,,,,,,-106396000000.000000,9951000000.000000,,198000000000.000000,-117391000000.000000,80609000000.000000,,,-65956000000.000000,-65956000000.000000,-4702000000.000000,,,,,,,,9951000000.000000,-27384000000.000000,210988000000.000000,183604000000.000000
12M 2012,200833000000.000000,3859639000000.000000,-3038850000000.000000,-560089000000.000000,2133000000.000000,161000000.000000,-53688000000.000000,,-8473000000.000000,,200833000000.000000,-428460000000.000000,7491000000.000000,-239492000000.000000,,-9069000000.000000,,-187390000000.000000,-196459000000.000000,,,,,,,,-428460000000.000000,245084000000.000000,,396000000000.000000,-138056000000.000000,257944000000.000000,,,,,-4955000000.000000,,,,,,,-7905000000.000000,245084000000.000000,17457000000.000000,183604000000.000000,201061000000.000000
12M 2013,338554000000.000000,4955025000000.000000,-3886213000000.000000,-668940000000.000000,1964000000.000000,-68389000000.000000,-19170000000.000000,,,24277000000.000000,338554000000.000000,-340961000000.000000,8061000000.000000,-140370000000.000000,,-12064000000.000000,,,-12064000000.000000,-185506000000.000000,-11082000000.000000,,,,,,-340961000000.000000,47496000000.000000,,293575000000.000000,-226944000000.000000,66631000000.000000,,,,,-7894000000.000000,,,,,,,-11241000000.000000,47496000000.000000,45089000000.000000,201061000000.000000,246150000000.000000
12M 2014,347941000000.000000,6006784000000.000000,-4765275000000.000000,-898099000000.000000,,,-44697000000.000000,,,49228000000.000000,347941000000.000000,-543096000000.000000,14437000000.000000,-279665000000.000000,,-16320000000.000000,,,-16320000000.000000,-259621000000.000000,-3871000000.000000,,,1944000000.000000,,,-543096000000.000000,74228000000.000000,,346500000000.000000,-294375000000.000000,52125000000.000000,,139188000000.000000,,139188000000.000000,-5260000000.000000,,-91649000000.000000,,,,,-20176000000.000000,74228000000.000000,-120927000000.000000,246150000000.000000,125223000000.000000
12M 2015,552062000000.000000,7063091000000.000000,-5332445000000.000000,-1185299000000.000000,,,-44459000000.000000,,,51174000000.000000,552062000000.000000,-844482000000.000000,1890000000.000000,-406880000000.000000,,-14709000000.000000,,,-14709000000.000000,-389642000000.000000,-36635000000.000000,,,1494000000.000000,,,-844482000000.000000,286060000000.000000,,742500000000.000000,-355903000000.000000,386597000000.000000,,83042000000.000000,,83042000000.000000,-4037000000.000000,,-137748000000.000000,,,,,-41794000000.000000,286060000000.000000,-6360000000.000000,134294000000.000000,127934000000.000000
12M 2016,696506000000.000000,8424561000000.000000,-6391751000000.000000,-1352508000000.000000,,,-55833000000.000000,,,72037000000.000000,696506000000.000000,-1057992000000.000000,1660000000.000000,-569984000000.000000,,-9679000000.000000,,,-9679000000.000000,-446531000000.000000,-34763000000.000000,,,1305000000.000000,,,-1057992000000.000000,444593000000.000000,,800000000000.000000,-426389000000.000000,373611000000.000000,,287000000000.000000,,287000000000.000000,-2057000000.000000,,-170726000000.000000,,,,,-43235000000.000000,444593000000.000000,83107000000.000000,127934000000.000000,211041000000.000000
12M 2017,792739000000.000000,9725419000000.000000,-7332672000000.000000,-1628463000000.000000,,,-60176000000.000000,,,88631000000.000000,792739000000.000000,-875063000000.000000,3712000000.000000,-434113000000.000000,,-35262000000.000000,,,-35262000000.000000,-363940000000.000000,-46431000000.000000,,,971000000.000000,,,-875063000000.000000,100392000000.000000,,750000000000.000000,-530556000000.000000,219444000000.000000,,145000000000.000000,,145000000000.000000,-1239000000.000000,,-203725000000.000000,,,,,-59088000000.000000,100392000000.000000,18068000000.000000,211041000000.000000,229109000000.000000
12M 2018,869407000000.000000,10594571000000.000000,-8082206000000.000000,-1737786000000.000000,,,-42322000000.000000,,,137150000000.000000,869407000000.000000,-456756000000.000000,2557000000.000000,-194729000000.000000,,-2341000000.000000,,,-2341000000.000000,-249656000000.000000,-13654000000.000000,,,1067000000.000000,,,-456756000000.000000,-444862000000.000000,,400000000000.000000,-694444000000.000000,-294444000000.000000,,88000000000.000000,,88000000000.000000,-945000000.000000,,-207132000000.000000,,,,500000000.000000,-30841000000.000000,-444862000000.000000,-32211000000.000000,229109000000.000000,196898000000.000000
