Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Pembibitan,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,1480291000.000000,15027680000.000000,15027680000.000000,,15027680000.000000,13405698000.000000,,,13405698000.000000,490968000.000000,19306018000.000000,49710655000.000000,,3574821000.000000,479916524000.000000,1394700000.000000,3264652000.000000,,352600368000.000000,840751065000.000000,890461720000.000000,,,98376680000.000000,22000000000.000000,,14628671000.000000,,14628671000.000000,,,,,19770219000.000000,7800052000.000000,,,2023938000.000000,32153800000.000000,34177738000.000000,,98376680000.000000,403597950000.000000,,,3044853000.000000,398690654000.000000,401735507000.000000,,1862443000.000000,403597950000.000000,501974630000.000000,,200000000.000000,,-171142000.000000,,,-171142000.000000,1942291000.000000,386515941000.000000,388487090000.000000,890461720000.000000,200.000000
12M 2020,,,11901009000.000000,8623288000.000000,8623288000.000000,,8623288000.000000,10922577000.000000,,,10922577000.000000,3343975000.000000,28286214000.000000,63077063000.000000,,3821469000.000000,454770397000.000000,697350000.000000,,,229778817000.000000,689068033000.000000,752145096000.000000,,,142346960000.000000,22000000000.000000,,18702784000.000000,,18702784000.000000,,,,,22967662000.000000,8045057000.000000,,,1592278000.000000,41106963000.000000,42699241000.000000,27932216000.000000,142346960000.000000,361577758000.000000,,,1452575000.000000,357583096000.000000,359035671000.000000,327227000.000000,2214860000.000000,361577758000.000000,503924718000.000000,,95000000000.000000,,-176928000.000000,,,-176928000.000000,1209487000.000000,152187819000.000000,248220378000.000000,752145096000.000000,95000.000000
12M 2021,,,49794073000.000000,12524905000.000000,12524905000.000000,,12524905000.000000,4290720000.000000,,,4290720000.000000,48165574000.000000,52005795000.000000,166781067000.000000,,4016198000.000000,426086336000.000000,,2019979000.000000,,50133313000.000000,482255826000.000000,649036893000.000000,,,173070407000.000000,20000000000.000000,,17486191000.000000,,17486191000.000000,,,990000000.000000,990000000.000000,36868613000.000000,7719011000.000000,,,975473000.000000,70045808000.000000,71021281000.000000,18985311000.000000,173070407000.000000,290381780000.000000,,,477102000.000000,287174792000.000000,287651894000.000000,,2729886000.000000,290381780000.000000,463452187000.000000,,95000000000.000000,74004715000.000000,15127718000.000000,,,15127718000.000000,1452273000.000000,,185584706000.000000,649036893000.000000,95000.000000
12M 2022,,,303674882000.000000,14585588000.000000,14585588000.000000,,14585588000.000000,1370153000.000000,,,1370153000.000000,9209714000.000000,131605517000.000000,460445854000.000000,,1021921000.000000,442458213000.000000,,1367150000.000000,,60942609000.000000,505789893000.000000,966235747000.000000,,,211339579000.000000,65000000000.000000,,18397776000.000000,,18397776000.000000,,,2212305000.000000,2212305000.000000,35930173000.000000,6367519000.000000,,,1290566000.000000,80591000000.000000,81881566000.000000,1550240000.000000,211339579000.000000,211488380000.000000,,,1339839000.000000,207074000000.000000,208413839000.000000,,3074541000.000000,211488380000.000000,422827959000.000000,,120000000000.000000,342008199000.000000,76643674000.000000,,,76643674000.000000,1357327000.000000,3398588000.000000,543407788000.000000,966235747000.000000,12000000000.000000
12M 2023,,,188243798000.000000,24997740000.000000,24997740000.000000,,24997740000.000000,10727622000.000000,,,10727622000.000000,27372146000.000000,286675160000.000000,538016466000.000000,,1545987000.000000,686504991000.000000,,2089553000.000000,,103637560000.000000,793778091000.000000,1331794557000.000000,,,166153040000.000000,27990000000.000000,,40302339000.000000,,40302339000.000000,,,2080485000.000000,2080485000.000000,16030858000.000000,12352670000.000000,,3475350000.000000,427158000.000000,63074000000.000000,66976508000.000000,420180000.000000,166153040000.000000,581165509000.000000,,4514535000.000000,678219000.000000,571776500000.000000,576969254000.000000,26512000.000000,4169743000.000000,581165509000.000000,747318549000.000000,,120001213000.000000,342025182000.000000,115876183000.000000,12304736000.000000,103571447000.000000,115876183000.000000,1491343000.000000,5082087000.000000,584476008000.000000,1331794557000.000000,12000121302.000000
12M 2024,,,164519625000.000000,29793983000.000000,29793983000.000000,,29793983000.000000,12709021000.000000,,,12709021000.000000,46745699000.000000,414989361000.000000,668757689000.000000,,1727180000.000000,776861557000.000000,,368915000.000000,,70723154000.000000,849680806000.000000,1518438495000.000000,,,171440965000.000000,20000000000.000000,,36911506000.000000,,36911506000.000000,,,5990000000.000000,5990000000.000000,28527689000.000000,6750738000.000000,,2921054000.000000,875134000.000000,68928500000.000000,72724688000.000000,536344000.000000,171440965000.000000,717661480000.000000,,1936307000.000000,682285000.000000,709787667000.000000,712406259000.000000,95526000.000000,5159695000.000000,717661480000.000000,889102445000.000000,,120523974000.000000,350127806000.000000,156037874000.000000,22553011000.000000,133484863000.000000,156037874000.000000,1699963000.000000,946433000.000000,629336050000.000000,1518438495000.000000,12052397422.000000
