Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,154098540000.000000,-83259147000.000000,70839393000.000000,-26491661000.000000,,,-26491661000.000000,44347732000.000000,-38113634000.000000,501907000.000000,,-41512738000.000000,2897197000.000000,-38113634000.000000,6234098000.000000,-2607613000.000000,-3239533000.000000,631920000.000000,,-2607613000.000000,3626485000.000000,-6831000.000000,-6831000.000000,-6831000.000000,3619654000.000000,3626485000.000000,3607634000.000000,18851000.000000,3626485000.000000,3619654000.000000,3600838000.000000,18816000.000000,3619654000.000000
12M 2020,227698441000.000000,-121611175000.000000,106087266000.000000,-38503246000.000000,,,-38503246000.000000,67584020000.000000,-39701204000.000000,380220000.000000,,-42944244000.000000,2862820000.000000,-39701204000.000000,27882816000.000000,-7506694000.000000,-3911820000.000000,-3594874000.000000,,-7506694000.000000,20376122000.000000,-10618000.000000,-10618000.000000,-10618000.000000,20365504000.000000,20376122000.000000,20274212000.000000,101910000.000000,20376122000.000000,20365504000.000000,20263647000.000000,101857000.000000,20365504000.000000
12M 2021,512355743000.000000,-346313132000.000000,166042611000.000000,-51551854000.000000,,,-51551854000.000000,114490757000.000000,-51310433000.000000,356586000.000000,,-39545341000.000000,-12121678000.000000,-51310433000.000000,63180324000.000000,-15309023000.000000,-17651441000.000000,2342418000.000000,,-15309023000.000000,47871301000.000000,-16973000.000000,-16973000.000000,-16973000.000000,47854328000.000000,47871301000.000000,47638430000.000000,232871000.000000,47871301000.000000,47854328000.000000,47621542000.000000,232786000.000000,47854328000.000000
12M 2022,627880911000.000000,-453690848000.000000,174190063000.000000,-52378737000.000000,,,-52378737000.000000,121811326000.000000,-31852038000.000000,1490623000.000000,1285000000.000000,-35603032000.000000,975371000.000000,-31852038000.000000,89959288000.000000,-28075591000.000000,-27420572000.000000,-655019000.000000,,-28075591000.000000,61883697000.000000,-7764000.000000,-7764000.000000,-7764000.000000,61875933000.000000,61883697000.000000,61523703000.000000,359994000.000000,61883697000.000000,61875933000.000000,61515956000.000000,359977000.000000,61875933000.000000
12M 2023,710983008000.000000,-585234712000.000000,125748296000.000000,-63069238000.000000,,,-63069238000.000000,62679058000.000000,7079617000.000000,5939362000.000000,2120300000.000000,-37383553000.000000,36403508000.000000,7079617000.000000,69758675000.000000,-18383265000.000000,-19076650000.000000,693385000.000000,,-18383265000.000000,51375410000.000000,-8885000.000000,-8885000.000000,-8885000.000000,51366525000.000000,51375410000.000000,51241374000.000000,134036000.000000,51375410000.000000,51366525000.000000,51232509000.000000,134016000.000000,51366525000.000000
12M 2024,1006858372000.000000,-827428969000.000000,179429403000.000000,-73043130000.000000,,,-73043130000.000000,106386273000.000000,-26331924000.000000,5599278000.000000,1257900000.000000,-39651066000.000000,6461964000.000000,-26331924000.000000,80054349000.000000,-27808886000.000000,-26054483000.000000,-1754403000.000000,,-27808886000.000000,52245463000.000000,124972000.000000,124972000.000000,124972000.000000,52370435000.000000,52245463000.000000,52036897000.000000,208566000.000000,52245463000.000000,52370435000.000000,52161815000.000000,208620000.000000,52370435000.000000
