Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,18038170.00,0.00,0.00,66.53 B,0.41%,0.93%,11.20%,1.07
12M 2020,0.00 B,213412.76,0.00,0.00,99.56 B,2.70%,8.21%,9.64%,1.57
12M 2021,0.00 B,501457.16,0.00,0.00,147.37 B,7.34%,25.87%,21.09%,2.90
12M 2022,12.00 B,5.13,25.15,2.47,154.94 B,6.37%,11.35%,19.79%,3.42
12M 2023,12.00 B,4.27,35.13,2.53,101.26 B,3.85%,8.79%,6.53%,1.68
12M 2024,12.05 B,4.32,27.78,1.44,150.52 B,3.43%,8.29%,8.47%,2.68
