Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,0.51,0.5,1.18,2.3,0.0,0.0,1.18,0.51,1.3
12M 2020,0.44,0.42,1.72,3.04,0.0,0.0,1.67,0.56,2.04
12M 2021,0.96,0.69,2.06,3.52,0.0,0.0,1.79,0.58,2.52
12M 2022,2.18,2.14,0.66,1.78,0.0,0.0,0.1,0.37,0.78
12M 2023,3.24,3.07,1.15,2.28,0.0,0.0,0.83,0.5,1.28
12M 2024,3.9,3.63,1.28,2.42,0.0,0.0,1.02,0.53,1.42
