Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Penerimaan Dari Penghasilan Keuangan,Kenaikan Piutang Lain-Lain,Pihak Berelasi,Total Kenaikan Piutang Lain-Lain,Pembayaran Atas Beban Keuangan,Pembayaran Atas Pajak Penghasilan,Penerimaan Atas Klaim Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaa Dari Penjualan Aset Tetap,Penurunan Aset Tidak Lancar Lainnya,Kenaikan Aset Lancar Lainnya,Akuisisi Entitas Anak,Perolehan Kas Dan Bank Dari Akuisisi Entitas Anak,Perolehan Aset Tetap,Perolehan Aset Tak-Berwujud,Pembayaran Piutang Plasma,Perolehan Tanaman Menghasilkan,Penambahan Tanaman Perkebunan Belum Menghasilkan,Penurunan Plasma,Perolehan Pembibitan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penambahan Modal Saham Melalui Ipo,Penerimaan Dari Penambahan Modal Saham Melalui Waran Seri I,Penerimaan Uang Muka Setoran Modal,Pembayaran Dari Pinjaman Bank Jangka Pendek,Penerimaan Dari Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Dari Pinjaman Bank Jangka Panjang,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Kenaikan Utang Lain-Lain Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Penurunan Utang Lain-Lain,Pihak Berelasi,Total Penurunan Utang Lain-Lain,Pembayaran Biaya Emisi Saham,Pembayaran Dividen Kas,Pembayaran Utang Dividen,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,27240741000.000000,148383713000.000000,-42521446000.000000,-30082121000.000000,-1780824000.000000,501907000.000000,,,,-46884276000.000000,-376212000.000000,,,27240741000.000000,-88590881000.000000,,897637000.000000,,,,-70470005000.000000,,-11441792000.000000,,-7423876000.000000,,-152845000.000000,-88590881000.000000,53774628000.000000,,,,,22000000000.000000,-28423250000.000000,63029000000.000000,-1456122000.000000,,,,,-1375000000.000000,-1375000000.000000,,,,,53774628000.000000,-7575512000.000000,,9055803000.000000,1480291000.000000
12M 2020,64099657000.000000,234102834000.000000,-67749327000.000000,-40151989000.000000,-14736909000.000000,380220000.000000,,,,-45813565000.000000,-1931607000.000000,,,64099657000.000000,-18738251000.000000,,4524363000.000000,,,,-145881000.000000,,-20702813000.000000,,-2167272000.000000,,-246648000.000000,-18738251000.000000,-34940688000.000000,,,,,,-32916750000.000000,,-2023938000.000000,,,,,,,,,,,-34940688000.000000,10420718000.000000,,1480291000.000000,11901009000.000000
12M 2021,109755060000.000000,526042826000.000000,-300386055000.000000,-49855014000.000000,-16491390000.000000,356586000.000000,,,,-38691812000.000000,-11220081000.000000,,,109755060000.000000,-48039317000.000000,,1000000000.000000,-25000000000.000000,,,-3182554000.000000,,-19647989000.000000,,-1014045000.000000,,-194729000.000000,-48039317000.000000,-23822679000.000000,,,,,20000000000.000000,-42230401000.000000,,-1592278000.000000,,,,,,,,,,,-23822679000.000000,37893064000.000000,,11901009000.000000,49794073000.000000
12M 2022,89255065000.000000,609781768000.000000,-347936404000.000000,-60567132000.000000,-52785460000.000000,1490623000.000000,,,,-33394032000.000000,-27334298000.000000,,,89255065000.000000,-99882899000.000000,1285000000.000000,461745000.000000,-45600000000.000000,,11015000.000000,-37758502000.000000,,-16324666000.000000,,-1865702000.000000,,-91789000.000000,-99882899000.000000,264508643000.000000,300000000000.000000,,,,45000000000.000000,-106764600000.000000,35000000000.000000,-1424115000.000000,,,,,1090485000.000000,1090485000.000000,-6996516000.000000,,-1396611000.000000,,264508643000.000000,253880809000.000000,,49794073000.000000,303674882000.000000
12M 2023,16580701000.000000,703899429000.000000,-491511780000.000000,-61995760000.000000,-69825297000.000000,5939362000.000000,,,,-37383553000.000000,-32541700000.000000,,,16580701000.000000,-328312578000.000000,2120300000.000000,40000000.000000,-153388000000.000000,,-1925934000.000000,-150141795000.000000,,-13222731000.000000,-1205000000.000000,-10065352000.000000,,-524066000.000000,-328312578000.000000,196300793000.000000,,18196000.000000,,-40010000000.000000,3000000000.000000,-517814500000.000000,865000000000.000000,-2254950000.000000,-251376000.000000,,,,-99386577000.000000,-99386577000.000000,,-12000000000.000000,,,196300793000.000000,-115431084000.000000,,303674882000.000000,188243798000.000000
12M 2024,114329489000.000000,1002178294000.000000,-732099035000.000000,-86207214000.000000,-45079011000.000000,5599278000.000000,,,,-45381141000.000000,-10588588000.000000,25906906000.000000,,114329489000.000000,-257617181000.000000,2486658000.000000,-357187000.000000,-116614500000.000000,,,-116469213000.000000,-300000000.000000,-14294499000.000000,,-11887247000.000000,,-181193000.000000,-257617181000.000000,119563519000.000000,,1740000.000000,,-27990000000.000000,20000000000.000000,-192134333000.000000,336000000000.000000,-3543974000.000000,-769790000.000000,,,,,,,-12000124000.000000,,,119563519000.000000,-23724173000.000000,,188243798000.000000,164519625000.000000
