Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Ketiga,Pihak Berelasi,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Ketiga,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,35211592706.000000,,,35211592706.000000,2408611853.000000,253750055963.000000,15215076206.000000,238534979757.000000,253750055963.000000,2475830232.000000,,2475830232.000000,2475830232.000000,234337261381.000000,6732491637.000000,534915843772.000000,,16946915428.000000,49662256744.000000,,5706930490.000000,72316102662.000000,607231946434.000000,,,238151908460.000000,,,49806807.000000,116626557885.000000,116676364692.000000,,,54595301562.000000,54595301562.000000,8049981142.000000,18036562897.000000,,,963047611.000000,10950000000.000000,,11913047611.000000,28880650556.000000,238151908460.000000,160945435018.000000,,,678042971.000000,101691563871.000000,,102369606842.000000,,,58575828176.000000,160945435018.000000,399097343478.000000,,825923510700.000000,23454890059.000000,-640351219728.000000,,,-640351219728.000000,,-892578075.000000,208134602956.000000,607231946434.000000,4007235107.000000
12M 2009,,,43642059363.000000,,,43642059363.000000,7473889879.000000,187150924709.000000,3448651197.000000,183702273512.000000,187150924709.000000,1412618028.000000,,1412618028.000000,1412618028.000000,175552103308.000000,15389738744.000000,430621334031.000000,,19002183644.000000,38839677051.000000,,2258413523.000000,60100274218.000000,490721608249.000000,,,137271545050.000000,,,26898130.000000,56294852591.000000,56321750721.000000,,,20469296455.000000,20469296455.000000,4496394150.000000,13395805811.000000,,163445610.000000,530940043.000000,9400000000.000000,,10094385653.000000,32493912260.000000,137271545050.000000,123815837685.000000,,90446474.000000,10606391.000000,63796867614.000000,,63897920479.000000,,,59917917206.000000,123815837685.000000,261087382735.000000,,825923510700.000000,23454890059.000000,-619645973134.000000,,,-619645973134.000000,,-98202111.000000,229634225514.000000,490721608249.000000,4007235107.000000
12M 2010,,,59822009548.000000,,,59822009548.000000,43337992050.000000,209512187695.000000,,209512187695.000000,209512187695.000000,2039689073.000000,,2039689073.000000,2039689073.000000,181565915776.000000,36686071888.000000,532963866030.000000,,16151460973.000000,39263945452.000000,,6184244087.000000,61599650512.000000,594563516542.000000,,,202313828078.000000,,,14324633.000000,88119969202.000000,88134293835.000000,,,5880373560.000000,5880373560.000000,8396134134.000000,24641662790.000000,,273561214.000000,10606391.000000,8991000000.000000,,9275167605.000000,65986196154.000000,202313828078.000000,101576777918.000000,,16132735.000000,,52030025183.000000,,52046157918.000000,,,49530620000.000000,101576777918.000000,303890605996.000000,,825923510700.000000,23454890059.000000,-558687944335.000000,,,-558687944335.000000,,-17545878.000000,290672910546.000000,594563516542.000000,4007235107.000000
12M 2011,,,107029566722.000000,,,107029566722.000000,,262616172910.000000,,262616172910.000000,262616172910.000000,2681776697.000000,,2681776697.000000,2681776697.000000,225496386194.000000,75445725843.000000,673269628366.000000,,13966747097.000000,388022783506.000000,,8264483847.000000,410254014450.000000,1083523642816.000000,,,307776998006.000000,,,787288266.000000,160042402103.000000,160829690369.000000,,,12973590380.000000,12973590380.000000,12266388207.000000,20839098865.000000,,182781695.000000,,52475616544.000000,,52658398239.000000,48209831946.000000,307776998006.000000,55819919058.000000,,97759058.000000,,,,97759058.000000,,,55722160000.000000,55819919058.000000,363596917064.000000,,655123510700.000000,1074090636.000000,63703601791.000000,,,63703601791.000000,,25522625.000000,719926725752.000000,1083523642816.000000,4007235107.000000
12M 2012,,,68423723549.000000,,,68423723549.000000,,329838976594.000000,645548200.000000,329193428394.000000,329838976594.000000,7454812058.000000,,7454812058.000000,7454812058.000000,300392842669.000000,44989515200.000000,751099870070.000000,,17082601338.000000,390545152808.000000,,2970595009.000000,410598349155.000000,1161698219225.000000,,,244597427319.000000,,,2654477375.000000,167117000046.000000,169771477421.000000,,,7815817731.000000,7815817731.000000,12434541088.000000,24665473190.000000,,1080645176.000000,,,,1080645176.000000,28829472713.000000,244597427319.000000,71959767885.000000,,94545885.000000,,,,94545885.000000,,,71865222000.000000,71959767885.000000,316557195204.000000,,655123510700.000000,1074090636.000000,188885237619.000000,,,188885237619.000000,,58185066.000000,845141024021.000000,1161698219225.000000,4007235107.000000
12M 2013,,,60445532466.000000,,,60445532466.000000,,478367534978.000000,,478367534978.000000,478367534978.000000,8629300435.000000,,8629300435.000000,8629300435.000000,297833900644.000000,71804537574.000000,917080806097.000000,,20935828388.000000,393272621974.000000,,5733035492.000000,419941485854.000000,1337022291951.000000,,,359617439291.000000,111030595934.000000,,346992308.000000,143937826809.000000,144284819117.000000,,,7770277350.000000,7770277350.000000,6620632953.000000,21232913808.000000,,866606408.000000,,,,866606408.000000,67811593721.000000,359617439291.000000,90755151929.000000,,745746929.000000,,,,745746929.000000,,,90009405000.000000,90755151929.000000,450372591220.000000,,655123510700.000000,1074090636.000000,230357637540.000000,10000000000.000000,220357637540.000000,230357637540.000000,,94461855.000000,886649700731.000000,1337022291951.000000,4007235107.000000
12M 2014,,,26160906067.000000,,,26160906067.000000,,466155532745.000000,,466155532745.000000,466155532745.000000,10608488965.000000,,10608488965.000000,10608488965.000000,265488262441.000000,83332365482.000000,851745555700.000000,,23211054719.000000,411558691981.000000,,50836171363.000000,485605918063.000000,1337351473763.000000,,,256060417655.000000,,,445653794.000000,161791783455.000000,162237437249.000000,,,9824591611.000000,9824591611.000000,4631504913.000000,22785053126.000000,,1218945085.000000,,4058539903.000000,,5277484988.000000,51304345768.000000,256060417655.000000,140534337657.000000,,1722572129.000000,,30399200528.000000,,32121772657.000000,,,108412565000.000000,140534337657.000000,396594755312.000000,,655123510700.000000,1074090636.000000,284408832852.000000,15000000000.000000,269408832852.000000,284408832852.000000,,150284263.000000,940756718451.000000,1337351473763.000000,4007235107.000000
12M 2015,,,20883774928.000000,,,20883774928.000000,,535948929741.000000,,535948929741.000000,535948929741.000000,9795506510.000000,,9795506510.000000,9795506510.000000,294194627877.000000,100739834550.000000,961562673606.000000,,27448133741.000000,552110764623.000000,,10678269006.000000,590237167370.000000,1551799840976.000000,,,337673717786.000000,43500771266.000000,,589062100.000000,161372104232.000000,161961166332.000000,,,10117565263.000000,10117565263.000000,3833567973.000000,29268242943.000000,,1613428292.000000,,21218228047.000000,,22831656339.000000,66160747670.000000,337673717786.000000,186764192148.000000,,1428294109.000000,,53485797039.000000,,54914091148.000000,,,131850101000.000000,186764192148.000000,524437909934.000000,,655123510700.000000,1074090636.000000,389206132194.000000,20000000000.000000,369206132194.000000,389206132194.000000,,-18041802488.000000,1027361931042.000000,1551799840976.000000,4007235107.000000
12M 2016,,,154624369811.000000,,,154624369811.000000,,529785330337.000000,,529785330337.000000,529785330337.000000,9831981921.000000,,9831981921.000000,9831981921.000000,320647452877.000000,208564049871.000000,1223453184817.000000,,62280566485.000000,560534774701.000000,,25153890041.000000,647969231227.000000,1871422416044.000000,,,358715994083.000000,,,3953643555.000000,198665055462.000000,202618699017.000000,,,11160384437.000000,11160384437.000000,30668662226.000000,34069726024.000000,,851340404.000000,,21486813646.000000,,22338154050.000000,57860368329.000000,358715994083.000000,191360581512.000000,,247744650.000000,,32907525862.000000,,33155270512.000000,,,158205311000.000000,191360581512.000000,550076575595.000000,,655123510700.000000,1074090636.000000,695494325037.000000,30000000000.000000,665494325037.000000,695494325037.000000,,-30346085924.000000,1321345840449.000000,1871422416044.000000,4007235107.000000
12M 2017,,,144308097763.000000,,,144308097763.000000,,728377546685.000000,704503847077.000000,23873699608.000000,728377546685.000000,6666825543.000000,,6666825543.000000,6666825543.000000,815326312661.000000,148421474156.000000,1843100256808.000000,,72095775865.000000,1043801546776.000000,37908500000.000000,16854537536.000000,1170660360177.000000,3013760616985.000000,,,933490170009.000000,166364422124.000000,,,485207360459.000000,485207360459.000000,,,74064013731.000000,74064013731.000000,5554969570.000000,74514472615.000000,,247744650.000000,6643793702.000000,21403568383.000000,,28295106735.000000,99489824775.000000,933490170009.000000,293524061693.000000,,,10655577249.000000,11489187763.000000,,22144765012.000000,4275604000.000000,,267103692681.000000,293524061693.000000,1227014231702.000000,,655123510700.000000,1074090636.000000,1016938844735.000000,40000000000.000000,976938844735.000000,1016938844735.000000,174672696115.000000,-61062756903.000000,1786746385283.000000,3013760616985.000000,4007235107.000000
