Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1731928919684.000000,-1590183543693.000000,141745375991.000000,-71830694875.000000,-53336663121.000000,-18494031754.000000,-71830694875.000000,69914681116.000000,-21696288585.000000,-2221845399.000000,860900547.000000,-17311931008.000000,706448882.000000,-3729861607.000000,-21696288585.000000,48218392531.000000,-21573806149.000000,-20790461300.000000,-783344849.000000,,,-21573806149.000000,26644586382.000000,,,,,26644586382.000000,26644586382.000000,,26644586382.000000,,,,
12M 2009,822273437407.000000,-738809421509.000000,83464015898.000000,-49808747506.000000,-31847505480.000000,-17961242026.000000,-49808747506.000000,33655268392.000000,-1015545574.000000,-2009703699.000000,2097001998.000000,-3109314707.000000,3030625955.000000,-1024155121.000000,-1015545574.000000,32639722818.000000,-11934476224.000000,-13989744440.000000,2055268216.000000,,,-11934476224.000000,20705246594.000000,,,,,20705246594.000000,20705246594.000000,,20705246594.000000,,,,
12M 2010,1228092212266.000000,-1093120589699.000000,134971622567.000000,-70400042947.000000,-51229153395.000000,-19170889552.000000,-70400042947.000000,64571579620.000000,2144767018.000000,-2921244163.000000,900421608.000000,4847006971.000000,86379555.000000,-767796953.000000,2144767018.000000,66716346638.000000,-18400797243.000000,-19764234374.000000,1363437131.000000,,,-18400797243.000000,48315549395.000000,,,,,48315549395.000000,48315549395.000000,,48315549395.000000,,,,
12M 2011,1841939308817.000000,-1673156315204.000000,168782993613.000000,-71649858889.000000,-49732897409.000000,-21916961480.000000,-71649858889.000000,97133134724.000000,-3005342261.000000,-3474100480.000000,2837818343.000000,-3071508138.000000,,702448014.000000,-3005342261.000000,94127792463.000000,-30424190672.000000,-28239476796.000000,-2184713876.000000,,,-30424190672.000000,63703601791.000000,43068503.000000,43068503.000000,43068503.000000,63746670294.000000,63703601791.000000,63703601791.000000,,63703601791.000000,63746670294.000000,63746670294.000000,,63746670294.000000
12M 2012,2273197243380.000000,-1996605849502.000000,276591393878.000000,-89676350305.000000,-63397158226.000000,-26279192079.000000,-89676350305.000000,186915043573.000000,-14359762736.000000,-6078185514.000000,1994205552.000000,-12620709421.000000,,2344926647.000000,-14359762736.000000,172555280837.000000,-47373645009.000000,-50489499250.000000,3115854241.000000,,,-47373645009.000000,125181635828.000000,32662441.000000,32662441.000000,32662441.000000,125214298269.000000,125181635828.000000,125181635828.000000,,125181635828.000000,125214298269.000000,125214298269.000000,,125214298269.000000
12M 2013,2572350076614.000000,-2295595684236.000000,276754392378.000000,-100860459376.000000,-68858632206.000000,-32001827170.000000,-100860459376.000000,175893933002.000000,-70714458775.000000,-10254472750.000000,893990954.000000,-60765808246.000000,,-588168733.000000,-70714458775.000000,105179474227.000000,-31649193450.000000,-35502420500.000000,3853227050.000000,,,-31649193450.000000,73530280777.000000,36276789.000000,36276789.000000,36276789.000000,73566557566.000000,73530280777.000000,73530280777.000000,,73530280777.000000,73566557566.000000,73566557566.000000,,73566557566.000000
12M 2014,2384078038239.000000,-2173963760575.000000,210114277664.000000,-94124436882.000000,-55164965781.000000,-38959471101.000000,-94124436882.000000,115989840782.000000,-21715270573.000000,-10246034489.000000,997702943.000000,-11083988034.000000,,-1382950993.000000,-21715270573.000000,94274570209.000000,-24194434469.000000,-26469660800.000000,2275226331.000000,,,-24194434469.000000,70080135740.000000,55822408.000000,55822408.000000,55822408.000000,70135958148.000000,70080135740.000000,70080135740.000000,,70080135740.000000,70135958148.000000,70135958148.000000,,70135958148.000000
12M 2015,2662038531021.000000,-2376780683824.000000,285257847197.000000,-114240986322.000000,-67410406970.000000,-46830579352.000000,-114240986322.000000,171016860875.000000,-20967834577.000000,-20207975018.000000,1568515504.000000,4221068048.000000,,-6549443111.000000,-20967834577.000000,150049026298.000000,-34677927328.000000,-35718123350.000000,1040196022.000000,,,-34677927328.000000,115371098970.000000,1382169249.000000,1382169249.000000,1382169249.000000,116753268219.000000,115371098970.000000,115371098970.000000,,115371098970.000000,116753268219.000000,116753268219.000000,,116753268219.000000
12M 2016,2812196217447.000000,-2278127648753.000000,534068568694.000000,-138355366277.000000,-85071279084.000000,-53284087193.000000,-138355366277.000000,395713202417.000000,-9583458932.000000,-16817006684.000000,6893104805.000000,1259042047.000000,,-918599100.000000,-9583458932.000000,386129743485.000000,-51790904893.000000,-83529347037.000000,31738442144.000000,,,-51790904893.000000,334338838592.000000,-12304283436.000000,-12304283436.000000,-12304283436.000000,322034555156.000000,334338838592.000000,334338838592.000000,,334338838592.000000,322034555156.000000,322034555156.000000,,322034555156.000000
12M 2017,3186704707526.000000,-2671942419304.000000,514762288222.000000,-176442873418.000000,-105858047146.000000,-70584826272.000000,-176442873418.000000,338319414804.000000,94961253465.000000,-22746138987.000000,3328847461.000000,12445693458.000000,,101932851533.000000,94961253465.000000,433280668269.000000,-74306616795.000000,-70179398593.000000,268570842.000000,-4395789044.000000,,-74306616795.000000,358974051474.000000,-32271122437.000000,,-32271122437.000000,326702929037.000000,358974051474.000000,361516870768.000000,-2542819294.000000,358974051474.000000,326702929037.000000,330800199789.000000,-4097270752.000000,326702929037.000000
