Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.96,51.94,0.96,51.94,12 B,102 B,114 B,79 B,297 B
12M 2009,0.98,57.30,0.98,57.30,10 B,,74 B,30 B,293 B
12M 2010,1.10,72.54,1.10,72.54,9 B,52 B,61 B,1 B,331 B
12M 2011,0.58,179.66,0.58,179.66,53 B,,53 B,(54 B),365 B
12M 2012,0.89,210.90,0.89,210.90,1 B,0 B,1 B,(67 B),507 B
12M 2013,0.64,221.26,0.64,221.26,112 B,1 B,113 B,52 B,557 B
12M 2014,0.59,234.76,0.59,234.76,5 B,32 B,37 B,11 B,596 B
12M 2015,0.46,256.38,0.46,256.38,66 B,55 B,121 B,100 B,624 B
12M 2016,0.84,329.74,0.84,329.74,22 B,33 B,55 B,(99 B),865 B
12M 2017,1.06,402.29,1.06,402.29,195 B,26 B,221 B,77 B,910 B
12M 2018,0.65,466.03,0.65,466.03,92 B,85 B,177 B,84 B,"1,291 B"
12M 2019,0.94,559.72,0.94,559.72,235 B,20 B,256 B,199 B,"1,679 B"
12M 2020,0.69,556.62,0.69,556.62,150 B,,150 B,(126 B),"2,031 B"
12M 2021,0.48,581.10,0.48,581.10,25 B,,25 B,(445 B),"1,695 B"
12M 2022,0.53,592.83,0.53,592.83,50 B,,50 B,(256 B),"1,765 B"
12M 2023,0.54,620.47,0.54,620.47,100 B,0 B,100 B,(649 B),"1,913 B"
12M 2024,0.58,669.28,0.58,669.28,,3 B,3 B,(281 B),"2,065 B"
