Period,Arus Kas Dari Aktivitas Operasi,Bunga Yang Diperoleh,Provisi Dan Komisi Yang Diterima,Bunga Yang Dibayar,Laba/(Rugi) Transaksi Mata Uang Asing - Bersih,Beban Umum Dan Administrasi Yang Dibayar,Tenaga Kerja Dan Tunjangan Yang Dibayar,Provisi Dan Komisi Yang Dibayar,Pendapatan Operasional Lainnya Yang Diterima,Beban Operasional Lainnya Yang Dibayar,Pembayaran Pajak Penghasilan Badan,Penerimaan Dari Pendapatan Non-Operasional - Bersih,(Kenaikan)/Penurunan Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek Yang Diperdagangkan,Tagihan Atas Wesel Ekspor,Kredit Yang Diberikan,Piutang Pembiayaan Konsumen,Tagihan Akseptasi,Beban Dibayar Dimuka Dan Aset Lain-Lain,Total (Kenaikan)/Penurunan Aset Operasi:,Kenaikan/(Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan Dari Nasabah Dan Bank Lain,Liabilitas Lain-Lain,Total Kenaikan/(Penurunan) Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Penerimaan Dari Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Kas Bersih Yang Dibayar Untuk Akuisisi Entitas Anak Termasuk Biaya Transaksi,Pembayaran Untuk Pembelian Investasi Saham,Perolehan Aset Tetap,Penambahan Nilai Aset Hak Guna,Kenaikan/(Penurunan) Kepentingan Non-Pengendali,(Pembelian)/Penjualan Efek-Efek Dan Obligasi Rekapitalisasi Pemerintah Tersedia Untuk Dijual,Penjualan/(Pembelian) Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Likuidasi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Surat Berharga Yang Diterbitkan,Penerimaan Dari Obligasi Subordinasi,Penerimaan/(Pembayaran) Pinjaman Diterima,Pembagian Dividen Tunai Kepada Kepentingan Non-Pengendali,Pembelian Kembali Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Penambahan Modal Saham,Pembayaran Biaya Emisi Efek Ekuitas,Pembayaran Atas Pinjaman Subordinasi,Kenaikan/(Penurunan) Kepentingan Non-Pengendali,Pembayaran Liabilitas Sewa,Pelunasan Surat Berharga Yang Diterbitkan,Pembagian Dividen Tunai,Eksekusi Hak Opsi Saham,Penambahan Dari Pinjaman Yang Diterima,Penjualan Kembali Efek Yang Dijual Dengan Janji Dibeli Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-765457000000.000000,5713784000000.000000,468620000000.000000,-3118656000000.000000,106350000000.000000,-1392786000000.000000,-1164281000000.000000,-15898000000.000000,931499000000.000000,,,124388000000.000000,,-392799000000.000000,-58877000000.000000,,-7118321000000.000000,1057094000000.000000,,-210110000000.000000,-6723013000000.000000,,-78439000000.000000,4871219000000.000000,-488244000000.000000,4304536000000.000000,-765457000000.000000,3563539000000.000000,3513485000000.000000,77472000000.000000,,,,-112422000000.000000,,,,,85004000000.000000,3563539000000.000000,-2597445000000.000000,,,-809101000000.000000,,-1002069000000.000000,,,,10350000000.000000,,-844323000000.000000,-202379000000.000000,250077000000.000000,,,-2597445000000.000000,247335000000.000000,4584652000000.000000,109358000000.000000,4941345000000.000000
12M 2009,4403489000000.000000,6240580000000.000000,443850000000.000000,-3165466000000.000000,139134000000.000000,-1469438000000.000000,-1156440000000.000000,-14592000000.000000,1167309000000.000000,-9147000000.000000,,5387000000.000000,,689912000000.000000,18553000000.000000,,-3392350000000.000000,564465000000.000000,,-88952000000.000000,-2208372000000.000000,,304854000000.000000,4382652000000.000000,-256822000000.000000,4430684000000.000000,4403489000000.000000,187582000000.000000,318119000000.000000,4943000000.000000,,,,-135480000000.000000,,,,,,187582000000.000000,-538444000000.000000,,,-665111000000.000000,,875491000000.000000,,,,30317000000.000000,,-635000000000.000000,-144141000000.000000,,,,-538444000000.000000,4052627000000.000000,4941345000000.000000,-270801000000.000000,8723171000000.000000
12M 2010,-284228000000.000000,6441167000000.000000,342875000000.000000,-2911986000000.000000,237054000000.000000,-1716885000000.000000,-1400067000000.000000,-21693000000.000000,1438168000000.000000,-952000000.000000,,-20246000000.000000,,569120000000.000000,-544737000000.000000,,-13424637000000.000000,-1373886000000.000000,,-893644000000.000000,-15667784000000.000000,,156794000000.000000,12276856000000.000000,562471000000.000000,12996121000000.000000,-284228000000.000000,1998612000000.000000,,7067000000.000000,,,,-185488000000.000000,,,2177033000000.000000,,,1998612000000.000000,-557909000000.000000,,,-328265000000.000000,,-526325000000.000000,1402573000000.000000,,-1356150000000.000000,61399000000.000000,,188859000000.000000,,,,,-557909000000.000000,1156475000000.000000,10423327000000.000000,-215318000000.000000,11364484000000.000000
12M 2011,-2214531000000.000000,8345554000000.000000,,-3866814000000.000000,114694000000.000000,-1947924000000.000000,-1705719000000.000000,,1573951000000.000000,-19696000000.000000,,24951000000.000000,,-216939000000.000000,-116714000000.000000,13921000000.000000,-13924378000000.000000,-985326000000.000000,,-49212000000.000000,-15278648000000.000000,,151148000000.000000,10938805000000.000000,-544833000000.000000,10545120000000.000000,-2214531000000.000000,-634467000000.000000,,6860000000.000000,,,,-246502000000.000000,,-125386000000.000000,-269439000000.000000,,,-634467000000.000000,7992362000000.000000,6113500000000.000000,2000000000000.000000,1444592000000.000000,-13992000000.000000,-349166000000.000000,,,,-52572000000.000000,,-1150000000000.000000,,,,,7992362000000.000000,5143364000000.000000,11364484000000.000000,-2939000000.000000,16504909000000.000000
12M 2012,3621444000000.000000,9688287000000.000000,,-4032802000000.000000,-26356000000.000000,-2074612000000.000000,-1973924000000.000000,,1471269000000.000000,338015000000.000000,,25599000000.000000,,155424000000.000000,-879104000000.000000,-18315000000.000000,-14287413000000.000000,-694150000000.000000,,-469343000000.000000,-16192901000000.000000,,306923000000.000000,15942185000000.000000,149761000000.000000,16398869000000.000000,3621444000000.000000,-1837498000000.000000,,6472000000.000000,,,,-254109000000.000000,,,-1123406000000.000000,-466455000000.000000,,-1837498000000.000000,1806449000000.000000,2925000000000.000000,1000000000000.000000,115192000000.000000,,,,,,-868000000.000000,,-2232875000000.000000,,,,,1806449000000.000000,3590395000000.000000,16504909000000.000000,247221000000.000000,20342525000000.000000
12M 2013,61271000000.000000,11437217000000.000000,,-5113415000000.000000,,-2329846000000.000000,-2204992000000.000000,,1545642000000.000000,,,-108017000000.000000,,-135264000000.000000,1156285000000.000000,113573000000.000000,-20256019000000.000000,-1836552000000.000000,,-591907000000.000000,-21549884000000.000000,,-509726000000.000000,20624323000000.000000,-1730031000000.000000,18384566000000.000000,61271000000.000000,-4998830000000.000000,,6363000000.000000,,,,-290001000000.000000,,,-5181647000000.000000,466455000000.000000,,-4998830000000.000000,2518766000000.000000,1350000000000.000000,,168399000000.000000,,,1500854000000.000000,-4702000000.000000,,25215000000.000000,,-521000000000.000000,,,,,2518766000000.000000,-2418793000000.000000,20342525000000.000000,562603000000.000000,18486335000000.000000
12M 2014,-6527436000000.000000,13908158000000.000000,,-7417187000000.000000,,-2775987000000.000000,-1998061000000.000000,,1399299000000.000000,,,-10476000000.000000,,118416000000.000000,435062000000.000000,-146946000000.000000,-3811675000000.000000,-1908801000000.000000,,-588803000000.000000,-5902747000000.000000,,139086000000.000000,-3481783000000.000000,-387738000000.000000,-3730435000000.000000,-6527436000000.000000,2416732000000.000000,,12762000000.000000,,,,-302456000000.000000,,,2706426000000.000000,,,2416732000000.000000,4729595000000.000000,2289250000000.000000,1500000000000.000000,1396520000000.000000,,,1497204000000.000000,-8238000000.000000,,13809000000.000000,,-1958950000000.000000,,,,,4729595000000.000000,618891000000.000000,18486335000000.000000,58009000000.000000,19163235000000.000000
12M 2015,8496395000000.000000,14646412000000.000000,,-7304740000000.000000,,-2663316000000.000000,-2211090000000.000000,,1347543000000.000000,,,101104000000.000000,,75864000000.000000,-392221000000.000000,-227025000000.000000,-7447127000000.000000,-346473000000.000000,,-651681000000.000000,-8988663000000.000000,,-32851000000.000000,13571617000000.000000,30379000000.000000,13569145000000.000000,8496395000000.000000,485580000000.000000,,10457000000.000000,,,,-200627000000.000000,,,1323013000000.000000,-647263000000.000000,,485580000000.000000,-462908000000.000000,2550000000000.000000,,290956000000.000000,,,,,,35336000000.000000,,-3339200000000.000000,,,,,-462908000000.000000,8519067000000.000000,19163235000000.000000,424890000000.000000,28107192000000.000000
12M 2016,-4730653000000.000000,14839186000000.000000,,-7607169000000.000000,,-2894199000000.000000,-2230465000000.000000,,2368729000000.000000,,,19081000000.000000,,-12500000000.000000,-1286669000000.000000,-176333000000.000000,-8038617000000.000000,-2825165000000.000000,,194855000000.000000,-12144429000000.000000,,125284000000.000000,3337661000000.000000,-544332000000.000000,2918613000000.000000,-4730653000000.000000,-5820618000000.000000,,15022000000.000000,,,,-196605000000.000000,,,-5449222000000.000000,-189813000000.000000,,-5820618000000.000000,2017210000000.000000,3835000000000.000000,800000000000.000000,631433000000.000000,,,,,,18777000000.000000,,-3268000000000.000000,,,,,2017210000000.000000,-8534061000000.000000,28107192000000.000000,-99903000000.000000,19473228000000.000000
12M 2017,-3996679000000.000000,14740618000000.000000,,-7093777000000.000000,,-3122785000000.000000,-2233797000000.000000,,2031324000000.000000,,,8819000000.000000,,15000000000.000000,-1967751000000.000000,-1965998000000.000000,-4572663000000.000000,-1276452000000.000000,,-1148325000000.000000,-10916189000000.000000,,216755000000.000000,3430374000000.000000,-1058021000000.000000,2589108000000.000000,-3996679000000.000000,-1314990000000.000000,,8256000000.000000,,,,-258925000000.000000,,,-297806000000.000000,-766515000000.000000,,-1314990000000.000000,1811832000000.000000,3889000000000.000000,,147362000000.000000,,595088000000.000000,,,,54881000000.000000,,-2485000000000.000000,-389499000000.000000,,,,1811832000000.000000,-3499837000000.000000,19473228000000.000000,27152000000.000000,16000543000000.000000
