Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Piutang Pembiayaan Konsumen,Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Aset Pajak Tangguhan,Aset Tetap,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Pihak Berelasi,Pihak Ketiga,Total Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diterima,Utang Pajak,Liabilitas Pajak Tangguhan,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Obligasi Subordinasi,Pihak Berelasi,Pihak Ketiga,Total Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,1259515000000.000000,3096303000000.000000,,1696812000000.000000,,1696812000000.000000,1696812000000.000000,-16231000000.000000,1680581000000.000000,,178260000000.000000,28314291000000.000000,-586594000000.000000,27905957000000.000000,,6364657000000.000000,-2057614000000.000000,4307043000000.000000,217061000000.000000,,1287372000000.000000,-506491000000.000000,780881000000.000000,,394083000000.000000,-189408000000.000000,204675000000.000000,,15576745000000.000000,55028761000000.000000,,,396409000000.000000,,,396409000000.000000,36971060000000.000000,26734000000.000000,36944326000000.000000,36971060000000.000000,2287966000000.000000,111355000000.000000,2176611000000.000000,2287966000000.000000,39181000000.000000,,,39181000000.000000,586644000000.000000,64505000000.000000,522139000000.000000,586644000000.000000,2625966000000.000000,,2625966000000.000000,2625966000000.000000,2757288000000.000000,1513996000000.000000,1243292000000.000000,2757288000000.000000,120517000000.000000,,1481092000000.000000,749764000000.000000,731328000000.000000,1481092000000.000000,1381859000000.000000,,1381859000000.000000,1381859000000.000000,1024967000000.000000,49672949000000.000000,,3236000000000.000000,242746000000.000000,1716998000000.000000,21805000000.000000,1695193000000.000000,1716998000000.000000,127426000000.000000,32642000000.000000,5355812000000.000000,55028761000000.000000,48663702731.000000
12M 2008,,1767742000000.000000,2712139000000.000000,,2089611000000.000000,,2089611000000.000000,2089611000000.000000,-11546000000.000000,2078065000000.000000,,30746000000.000000,35214479000000.000000,-900748000000.000000,34344477000000.000000,,5038619000000.000000,-2064849000000.000000,2973770000000.000000,511272000000.000000,,1339597000000.000000,-575999000000.000000,763598000000.000000,,235067000000.000000,-156437000000.000000,78630000000.000000,,11638597000000.000000,56868290000000.000000,,,317970000000.000000,,,317970000000.000000,43525226000000.000000,119824000000.000000,43405402000000.000000,43525226000000.000000,605019000000.000000,6751000000.000000,598268000000.000000,605019000000.000000,134804000000.000000,,,134804000000.000000,614572000000.000000,,614572000000.000000,614572000000.000000,1788432000000.000000,,1788432000000.000000,1788432000000.000000,1853213000000.000000,1087100000000.000000,766113000000.000000,1853213000000.000000,81455000000.000000,,1246399000000.000000,9157000000.000000,1237242000000.000000,1246399000000.000000,1607730000000.000000,,1607730000000.000000,1607730000000.000000,32639000000.000000,51807459000000.000000,,3266706000000.000000,566560000000.000000,1983316000000.000000,25853000000.000000,1957463000000.000000,1983316000000.000000,137776000000.000000,-893527000000.000000,5060831000000.000000,56868290000000.000000,50028436231.000000
12M 2009,,1432055000000.000000,6188335000000.000000,,1399699000000.000000,,1399699000000.000000,1399699000000.000000,-7501000000.000000,1392198000000.000000,,32791000000.000000,37337491000000.000000,-870133000000.000000,36500149000000.000000,,3903254000000.000000,-1682336000000.000000,2220918000000.000000,336848000000.000000,,1412337000000.000000,-673636000000.000000,738701000000.000000,,235067000000.000000,-203940000000.000000,31127000000.000000,,12125443000000.000000,60965774000000.000000,,,622824000000.000000,,,622824000000.000000,47341248000000.000000,35519000000.000000,47305729000000.000000,47341248000000.000000,1171649000000.000000,2305000000.000000,1169344000000.000000,1171649000000.000000,22196000000.000000,,,22196000000.000000,406009000000.000000,104817000000.000000,301192000000.000000,406009000000.000000,1157300000000.000000,,1157300000000.000000,1157300000000.000000,1188102000000.000000,717150000000.000000,470952000000.000000,1188102000000.000000,108408000000.000000,2649000000.000000,1212509000000.000000,5718000000.000000,1206791000000.000000,1212509000000.000000,1389548000000.000000,,1389548000000.000000,1389548000000.000000,916280000000.000000,55538722000000.000000,,3266706000000.000000,566560000000.000000,1798206000000.000000,30658000000.000000,1767548000000.000000,1798206000000.000000,168093000000.000000,-372513000000.000000,5427052000000.000000,60965774000000.000000,50028436231.000000
12M 2010,,1702224000000.000000,3615031000000.000000,,5619810000000.000000,,5619810000000.000000,5619810000000.000000,,5619810000000.000000,,43368000000.000000,50138497000000.000000,-1525516000000.000000,48656349000000.000000,,5670148000000.000000,-2180523000000.000000,3489625000000.000000,362149000000.000000,,1527419000000.000000,-710680000000.000000,816739000000.000000,,469680000000.000000,-406149000000.000000,63531000000.000000,,10804975000000.000000,75130433000000.000000,,,779618000000.000000,,,779618000000.000000,59901960000000.000000,43625000000.000000,59858335000000.000000,59901960000000.000000,887793000000.000000,26771000000.000000,861022000000.000000,887793000000.000000,9705000000.000000,,,9705000000.000000,977591000000.000000,107293000000.000000,870298000000.000000,977591000000.000000,1346159000000.000000,,1346159000000.000000,1346159000000.000000,859837000000.000000,345219000000.000000,514618000000.000000,859837000000.000000,72833000000.000000,58653000000.000000,2395630000000.000000,2416000000.000000,2393214000000.000000,2395630000000.000000,,,,,381458000000.000000,67671237000000.000000,,3407411000000.000000,1828428000000.000000,2210573000000.000000,30658000000.000000,2179915000000.000000,2210573000000.000000,229492000000.000000,-216708000000.000000,7459196000000.000000,75130433000000.000000,56281990760.000000
12M 2011,,1701791000000.000000,6484175000000.000000,,7628692000000.000000,90675000000.000000,7538017000000.000000,7628692000000.000000,,7628692000000.000000,,59168000000.000000,62748748000000.000000,-1116677000000.000000,61691239000000.000000,,6538409000000.000000,-2234226000000.000000,4304183000000.000000,382671000000.000000,,1700618000000.000000,-777735000000.000000,922883000000.000000,,487866000000.000000,-419997000000.000000,67869000000.000000,,11735608000000.000000,94919111000000.000000,,,930766000000.000000,,,930766000000.000000,70322917000000.000000,62369000000.000000,70260548000000.000000,70322917000000.000000,1405641000000.000000,632562000000.000000,773079000000.000000,1405641000000.000000,86501000000.000000,1806000000.000000,84695000000.000000,86501000000.000000,932119000000.000000,33424000000.000000,898695000000.000000,932119000000.000000,6299578000000.000000,1833411000000.000000,4466167000000.000000,6299578000000.000000,2304429000000.000000,,,2304429000000.000000,105675000000.000000,69032000000.000000,2518120000000.000000,5895000000.000000,2512225000000.000000,2518120000000.000000,1990330000000.000000,355336000000.000000,1634994000000.000000,1990330000000.000000,,86965108000000.000000,,3407411000000.000000,1828428000000.000000,2879536000000.000000,76757000000.000000,2802779000000.000000,2879536000000.000000,165929000000.000000,-327301000000.000000,7954003000000.000000,94919111000000.000000,56281990760.000000
12M 2012,,1920998000000.000000,7784483000000.000000,,9049010000000.000000,,9049010000000.000000,9049010000000.000000,-300000000.000000,9048710000000.000000,,70360000000.000000,76017558000000.000000,-1052332000000.000000,75035586000000.000000,,6993438000000.000000,-2201636000000.000000,4791802000000.000000,249314000000.000000,,1930652000000.000000,-912218000000.000000,1018434000000.000000,,559536000000.000000,-445446000000.000000,114090000000.000000,,15809491000000.000000,115772908000000.000000,,,1237689000000.000000,,,1237689000000.000000,85946647000000.000000,59565000000.000000,85887082000000.000000,85946647000000.000000,1724095000000.000000,379570000000.000000,1344525000000.000000,1724095000000.000000,137887000000.000000,38786000000.000000,99101000000.000000,137887000000.000000,793362000000.000000,20801000000.000000,772561000000.000000,793362000000.000000,6987000000000.000000,1872529000000.000000,5114471000000.000000,6987000000000.000000,2419621000000.000000,73017000000.000000,2346604000000.000000,2419621000000.000000,207132000000.000000,80119000000.000000,3584178000000.000000,32055000000.000000,3552123000000.000000,3584178000000.000000,2987685000000.000000,310713000000.000000,2676972000000.000000,2987685000000.000000,,106105415000000.000000,,3407411000000.000000,1828428000000.000000,4087759000000.000000,143653000000.000000,3944106000000.000000,4087759000000.000000,168827000000.000000,175068000000.000000,9667493000000.000000,115772908000000.000000,56281990760.000000
12M 2013,,2329825000000.000000,9249766000000.000000,,6471565000000.000000,,,6471565000000.000000,-600000000.000000,6470965000000.000000,,105543000000.000000,95364127000000.000000,-969260000000.000000,94500410000000.000000,,8808771000000.000000,-2331836000000.000000,6476935000000.000000,395518000000.000000,,2199099000000.000000,-1090604000000.000000,1108495000000.000000,,655410000000.000000,-483997000000.000000,171413000000.000000,,19843424000000.000000,140546751000000.000000,,,727963000000.000000,,,727963000000.000000,107239558000000.000000,79694000000.000000,107159864000000.000000,107239558000000.000000,1055508000000.000000,467418000000.000000,588090000000.000000,1055508000000.000000,794458000000.000000,85474000000.000000,708984000000.000000,794458000000.000000,1635902000000.000000,,1635902000000.000000,1635902000000.000000,7995541000000.000000,1466321000000.000000,6529220000000.000000,7995541000000.000000,2588020000000.000000,191947000000.000000,2396073000000.000000,2588020000000.000000,254805000000.000000,103026000000.000000,2754135000000.000000,47894000000.000000,2706241000000.000000,2754135000000.000000,2989434000000.000000,307909000000.000000,2681525000000.000000,2989434000000.000000,,128138350000000.000000,,3512940000000.000000,3219051000000.000000,5632860000000.000000,264475000000.000000,5368385000000.000000,5632860000000.000000,194042000000.000000,-150492000000.000000,12408401000000.000000,140546751000000.000000,60972156657.000000
12M 2014,,2195531000000.000000,9850805000000.000000,,5583433000000.000000,,,5583433000000.000000,-1000000000.000000,5582433000000.000000,,114578000000.000000,97916092000000.000000,-1274973000000.000000,96755697000000.000000,,10821775000000.000000,-2673775000000.000000,8148000000000.000000,428552000000.000000,,2461635000000.000000,-1284479000000.000000,1177156000000.000000,,763588000000.000000,-541992000000.000000,221596000000.000000,,18958696000000.000000,143318466000000.000000,,,867049000000.000000,,867049000000.000000,867049000000.000000,101863992000000.000000,71832000000.000000,101792160000000.000000,101863992000000.000000,2949291000000.000000,551449000000.000000,2397842000000.000000,2949291000000.000000,224098000000.000000,6780000000.000000,217318000000.000000,224098000000.000000,2809494000000.000000,9948000000.000000,2799546000000.000000,2809494000000.000000,8329214000000.000000,1598935000000.000000,6730279000000.000000,8329214000000.000000,3984540000000.000000,36460000000.000000,3948080000000.000000,3984540000000.000000,172978000000.000000,116680000000.000000,2866942000000.000000,56289000000.000000,2810653000000.000000,2866942000000.000000,4484137000000.000000,1581986000000.000000,2902151000000.000000,4484137000000.000000,,128668415000000.000000,,3665370000000.000000,4555587000000.000000,6331379000000.000000,341730000000.000000,5989649000000.000000,6331379000000.000000,207851000000.000000,-110136000000.000000,14650051000000.000000,143318466000000.000000,67746840730.000000
12M 2015,,1978750000000.000000,10329997000000.000000,,13948893000000.000000,,,13948893000000.000000,-1200000000.000000,13947693000000.000000,,120669000000.000000,104081038000000.000000,-1871461000000.000000,102330246000000.000000,,11175482000000.000000,-3015821000000.000000,8159661000000.000000,252068000000.000000,,2628531000000.000000,-1483308000000.000000,1145223000000.000000,,212274000000.000000,,212274000000.000000,,19263101000000.000000,157619013000000.000000,,,834200000000.000000,,834200000000.000000,834200000000.000000,115486436000000.000000,97197000000.000000,115389239000000.000000,115486436000000.000000,2898462000000.000000,458837000000.000000,2439625000000.000000,2898462000000.000000,378005000000.000000,3933000000.000000,374072000000.000000,378005000000.000000,2110160000000.000000,837000000.000000,2109323000000.000000,2110160000000.000000,7583458000000.000000,652422000000.000000,6931036000000.000000,7583458000000.000000,4275496000000.000000,1038814000000.000000,3236682000000.000000,4275496000000.000000,180109000000.000000,118102000000.000000,3524349000000.000000,72712000000.000000,3451637000000.000000,3524349000000.000000,4486968000000.000000,1583393000000.000000,2903575000000.000000,4486968000000.000000,,141875745000000.000000,,3665370000000.000000,4555587000000.000000,7149514000000.000000,,,7149514000000.000000,237613000000.000000,135184000000.000000,15743268000000.000000,157619013000000.000000,67746840730.000000
12M 2016,,1470208000000.000000,9448665000000.000000,,3554721000000.000000,,,3554721000000.000000,-1000000000.000000,3553721000000.000000,,90183000000.000000,109898508000000.000000,-1986314000000.000000,108002377000000.000000,,6850334000000.000000,-1116946000000.000000,5733388000000.000000,272095000000.000000,,3905898000000.000000,-1360816000000.000000,2545082000000.000000,,249899000000.000000,,249899000000.000000,,35403467000000.000000,166678902000000.000000,,,779321000000.000000,,779321000000.000000,779321000000.000000,118931951000000.000000,76522000000.000000,118855429000000.000000,118931951000000.000000,2790608000000.000000,822057000000.000000,1968551000000.000000,2790608000000.000000,223308000000.000000,11689000000.000000,211619000000.000000,223308000000.000000,2258629000000.000000,649000000.000000,2257980000000.000000,2258629000000.000000,5356563000000.000000,415776000000.000000,4940787000000.000000,5356563000000.000000,2350380000000.000000,1029466000000.000000,1320914000000.000000,2350380000000.000000,575819000000.000000,,3117338000000.000000,50168000000.000000,3067170000000.000000,3117338000000.000000,5287214000000.000000,1963843000000.000000,3323371000000.000000,5287214000000.000000,5735165000000.000000,147406296000000.000000,,3665370000000.000000,4555587000000.000000,9040872000000.000000,,,9040872000000.000000,256390000000.000000,1754387000000.000000,19272606000000.000000,166678902000000.000000,67746840730.000000
