Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Keuntungan Penjualan Efek-Efek,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Kerugian Atas Aset Non-Produktif,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Beban Umum Dan Administrasi,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Kerugian Dari Penjualan Aset-Aset Keuangan,Beban Tenaga Kerja,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5942647000000.000000,5828514000000.000000,114133000000.000000,5942647000000.000000,-3186666000000.000000,-3170768000000.000000,-15898000000.000000,-3186666000000.000000,2755981000000.000000,-2360670000000.000000,,354487000000.000000,183378000000.000000,,,941849000000.000000,1479714000000.000000,,,-1081540000000.000000,-6014000000.000000,-1522933000000.000000,88590000000.000000,-128615000000.000000,-1189872000000.000000,-3840384000000.000000,-2360670000000.000000,395311000000.000000,241788000000.000000,637099000000.000000,-158052000000.000000,479047000000.000000,-10350000000.000000,,468697000000.000000,,,,,468697000000.000000,479047000000.000000,-10350000000.000000,468697000000.000000,,,,
12M 2009,6231908000000.000000,6113090000000.000000,118818000000.000000,6231908000000.000000,-3135791000000.000000,-3121199000000.000000,-14592000000.000000,-3135791000000.000000,3096117000000.000000,-3059087000000.000000,,325032000000.000000,134814000000.000000,,,1197637000000.000000,1657483000000.000000,,,-1681252000000.000000,-11574000000.000000,-1731302000000.000000,-17175000000.000000,-9652000000.000000,-1265615000000.000000,-4716570000000.000000,-3059087000000.000000,37030000000.000000,2207000000.000000,39237000000.000000,-49889000000.000000,-10652000000.000000,-30317000000.000000,,-40969000000.000000,,,,,-40969000000.000000,-10652000000.000000,-30317000000.000000,-40969000000.000000,,,,
12M 2010,6549898000000.000000,6474846000000.000000,75052000000.000000,6549898000000.000000,-2924809000000.000000,-2903116000000.000000,-21693000000.000000,-2924809000000.000000,3625089000000.000000,-2857991000000.000000,,267823000000.000000,85285000000.000000,76786000000.000000,,1515509000000.000000,1945403000000.000000,,-1232458000000.000000,-5444000000.000000,-644000000.000000,-1984819000000.000000,-8776000000.000000,,-1571253000000.000000,-4803394000000.000000,-2857991000000.000000,767098000000.000000,22638000000.000000,789736000000.000000,-258610000000.000000,531126000000.000000,-70137000000.000000,,460989000000.000000,,,,,460989000000.000000,531126000000.000000,-70137000000.000000,460989000000.000000,,,,
12M 2011,8135520000000.000000,8135520000000.000000,,8135520000000.000000,-3919972000000.000000,-3919972000000.000000,,-3919972000000.000000,4215548000000.000000,-3252954000000.000000,,311055000000.000000,171606000000.000000,15466000000.000000,10619000000.000000,1525838000000.000000,2034584000000.000000,,-1172670000000.000000,-8719000000.000000,,-2186929000000.000000,,,-1919220000000.000000,-5287538000000.000000,-3252954000000.000000,962594000000.000000,22712000000.000000,985306000000.000000,-314210000000.000000,671096000000.000000,,,671096000000.000000,-36912000000.000000,-36912000000.000000,-36912000000.000000,634184000000.000000,671096000000.000000,668963000000.000000,2133000000.000000,671096000000.000000,634184000000.000000,632051000000.000000,2133000000.000000,634184000000.000000
12M 2012,9482583000000.000000,9482583000000.000000,,9482583000000.000000,-4168848000000.000000,-4168848000000.000000,,-4168848000000.000000,5313735000000.000000,-3646371000000.000000,,306469000000.000000,249511000000.000000,67528000000.000000,,1470401000000.000000,2093909000000.000000,,-1160332000000.000000,13069000000.000000,,-2348677000000.000000,-242000000.000000,,-2244098000000.000000,-5740280000000.000000,-3646371000000.000000,1667364000000.000000,28505000000.000000,1695869000000.000000,-484748000000.000000,1211121000000.000000,,,1211121000000.000000,502369000000.000000,502369000000.000000,502369000000.000000,1713490000000.000000,1211121000000.000000,1208223000000.000000,2898000000.000000,1211121000000.000000,1713490000000.000000,1710592000000.000000,2898000000.000000,1713490000000.000000
12M 2013,11200357000000.000000,11200357000000.000000,,11200357000000.000000,-5399510000000.000000,-5399510000000.000000,,-5399510000000.000000,5800847000000.000000,-3510194000000.000000,,363799000000.000000,321426000000.000000,75324000000.000000,,1517111000000.000000,2277660000000.000000,,-787553000000.000000,-3651000000.000000,,-2638844000000.000000,-1836000000.000000,,-2355970000000.000000,-5787854000000.000000,-3510194000000.000000,2290653000000.000000,-106429000000.000000,2184224000000.000000,-613908000000.000000,1570316000000.000000,,,1570316000000.000000,-325560000000.000000,-325560000000.000000,-325560000000.000000,1244756000000.000000,1570316000000.000000,1545101000000.000000,25215000000.000000,1570316000000.000000,1244756000000.000000,1219541000000.000000,25215000000.000000,1244756000000.000000
12M 2014,13399814000000.000000,13399814000000.000000,,13399814000000.000000,-7468118000000.000000,-7468118000000.000000,,-7468118000000.000000,5931696000000.000000,-4967184000000.000000,,383041000000.000000,-106888000000.000000,105375000000.000000,3732000000.000000,1431418000000.000000,1816678000000.000000,,-1791998000000.000000,2545000000.000000,,-2838762000000.000000,,,-2155647000000.000000,-6783862000000.000000,-4967184000000.000000,964512000000.000000,-4678000000.000000,959834000000.000000,-247506000000.000000,712328000000.000000,,,712328000000.000000,40356000000.000000,40356000000.000000,40356000000.000000,752684000000.000000,712328000000.000000,698519000000.000000,13809000000.000000,712328000000.000000,752684000000.000000,738875000000.000000,13809000000.000000,752684000000.000000
12M 2015,13905475000000.000000,13905475000000.000000,,13905475000000.000000,-7417237000000.000000,-7417237000000.000000,,-7417237000000.000000,6488238000000.000000,-5030521000000.000000,,823830000000.000000,185885000000.000000,14596000000.000000,642000000.000000,1588986000000.000000,2613939000000.000000,,-2289547000000.000000,-6625000000.000000,,-3017757000000.000000,,,-2330531000000.000000,-7644460000000.000000,-5030521000000.000000,1457717000000.000000,87306000000.000000,1545023000000.000000,-401461000000.000000,1143562000000.000000,,,1143562000000.000000,61433000000.000000,61433000000.000000,61433000000.000000,1204995000000.000000,1143562000000.000000,1139070000000.000000,4492000000.000000,1143562000000.000000,1204995000000.000000,1196417000000.000000,8578000000.000000,1204995000000.000000
12M 2016,13546449000000.000000,13546449000000.000000,,13546449000000.000000,-6938906000000.000000,-6938906000000.000000,,-6938906000000.000000,6607543000000.000000,-4022360000000.000000,,789621000000.000000,226518000000.000000,110275000000.000000,,977439000000.000000,2103853000000.000000,,-1585689000000.000000,-9199000000.000000,,-2490103000000.000000,-2718000000.000000,,-2038504000000.000000,-6126213000000.000000,-4022360000000.000000,2585183000000.000000,25457000000.000000,2610640000000.000000,-676452000000.000000,1934188000000.000000,,33088000000.000000,1967276000000.000000,1562062000000.000000,1562062000000.000000,1562062000000.000000,3529338000000.000000,1967276000000.000000,1948312000000.000000,18964000000.000000,1967276000000.000000,3529338000000.000000,3510561000000.000000,18777000000.000000,3529338000000.000000
12M 2017,14802881000000.000000,14802881000000.000000,,14802881000000.000000,-7100731000000.000000,-7100731000000.000000,,-7100731000000.000000,7702150000000.000000,-5197929000000.000000,,478781000000.000000,173673000000.000000,480462000000.000000,,1599065000000.000000,2731981000000.000000,,-2124889000000.000000,-9244000000.000000,,-3406456000000.000000,-2642000000.000000,,-2386679000000.000000,-7929910000000.000000,-5197929000000.000000,2504221000000.000000,15469000000.000000,2519690000000.000000,-658845000000.000000,1860845000000.000000,,,1860845000000.000000,31251000000.000000,31251000000.000000,31251000000.000000,1892096000000.000000,1860845000000.000000,1804031000000.000000,56814000000.000000,1860845000000.000000,1892096000000.000000,1837215000000.000000,54881000000.000000,1892096000000.000000
