Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,21200000.000000,22974000.000000,22974000.000000,,22974000.000000,218861000.000000,30000000.000000,293035000.000000,,10160594000.000000,14375000.000000,10174969000.000000,10468004000.000000,,,5244979000.000000,,1132825000.000000,,1132825000.000000,,,4000000000.000000,4000000000.000000,,112154000.000000,,,,,5244979000.000000,66068000.000000,,,,,66068000.000000,66068000.000000,5311047000.000000,,5000000000.000000,,200082000.000000,,200082000.000000,200082000.000000,,-43125000.000000,5156957000.000000,10468004000.000000,5000.000000
12M 2020,,,175786000.000000,395002000.000000,395002000.000000,,395002000.000000,6305443000.000000,80000000.000000,6956231000.000000,,179475892000.000000,13664000.000000,179489556000.000000,186445787000.000000,,,2361127000.000000,,225967000.000000,,225967000.000000,,,,,,2135160000.000000,,,,,2361127000.000000,40111000.000000,,,,,40111000.000000,40111000.000000,2401238000.000000,,180000000000.000000,,1549291000.000000,,1549291000.000000,1549291000.000000,2496771000.000000,-1513000.000000,184044549000.000000,186445787000.000000,3600000000.000000
12M 2021,,,21439724000.000000,1735262000.000000,1735262000.000000,,1735262000.000000,4961853000.000000,77400000000.000000,105536839000.000000,,178730833000.000000,33675000.000000,178764508000.000000,284301347000.000000,,,5247185000.000000,,182982000.000000,,182982000.000000,,,,,,5064203000.000000,,,,,5247185000.000000,131066000.000000,,,,,131066000.000000,131066000.000000,5378251000.000000,,230000000000.000000,44520519000.000000,4461153000.000000,,4461153000.000000,4461153000.000000,999000.000000,-59575000.000000,278923096000.000000,284301347000.000000,4600000000.000000
12M 2022,,,3204171000.000000,1541185000.000000,1541185000.000000,,1541185000.000000,2839794000.000000,97400000000.000000,104985150000.000000,,185549109000.000000,49871000.000000,185598980000.000000,290584130000.000000,,,7923342000.000000,,201465000.000000,,201465000.000000,,,,,,7721877000.000000,,,,,7923342000.000000,204682000.000000,,,,,204682000.000000,204682000.000000,8128024000.000000,,230000000000.000000,44520519000.000000,8025772000.000000,,8025772000.000000,8025772000.000000,999000.000000,-91184000.000000,282456106000.000000,290584130000.000000,4600000000.000000
12M 2023,,,1049230000.000000,4758755000.000000,4758755000.000000,,4758755000.000000,7603546000.000000,86445552000.000000,99857083000.000000,,201333848000.000000,81445000.000000,201415293000.000000,301272376000.000000,,,9118773000.000000,,224070000.000000,,224070000.000000,,,,,,6857813000.000000,,1750000000.000000,286890000.000000,2036890000.000000,9118773000.000000,5877418000.000000,,4812500000.000000,693318000.000000,5505818000.000000,371600000.000000,5877418000.000000,14996191000.000000,,230000000000.000000,44520519000.000000,11887759000.000000,,11887759000.000000,11887759000.000000,999000.000000,-133093000.000000,286276184000.000000,301272375000.000000,4600000000.000000
