Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,40016.40,0.00,0.00,0.50 B,1.91%,3.88%,8.17%,
12M 2020,3.60 B,0.38,0.00,0.00,2.76 B,0.72%,0.74%,1.79%,
12M 2021,4.60 B,0.63,298.41,28.81,5.12 B,1.03%,1.05%,1.57%,
12M 2022,4.60 B,0.77,162.34,16.42,6.09 B,1.23%,1.26%,1.62%,
12M 2023,4.60 B,0.84,59.52,6.44,6.76 B,1.28%,1.35%,1.76%,
