Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Operasi Lainnya,Penerimaan (Pembayaran) Lainnya,Adjustment,Pembayaran Pajak,Pembayaran Beban Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Untuk Perolehan Persediaan,Uang Muka Pematangan Lahan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Penyertaan Pada Entitas Anak,Pembayaran Utang Lain-Lain Pihak Berelasi,Penambahan Tambahan Modal Disetor,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,1838314000.000000,2512863000.000000,-365832000.000000,-308717000.000000,,,,,,1838314000.000000,,,,,,,,,,,,,,,,,,1838314000.000000,,1838314000.000000
12M 2020,-2962679000.000000,14991862000.000000,-16749815000.000000,-1204726000.000000,,,,,,-2962679000.000000,,,,,,,,171000000000.000000,,,,,,-4000000000.000000,,175000000000.000000,171000000000.000000,168037321000.000000,21200000.000000,168058521000.000000
12M 2021,-14960885000.000000,28677134000.000000,-39472250000.000000,-1081726000.000000,-3084043000.000000,,,,,-14960885000.000000,-57549448000.000000,,,-57549448000.000000,,,-57549448000.000000,94520519000.000000,,,,,,,44520519000.000000,50000000000.000000,94520519000.000000,21263938000.000000,175786000.000000,21439724000.000000
12M 2022,10134121000.000000,35272415000.000000,-17512924000.000000,-1351388000.000000,-6273982000.000000,,,,,10134121000.000000,-20000000000.000000,,,-20000000000.000000,,,-20000000000.000000,,,,,,,,,,,-18235553000.000000,21439724000.000000,3204171000.000000
12M 2023,-2150873000.000000,32512705000.000000,-27105950000.000000,-3725190000.000000,-3832438000.000000,,,,,-2150873000.000000,,,,,,,,7542708000.000000,7000000000.000000,-437500000.000000,1147560000.000000,-167352000.000000,,,,,7542708000.000000,-2154940000.000000,3204171000.000000,1049231000.000000
