Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,2535837000.000000,-2035624000.000000,500213000.000000,-287452000.000000,-286907000.000000,-545000.000000,-287452000.000000,213306000.000000,,,,,213306000.000000,-12679000.000000,,,,-12679000.000000,200627000.000000,,200627000.000000,-43125000.000000,-43125000.000000,-43125000.000000,157502000.000000,200082000.000000,200082000.000000,,200082000.000000,156957000.000000,156957000.000000,,156957000.000000
12M 2020,15363890000.000000,-11970790000.000000,3393100000.000000,-1704559000.000000,-1701116000.000000,-3443000.000000,-1704559000.000000,1691984000.000000,,,,,1691984000.000000,-340750000.000000,,,,-340750000.000000,1351234000.000000,,1351234000.000000,41612000.000000,41612000.000000,41612000.000000,1392846000.000000,1347791000.000000,1350983000.000000,-3192000.000000,1347791000.000000,1389403000.000000,1392595000.000000,-3192000.000000,1389403000.000000
12M 2021,30017394000.000000,-22781194000.000000,7236200000.000000,-3602783000.000000,-3587914000.000000,-14869000.000000,-3602783000.000000,3633417000.000000,,,,,3633417000.000000,-718326000.000000,,,,-718326000.000000,2915091000.000000,,2915091000.000000,-58062000.000000,-58062000.000000,-58062000.000000,2857029000.000000,2915091000.000000,2915092000.000000,-1000.000000,2915091000.000000,2857029000.000000,2857030000.000000,-1000.000000,2857029000.000000
12M 2022,35020275000.000000,-22777356000.000000,12242919000.000000,-7706048000.000000,-7784760000.000000,78712000.000000,-7706048000.000000,4536871000.000000,,,,,4536871000.000000,-972252000.000000,,,,-972252000.000000,3564619000.000000,,3564619000.000000,-31610000.000000,,-31610000.000000,3533009000.000000,3564619000.000000,3564619000.000000,,3564619000.000000,3533009000.000000,3533011000.000000,-2000.000000,3533009000.000000
12M 2023,35730275000.000000,-24078421000.000000,11651854000.000000,-6605529000.000000,-6204940000.000000,-400589000.000000,-6605529000.000000,5046325000.000000,,,,,5046325000.000000,-1184338000.000000,,,,-1184338000.000000,3861987000.000000,,3861987000.000000,-41909000.000000,,-41909000.000000,3820078000.000000,3861987000.000000,3861987000.000000,,3861987000.000000,3820078000.000000,3820078000.000000,,3820078000.000000
