Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,53704159965.000000,125778993665.000000,,125778993665.000000,125778993665.000000,97959688.000000,,,97959688.000000,555735900.000000,8791324966.000000,188928174184.000000,,15103955307.000000,7698011062.000000,1112705806910.000000,84981312406.000000,1220489085685.000000,1409417259869.000000,,,284283439593.000000,86311624898.000000,,1964832670.000000,42462791216.000000,44427623886.000000,,,9511424515.000000,9511424515.000000,4509043524.000000,3967715013.000000,,1180788406.000000,,134375219351.000000,135556007757.000000,,284283439593.000000,309339508951.000000,79744569912.000000,,226673448185.000000,,,,226673448185.000000,2921490854.000000,309339508951.000000,593622948544.000000,,60925000000.000000,67244980000.000000,676758351890.000000,,,676758351890.000000,10865979435.000000,,815794311325.000000,1409417259869.000000,609250000.000000
12M 2010,,,32237234411.000000,147065532959.000000,,147065532959.000000,147065532959.000000,6374937541.000000,,,6374937541.000000,463437500.000000,29670216834.000000,215811359245.000000,,,7117371308.000000,1710265610210.000000,54341028174.000000,1771724009692.000000,1987535368937.000000,,,391218101663.000000,84492404720.000000,,51528595.000000,68780688045.000000,68832216640.000000,,,38780047273.000000,38780047273.000000,9563092584.000000,8944519075.000000,,,,180605821371.000000,180605821371.000000,,391218101663.000000,465223166755.000000,70528638924.000000,,346009614697.000000,,44955000000.000000,,390964614697.000000,3729913134.000000,465223166755.000000,856441268418.000000,,153126500000.000000,67244980000.000000,875062759874.000000,,,875062759874.000000,35210739604.000000,449121041.000000,1131094100519.000000,1987535368937.000000,1531265000.000000
12M 2011,,,56766205983.000000,249486445746.000000,5016892607.000000,244469553139.000000,249486445746.000000,6678946045.000000,,,6678946045.000000,23206887785.000000,31557596946.000000,367696082505.000000,,,6536731554.000000,2232165030122.000000,194883457500.000000,2433585219176.000000,2801281301681.000000,,,540543051864.000000,119161438550.000000,,813054936.000000,102976812524.000000,103789867460.000000,,,6587567903.000000,6587567903.000000,24346895701.000000,14021002369.000000,,,,272636279881.000000,272636279881.000000,,540543051864.000000,578316790355.000000,30408345332.000000,,542454401976.000000,,,,542454401976.000000,5454043047.000000,578316790355.000000,1118859842219.000000,,175002663900.000000,361669861539.000000,1121775181240.000000,,,1121775181240.000000,26991851371.000000,-3018098588.000000,1682421459462.000000,2801281301681.000000,1750026639.000000
12M 2012,,,17710611.000000,28581828.000000,2274953.000000,26306875.000000,28581828.000000,754726.000000,,,754726.000000,3597343.000000,2263864.000000,52908372.000000,,,607531.000000,286823843.000000,5011099.000000,292442473.000000,345350845.000000,,,61506290.000000,13346478.000000,,25212.000000,12776317.000000,12801529.000000,,99431.000000,182869.000000,282300.000000,1649864.000000,2557406.000000,,,,30868713.000000,30868713.000000,,61506290.000000,72519440.000000,247828.000000,,71328183.000000,,,,71328183.000000,943429.000000,72519440.000000,134025730.000000,,26684752.000000,33628706.000000,145949011.000000,115695.000000,145833316.000000,145949011.000000,4920594.000000,142052.000000,211325115.000000,345350845.000000,1750026639.000000
12M 2013,,,43931590.000000,28845578.000000,3683010.000000,25162568.000000,28845578.000000,679433.000000,,,679433.000000,4155374.000000,2682607.000000,80294582.000000,,,,271330057.000000,1157580.000000,272487637.000000,352782219.000000,,,37186089.000000,13346478.000000,,12337.000000,8185143.000000,8197480.000000,,189399.000000,209904.000000,399303.000000,313555.000000,3184930.000000,,,11744343.000000,,11744343.000000,,37186089.000000,73845601.000000,194779.000000,72405162.000000,,,,,72405162.000000,1245660.000000,73845601.000000,111031690.000000,,26684752.000000,33628706.000000,175244782.000000,167072.000000,175077710.000000,175244782.000000,6090331.000000,101958.000000,241750529.000000,352782219.000000,1750026639.000000
12M 2014,,,48060445.000000,35720611.000000,3742246.000000,31978365.000000,35720611.000000,1891380.000000,,1891380.000000,1891380.000000,5590400.000000,4105731.000000,95368567.000000,,,,254059799.000000,2188256.000000,256248055.000000,351616622.000000,,,38892542.000000,13444935.000000,,,4809845.000000,4809845.000000,,86657.000000,300096.000000,386753.000000,1007048.000000,4343353.000000,,,14900608.000000,,14900608.000000,,38892542.000000,59111826.000000,,57504568.000000,,,,,57504568.000000,1607258.000000,59111826.000000,98004368.000000,,26684752.000000,33628706.000000,185804378.000000,210817.000000,185593561.000000,185804378.000000,7432640.000000,61778.000000,253612254.000000,351616622.000000,1750026639.000000
12M 2015,,,41668609.000000,30119722.000000,6924279.000000,23195443.000000,30119722.000000,2453551.000000,485409.000000,1968142.000000,2453551.000000,4572124.000000,2702709.000000,81516715.000000,,,,225106825.000000,1160138.000000,226266963.000000,307783678.000000,,,39015716.000000,13384709.000000,,,3737437.000000,3737437.000000,,,251782.000000,251782.000000,338925.000000,3721552.000000,,,17581311.000000,,17581311.000000,,39015716.000000,41715247.000000,,39923043.000000,,,,,39923043.000000,1792204.000000,41715247.000000,80730963.000000,,26684752.000000,33628706.000000,157568679.000000,249032.000000,157319647.000000,157568679.000000,8766512.000000,404066.000000,227052715.000000,307783678.000000,1750026639.000000
12M 2016,,,33677668.000000,16836444.000000,1378079.000000,15458365.000000,16836444.000000,860612.000000,12619.000000,847993.000000,860612.000000,2532908.000000,2515025.000000,56422657.000000,,,,199704591.000000,4393359.000000,204097950.000000,260520607.000000,,,43188295.000000,12390427.000000,,,7036743.000000,7036743.000000,,65406.000000,226490.000000,291896.000000,233728.000000,1388437.000000,,,21847064.000000,,21847064.000000,,43188295.000000,20213092.000000,,,18075978.000000,,,,18075978.000000,2137114.000000,20213092.000000,63401387.000000,,26684752.000000,33628706.000000,127842887.000000,249032.000000,127593855.000000,127842887.000000,8715862.000000,247013.000000,197119220.000000,260520607.000000,1750026639.000000
12M 2017,,,34569362.000000,14232515.000000,1783119.000000,12449396.000000,14232515.000000,517394.000000,75204.000000,442190.000000,517394.000000,2131059.000000,1326251.000000,52776581.000000,,,,186835533.000000,491326.000000,187326859.000000,240103440.000000,,,8776640.000000,,,,5979171.000000,5979171.000000,,56779.000000,215479.000000,272258.000000,222951.000000,664920.000000,,,907590.000000,729750.000000,1637340.000000,,8776640.000000,43452940.000000,,,,40327117.000000,,,40327117.000000,3125823.000000,43452940.000000,52229580.000000,,26684752.000000,33628706.000000,118989917.000000,249032.000000,118740885.000000,118989917.000000,8657455.000000,-86970.000000,187873860.000000,240103440.000000,1750026639.000000
12M 2018,,,40013092.000000,17514348.000000,2336357.000000,15177991.000000,17514348.000000,393770.000000,64885.000000,328885.000000,393770.000000,1843341.000000,2217720.000000,61982271.000000,,,,177648209.000000,78080.000000,177726289.000000,239708560.000000,,,14429786.000000,,,,8535852.000000,8535852.000000,,60660.000000,143960.000000,204620.000000,487575.000000,1275857.000000,,,3120000.000000,729750.000000,3849750.000000,76132.000000,14429786.000000,53891418.000000,,,,40607459.000000,,,40607459.000000,13283959.000000,53891418.000000,68321204.000000,,26684752.000000,33628706.000000,101845143.000000,249032.000000,101596111.000000,101845143.000000,8835331.000000,393424.000000,171387356.000000,239708560.000000,1750026639.000000
