Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Lain-Lain,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Pihak Ketiga Lainnya - Bersih,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Pendapatan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Perolehan Kapal,Pengembalian (Pembayaran) Uang Muka Proyek - Bersih,Kenaikan Rekening Bank Yang Dibatasi Penggunaannya,Penambahan Kepemilikan Pada Anak Perusahaan,Pemeliharaan Kapal,Penerimaan Uang Muka Penjualan Aset Tetap,Hasil Penjualan Aset Tetap,Pendapatan Bunga,Hasil Penjualan Aset Tidak Lancar,Kenaikan Aset Tidak Lancar Lainnya,Perolehan Aset Tidak Berwujud,Penerimaan Klaim Asuransi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Atas Biaya Penerbitan Saham Setoran Modal Entitas Anak,Penerimaan Setoran Modal,Penerimaan Dari Obligasi Konversi,Penerimaan (Pembayaran Kembali) Uang Muka,Penambahan Kepentingan Non-Pengendali,Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan (Pemberian) Piutang Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Utang Kepada Bank,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Kenaikan Uang Muka Pembelian Aset,Pembayaran Beban Keuangan,Pembayaran Dividen,Titipan Pajak Atas Pelepasan Saham Pendiri,Pembayaran Utang Sewa Pembiayaan Dan Pembiayaan Konsumen,Pembayaran Biaya Emisi Saham,Pembayaran Biaya Transaksi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,221946406308.000000,672195443150.000000,,-276780839400.000000,-54976492983.000000,-70175428577.000000,-40919552553.000000,-8467355375.000000,1070632046.000000,221946406308.000000,-346380055765.000000,-85739507771.000000,-269398734329.000000,,,-992213665.000000,,,,,,,,,9750400000.000000,-346380055765.000000,135717768381.000000,,,,,499920000.000000,,2820000000.000000,2075471817.000000,,,239859884519.000000,-178040191476.000000,72228000000.000000,,,,,,-3725316479.000000,,,135717768381.000000,11284118924.000000,-1614250829.000000,44034291870.000000,53704159965.000000
12M 2010,294806725436.000000,743694419079.000000,,-317045669230.000000,-71467884579.000000,-11137094190.000000,-40901351428.000000,-8896556941.000000,560862725.000000,294806725436.000000,-667049346491.000000,-381664048508.000000,-296362677389.000000,,,392070501.000000,,,,10585308905.000000,,,,,,-667049346491.000000,351737106520.000000,,,92201500000.000000,44620000000.000000,20624344357.000000,,35209218405.000000,-15103955307.000000,,,451153581298.000000,-285002724815.000000,9215930988.000000,,,,,,-1180788406.000000,,,351737106520.000000,-20505514535.000000,-961411019.000000,53704159965.000000,32237234411.000000
12M 2011,318360843872.000000,965452756674.000000,,-372790739594.000000,-148693816934.000000,-64194571157.000000,-50435486194.000000,-12151832902.000000,1174533979.000000,318360843872.000000,-810769880671.000000,-321698658518.000000,-407235852911.000000,,-83872289528.000000,1441114486.000000,,,,595805800.000000,,,,,,-810769880671.000000,512409594014.000000,280000000000.000000,-10698954847.000000,,,-7565097413.000000,,-32192479374.000000,,,,1055865572977.000000,-732879153737.000000,,-40120293592.000000,,,,,,,,512409594014.000000,20000557215.000000,4528414357.000000,32237234411.000000,56766205983.000000
12M 2012,56603724.000000,140378828.000000,,-51921519.000000,-18470573.000000,-5145527.000000,-6660586.000000,-1692468.000000,115569.000000,56603724.000000,-48554083.000000,-34810765.000000,-23412794.000000,,9588705.000000,-27050.000000,,,,107821.000000,,,,,,-48554083.000000,2955299.000000,,,,,,2040000.000000,-443627.000000,,,,87448364.000000,-74930439.000000,,-3006112.000000,,,-8152887.000000,,,,,2955299.000000,11004940.000000,445610.000000,6260061.000000,17710611.000000
12M 2013,56879281.000000,150849836.000000,,-59885168.000000,-19752163.000000,-6817956.000000,-6192123.000000,-1862631.000000,539486.000000,56879281.000000,-4047109.000000,-3633222.000000,,,,-488567.000000,,,,74680.000000,,,,,,-4047109.000000,-26974532.000000,,,,,,,117003.000000,,,,60852226.000000,-78899617.000000,,-53049.000000,,,-8991095.000000,,,,,-26974532.000000,25857640.000000,363339.000000,17710611.000000,43931590.000000
12M 2014,32490771.000000,128172167.000000,,-63269639.000000,-19369686.000000,-7527148.000000,-4896427.000000,-1601135.000000,982639.000000,32490771.000000,-6059807.000000,-6567748.000000,,,,-782842.000000,,,,1683786.000000,,,,-393003.000000,,-6059807.000000,-22115603.000000,,,,,,,,,,,,-12349107.000000,,-194779.000000,,,-9571717.000000,,,,,-22115603.000000,4315361.000000,-186506.000000,43931590.000000,48060445.000000
12M 2015,30406315.000000,94955825.000000,,-39326881.000000,-14726155.000000,-5732101.000000,-4236937.000000,-1123584.000000,596148.000000,30406315.000000,-4012063.000000,-8947725.000000,,,,899751.000000,,,,4418139.000000,,,,-382228.000000,,-4012063.000000,-32124037.000000,,,,,,,,,,,,-15471534.000000,,,,,-16652503.000000,,,,,-32124037.000000,-5729785.000000,-662051.000000,48060445.000000,41668609.000000
12M 2016,20673922.000000,74209894.000000,,-34111792.000000,-15267521.000000,-631602.000000,-2864565.000000,-891741.000000,231249.000000,20673922.000000,-9328565.000000,-6200652.000000,,,,-3500433.000000,,,,376979.000000,,,,-4459.000000,,-9328565.000000,-18966985.000000,,,,,,,,,,,,-18966985.000000,,,,,,,,,,-18966985.000000,-7621628.000000,-369313.000000,41668609.000000,33677668.000000
12M 2017,17681585.000000,70816103.000000,,-36397972.000000,-13419439.000000,-282314.000000,-2517079.000000,-856237.000000,338523.000000,17681585.000000,-5332124.000000,-10664755.000000,,,,3792372.000000,,,,700791.000000,,839468.000000,,,,-5332124.000000,-11588874.000000,,,,,,,,,,,,-51728247.000000,40139373.000000,,,,,,,,,-11588874.000000,760587.000000,131107.000000,33677668.000000,34569362.000000
12M 2018,19238395.000000,72130921.000000,,-34351432.000000,-13628621.000000,-935293.000000,-3646706.000000,-954281.000000,623807.000000,19238395.000000,-26139382.000000,-26139382.000000,,,,,,,,,,,,,,-26139382.000000,12530909.000000,,,,,,,,,,,14940000.000000,-2409091.000000,,,,,,,,,,12530909.000000,5629922.000000,-186192.000000,34569362.000000,40013092.000000
