Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,87208509533.000000,-49552220506.000000,37656289027.000000,-41137447131.000000,-3481158104.000000,-22578448969.000000,2418207894.000000,-23167511088.000000,,-1829145775.000000,-22578448969.000000,-26059607073.000000,-1805363146.000000,-27864970219.000000,265471119.000000,-27599499100.000000,-27864970219.000000,-27487240064.000000,-377730155.000000,-27864970219.000000,-27599499100.000000,-27224300872.000000,-375198228.000000,-27599499100.000000
12M 2019,154077443719.0,-78414313632.0,75663130087.0,-66988650557.0,8674479530.0,-30198812288.0,4663207863.0,-19249257592.0,-13471659778.0,-2141102781.0,-30198812288.0,-21524332758.0,-2762008295.0,-24286341053.0,-240995365.0,-24527336418.0,-24286341053.0,-24205411416.0,-80929637.0,-24286341053.0,-24527336418.0,-24444810269.0,-82526149.0,-24527336418.0
12M 2020,216296095571.000000,-113404642135.000000,102891453436.000000,-118753721152.000000,-15862267716.000000,29655075328.000000,40428301431.000000,-11305994267.000000,,532768164.000000,29655075328.000000,13792807612.000000,375143524.000000,14167951136.000000,165817157.000000,14333768293.000000,14167951136.000000,14312842564.000000,-144891428.000000,14167951136.000000,14333768293.000000,14481079666.000000,-147311373.000000,14333768293.000000
12M 2021,290934356126.0,-145000436678.0,145933919448.0,-131835962281.0,14097957167.0,-7591418313.0,15781938577.0,-25838724542.0,2676422528.0,-211054876.0,-7591418313.0,6506538854.0,-332914077.0,6173624777.0,1336779804.0,7510404581.0,6173624777.0,6099193871.0,74430906.0,6173624777.0,7510404581.0,7416307993.0,94096588.0,7510404581.0
12M 2022,233970724609.000000,-137738459043.000000,96232265566.000000,-156823647433.000000,-60591381867.000000,-32724577053.000000,31784929332.000000,-90146332117.000000,,25636825732.000000,-32724577053.000000,-93315958920.000000,-288463386.000000,-93604422306.000000,2228380991.000000,-91376041315.000000,-93604422306.000000,-93543896993.000000,-60525313.000000,-93604422306.000000,-91376041315.000000,-91343061468.000000,-32979847.000000,-91376041315.000000
12M 2023,242680799183.000000,-153026530241.000000,89654268942.000000,-125793052442.000000,-36138783500.000000,-69984056286.000000,6623274915.000000,-76857656488.000000,,250325287.000000,-69984056286.000000,-106122839786.000000,-4566022109.000000,-110688861895.000000,1521067374.000000,-109167794521.000000,-110688861895.000000,-110919788807.000000,230926912.000000,-110688861895.000000,-109167794521.000000,-109408572601.000000,240778080.000000,-109167794521.000000
12M 2024,319022410802.000000,-214434696643.000000,104587714159.000000,-134515340769.000000,-29927626610.000000,-45836431491.000000,6242710845.000000,-77315017008.000000,,25235874672.000000,-45836431491.000000,-75764058101.000000,-4153162003.000000,-79917220104.000000,580048831.000000,-79337171273.000000,-79917220104.000000,-80309181321.000000,391961217.000000,-79917220104.000000,-79337171273.000000,-79732226609.000000,395055336.000000,-79337171273.000000
