Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Lain-Lain,Total Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak,Pelepasan Entitas Anak,Penerimaan Dari Pelepasan Investasi Pada Entitas Anak,Penambahan Investasi Saham Pada Entitas Anak,Setoran Modal Dari Kepentingan Nonpengendali Atas Pendirian Entitas Anak,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Penempatan Kas Yang Dibatasi Penggunaannya,Penarikan Kas Yang Dibatasi Penggunaannya,Pembayaran Utang Entitas Anak Yang Di Akuisisi,Penarikan Pinjaman Kepada Lembaga Keuangan,Pembayaran Pinjaman Kepada Lembaga Keuangan,Pembayaran Pinjaman Wesel Bayar,Pembayaran Biaya Emisi Wesel Bayar,Pembayaran Biaya Emisi Saham,Pembayaran Uang Muka Biaya Emisi Saham,Pihak Berelasi,Pembayaran,Penerimaan,Total Pihak Berelasi,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Pembayaran,Penerimaan,Total Utang Bank Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Entitas Anak Yang Didivestasi,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,-29025527673.000000,67850640264.000000,,-23059206171.000000,-50181229862.000000,-1868761170.000000,-75109197203.000000,2418207894.000000,-22782250684.000000,-1402927944.000000,-29025527673.000000,-225978537009.000000,,,,-10875000000.000000,3000.000000,-215103540009.000000,,,,,-225978537009.000000,251643701109.000000,,,,,,,,,,,,,201945922708.000000,201945922708.000000,,14000000000.000000,-4941814636.000000,9058185364.000000,,-14360406963.000000,55000000000.000000,40639593037.000000,251643701109.000000,-3360363573.000000,11295714307.000000,,,,7935350734.000000
12M 2019,-22976562571.000000,134111043888.000000,,-45630077795.000000,-82293647554.000000,-11822442980.000000,-139746168329.000000,4663207863.000000,-19421894600.000000,-2582751393.000000,-22976562571.000000,-681054951412.000000,-98573861563.000000,,829287562.000000,,,-363310377411.000000,,,-220000000000.000000,,-681054951412.000000,703045584923.000000,2324750000000.000000,-2714206525.000000,,-1248321924010.000000,,,,,,-3610365000.000000,,-403316455811.000000,17619561583.000000,-385696894228.000000,,46478598378.000000,-37129225243.000000,9349373135.000000,,-100710398449.000000,110000000000.000000,9289601551.000000,703045584923.000000,-985929060.000000,7935350734.000000,,,,6949421674.000000
12M 2020,50302794090.000000,224592214488.000000,,-54249030622.000000,-132743418321.000000,-16158312467.000000,-203150761410.000000,40428301431.000000,-11305994267.000000,-260966152.000000,50302794090.000000,-502268123814.000000,,,,,,-43121963224.000000,,-479146160590.000000,,20000000000.000000,-502268123814.000000,970495601854.000000,1030000000000.000000,,1392705481.000000,,,,,,,-26715840668.000000,,-17619561583.000000,,-17619561583.000000,,122406267224.000000,-132166928747.000000,-9760661523.000000,,-6801039853.000000,,-6801039853.000000,970495601854.000000,518530272130.000000,6949421674.000000,,,,525479693804.000000
12M 2021,47129089642.000000,292751864402.000000,,-123129004365.000000,-84054771676.000000,-27083325288.000000,-234267101329.000000,8573719399.000000,-18028301010.000000,-1901091820.000000,47129089642.000000,-760313339809.000000,,,,,,-284128900534.000000,91597100.000000,-26276036375.000000,-650000000000.000000,200000000000.000000,-760313339809.000000,727451787424.000000,,-449287797.000000,,,,,,-1774574829.000000,,,,,,,,94430428219.000000,-104402505616.000000,-9972077397.000000,,-8740092349.000000,748387819796.000000,739647727447.000000,727451787424.000000,14267537257.000000,525479693804.000000,2653244177.000000,,,542400475238.000000
12M 2022,-48836369112.000000,253841095105.000000,,-109811205924.000000,-100269540230.000000,-43600635995.000000,-253681382149.000000,39138613754.000000,-85574763730.000000,-2559932092.000000,-48836369112.000000,39827160327.000000,,,225800000.000000,,,-286797039796.000000,55000000.000000,-3656599877.000000,-320000000000.000000,650000000000.000000,39827160327.000000,249408214.000000,,-895525543.000000,1388054976.000000,,,-7107214914.000000,,,,,,,,,,57611347026.000000,-44937705922.000000,12673641104.000000,,-97609429124.000000,91799881715.000000,-5809547409.000000,249408214.000000,-8759800571.000000,542400475238.000000,194088384.000000,-626729572.000000,,533208033479.000000
12M 2023,-83033264168.000000,232326431071.000000,,-116752508937.000000,-81620584124.000000,-40146098673.000000,-238519191734.000000,6623274915.000000,-82138957516.000000,-1324820904.000000,-83033264168.000000,78509989050.000000,,,,,,-10829090592.000000,72000000.000000,-1732920358.000000,-9000000000.000000,100000000000.000000,78509989050.000000,-2921809524.000000,,,395703903.000000,,,-15515140959.000000,,,,,,,,,,81109637645.000000,-69212953527.000000,11896684118.000000,,-4694056586.000000,4995000000.000000,300943414.000000,-2921809524.000000,-7445084642.000000,533208033479.000000,,,,525762948837.000000
12M 2024,-113011184320.000000,308225530263.000000,,-211751066528.000000,-91189172580.000000,-39779078019.000000,-342719317127.000000,6242710845.000000,-80360564102.000000,-4399544199.000000,-113011184320.000000,42526142886.000000,-94627467543.000000,178083594007.000000,,,,-10471066015.000000,,-216458917563.000000,-43000000000.000000,229000000000.000000,42526142886.000000,-6208243672.000000,,,-445119396.000000,,57235000000.000000,-54212785089.000000,-650000000000.000000,,,,,,,,,820261571890.000000,-172242638206.000000,648018933684.000000,,-6804272871.000000,,-6804272871.000000,-6208243672.000000,-76693285106.000000,525762948837.000000,,,,449069663731.000000
