Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,567412592899.000000,-347271587290.000000,220141005609.000000,-75642703526.000000,-4078880347.000000,-77001607135.000000,5437783956.000000,-75642703526.000000,144498302083.000000,-115291757632.000000,-116012015662.000000,259597725.000000,500951791.000000,-40291486.000000,,,-115291757632.000000,29206544451.000000,-19341884227.000000,-5467704845.000000,-13874179382.000000,-19341884227.000000,9864660224.000000,,,9864660224.000000,9864660224.000000,9875675182.000000,-11014958.000000,9864660224.000000,9864660224.000000,9875675182.000000,-11014958.000000,9864660224.000000
12M 2012,793862147315.000000,-528148603557.000000,265713543758.000000,-89379903597.000000,-4100672531.000000,-95049224287.000000,9769993221.000000,-89379903597.000000,176333640161.000000,-133365171869.000000,-135124053291.000000,2791758856.000000,-1032640014.000000,-237420.000000,,,-133365171869.000000,42968468292.000000,-13515207266.000000,-1506300193.000000,-12008907073.000000,-13515207266.000000,29453261026.000000,,,29453261026.000000,29453261026.000000,29452772703.000000,488323.000000,29453261026.000000,29453261026.000000,29452772703.000000,488323.000000,29453261026.000000
12M 2013,1018883265475.000000,-673181045421.000000,345702220054.000000,-127316334004.000000,-6351496752.000000,-126693813837.000000,5728976585.000000,-127316334004.000000,218385886050.000000,-111962250741.000000,-115578716098.000000,3146180944.000000,507497931.000000,-37213518.000000,,,-111962250741.000000,106423635309.000000,-14380834145.000000,-749227157.000000,-13631606988.000000,-14380834145.000000,92042801164.000000,,,92042801164.000000,92042801164.000000,92039550236.000000,3250928.000000,92042801164.000000,92042801164.000000,92042801164.000000,,92042801164.000000
12M 2014,1140260479449.000000,-791063756938.000000,349196722511.000000,-154373942591.000000,-7634128157.000000,-157288540458.000000,10548726024.000000,-154373942591.000000,194822779920.000000,-138501197094.000000,-139958338842.000000,631517051.000000,785644901.000000,39979796.000000,,,-138501197094.000000,56321582826.000000,-13373807272.000000,-1757452868.000000,-11616354404.000000,-13373807272.000000,42947775554.000000,,,42947775554.000000,42947775554.000000,42933954166.000000,13821388.000000,42947775554.000000,42947775554.000000,42933954166.000000,13821388.000000,42947775554.000000
12M 2015,1392596846234.000000,-977644483868.000000,414952362366.000000,-187627003544.000000,-8276826546.000000,-194015071851.000000,14664894853.000000,-187627003544.000000,227325358822.000000,-170470433150.000000,-171720759079.000000,777011916.000000,676220964.000000,-47504567.000000,,-155402384.000000,-170470433150.000000,56854925672.000000,-22678586033.000000,-1178688625.000000,-21499897408.000000,-22678586033.000000,34176339639.000000,-901857600.000000,,33274482039.000000,34176339639.000000,34145839640.000000,30499999.000000,34176339639.000000,33274482039.000000,33244244780.000000,30237259.000000,33274482039.000000
12M 2016,1570388327917.000000,-1114310969038.000000,456077358879.000000,-184066561337.000000,-8721053557.000000,-191128744773.000000,15783236993.000000,-184066561337.000000,272010797542.000000,-183195834354.000000,-184958677967.000000,978473701.000000,993195072.000000,10144915.000000,,-218970075.000000,-183195834354.000000,88814963188.000000,-26663978494.000000,-3724739484.000000,-22939239010.000000,-26663978494.000000,62150984694.000000,523125850.000000,,62674110544.000000,62150984694.000000,62116191761.000000,34792933.000000,62150984694.000000,62674110544.000000,62643583169.000000,30527375.000000,62674110544.000000
12M 2017,1689846194031.000000,-1173003959557.000000,516842234474.000000,-205422942778.000000,-7289845896.000000,-213651583776.000000,15518486894.000000,-205422942778.000000,311419291696.000000,-173222215852.000000,-175885365658.000000,1300627347.000000,1611839914.000000,-7167118.000000,,-242150337.000000,-173222215852.000000,138197075844.000000,-34888681331.000000,-26587015172.000000,-8301666159.000000,-34888681331.000000,103308394513.000000,2654733650.000000,,105963128163.000000,103308394513.000000,103198205263.000000,110189250.000000,103308394513.000000,105963128163.000000,105851029966.000000,112098197.000000,105963128163.000000
12M 2018,1862945638339.000000,-1264245086837.000000,598700551502.000000,-242384037123.000000,-9315198918.000000,-247702302265.000000,14633464060.000000,-242384037123.000000,356316514379.000000,-173979218967.000000,-178417020772.000000,5196798186.000000,475798208.000000,-240247657.000000,,-994546932.000000,-173979218967.000000,182337295412.000000,-40094884477.000000,-36141196869.000000,-3953687608.000000,-40094884477.000000,142242410935.000000,-2073143250.000000,,140169267685.000000,142242410935.000000,143508652753.000000,-1266241818.000000,142242410935.000000,140169267685.000000,141435834439.000000,-1266566754.000000,140169267685.000000
12M 2019,2329565792542.000000,-1589736602344.000000,739829190198.000000,-390476040279.000000,-12349560096.000000,-401989099455.000000,23862619272.000000,-390476040279.000000,349353149919.000000,-231975989846.000000,-244118069213.000000,15033317946.000000,1709946863.000000,-1049232134.000000,,-3551953308.000000,-231975989846.000000,117377160073.000000,-25762219193.000000,-36371900097.000000,10609680904.000000,-25762219193.000000,91614940880.000000,-4926473972.000000,,86688466908.000000,91614940880.000000,110402454046.000000,-18787513166.000000,91614940880.000000,86688466908.000000,105545261933.000000,-18856795025.000000,86688466908.000000
12M 2020,3037359367967.000000,-2247248906374.000000,790110461593.000000,-477092392747.000000,-16953097925.000000,-475174653732.000000,15035358910.000000,-477092392747.000000,313018068846.000000,-244523047829.000000,-253554304418.000000,11876426124.000000,2168969575.000000,716855478.000000,,-5730994588.000000,-244523047829.000000,68495021017.000000,-4598599037.000000,-28631896542.000000,24033297505.000000,-4598599037.000000,63896421980.000000,6403832744.000000,,70300254724.000000,63896421980.000000,87147720192.000000,-23251298212.000000,63896421980.000000,70300254724.000000,93703216249.000000,-23402961525.000000,70300254724.000000
