Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Piutang Pihak Berelasi,Goodwill,Deposito Berjangka,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan,Utang Lain-Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan,Utang Lain-Lain,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Others,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,7903623663.000000,61724273517.000000,60855956291.000000,868317226.000000,61724273517.000000,4087926547.000000,4087926547.000000,,4087926547.000000,,25321727714.000000,99037551441.000000,,,2196000000.000000,,3629223748.000000,40894775.000000,953717698005.000000,,20553960053.000000,980137776581.000000,1079175328022.000000,,,313973737206.000000,46402611053.000000,,19287956018.000000,1616900000.000000,20904856018.000000,,10166522858.000000,,10166522858.000000,31562892597.000000,2352949418.000000,,172685823436.000000,,10621269758.000000,183307093194.000000,19276812068.000000,313973737206.000000,632515300507.000000,,609306227537.000000,,2180750119.000000,611486977656.000000,15051114675.000000,,5977208176.000000,632515300507.000000,946489037713.000000,,153750000000.000000,,-21587339610.000000,,-21587339610.000000,-21587339610.000000,-6282613.000000,,132156377777.000000,529912532.000000,1079175328022.000000,153750.000000
12M 2012,,,315567715027.000000,75081309177.000000,74561204594.000000,520104583.000000,75081309177.000000,7600014551.000000,7600014551.000000,,7600014551.000000,,37412138793.000000,435661177548.000000,,,5271119998.000000,,2657634748.000000,99072141.000000,1643770606000.000000,,21538697528.000000,1673337130415.000000,2108998307963.000000,,,396686090694.000000,30664406783.000000,,34467435993.000000,2571791596.000000,37039227589.000000,,18180822804.000000,,18180822804.000000,32208470302.000000,2990515420.000000,,251180317617.000000,,,251180317617.000000,24422330179.000000,396686090694.000000,979358140242.000000,,926818510746.000000,,,926818510746.000000,40992378496.000000,,11547251000.000000,979358140242.000000,1376044230936.000000,,339750000000.000000,374948865468.000000,18271020807.000000,,18271020807.000000,18271020807.000000,-15809248.000000,,732954077027.000000,,2108998307963.000000,3397500000.000000
12M 2013,,,25994696729.000000,105824912400.000000,105769400629.000000,55511771.000000,105824912400.000000,5094005606.000000,5094005606.000000,,5094005606.000000,,63783068000.000000,200696682735.000000,,,,,679602748.000000,153145896.000000,1911663349593.000000,7074669228.000000,51973708075.000000,1971544475540.000000,2172241158275.000000,,,410110600279.000000,10000000000.000000,,32796750791.000000,3074044550.000000,35870795341.000000,,20169128292.000000,,20169128292.000000,26965746622.000000,2364392081.000000,,284098914207.000000,,,284098914207.000000,30641623736.000000,410110600279.000000,937133679805.000000,,866619040566.000000,,,866619040566.000000,54678059239.000000,,15836580000.000000,937133679805.000000,1347244280084.000000,,339750000000.000000,374948865468.000000,110310571043.000000,1000000000.000000,109310571043.000000,110310571043.000000,-12558320.000000,,824996878191.000000,,2172241158275.000000,3397500000.000000
12M 2014,,,21673903385.000000,130689423524.000000,130603159463.000000,86264061.000000,130689423524.000000,4808618173.000000,4808618173.000000,,4808618173.000000,6995380.000000,58515933548.000000,215694874010.000000,,,,,294444000.000000,202823882.000000,2192961820092.000000,7570159382.000000,90587073140.000000,2291616320496.000000,2507311194506.000000,,,537744820888.000000,22554049366.000000,,53009297632.000000,3501700357.000000,56510997989.000000,,28092724637.000000,,28092724637.000000,16771009094.000000,2036409393.000000,,387090788811.000000,,,387090788811.000000,24688841598.000000,537744820888.000000,1132149219873.000000,,1045903155244.000000,,,1045903155244.000000,66344091629.000000,,19901973000.000000,1132149219873.000000,1669894040761.000000,,339750000000.000000,374948865468.000000,122667025209.000000,2000000000.000000,120667025209.000000,122667025209.000000,51263068.000000,,837417153745.000000,,2507311194506.000000,3397500000.000000
12M 2015,,,27904713808.000000,167935894780.000000,167820643474.000000,115251306.000000,167935894780.000000,11066166017.000000,11066166017.000000,,11066166017.000000,200000.000000,58762187248.000000,265669161853.000000,,,,,1821059144.000000,134030675.000000,2537851615801.000000,5687525700.000000,81803803680.000000,2627298035000.000000,2892967196853.000000,,,625123073152.000000,28308051438.000000,,42939325208.000000,1392659462.000000,44331984670.000000,,37658395572.000000,,37658395572.000000,27225927161.000000,3152166299.000000,,456476629201.000000,,,456476629201.000000,27969918811.000000,625123073152.000000,1413300198967.000000,,1299670539487.000000,,,1299670539487.000000,87763261480.000000,,25866398000.000000,1413300198967.000000,2038423272119.000000,,339750000000.000000,374948865468.000000,139763354754.000000,3000000000.000000,136763354754.000000,139763354754.000000,81704512.000000,,854543924734.000000,,2892967196853.000000,3397500000.000000
12M 2016,,,40289931246.000000,193089013733.000000,193073635733.000000,15378000.000000,193089013733.000000,7748213437.000000,7748213437.000000,,7748213437.000000,,51083891392.000000,292211049808.000000,,,,,1556977006.000000,307909256.000000,2631183054275.000000,5557577177.000000,98990895831.000000,2737596413545.000000,3029807463353.000000,,,596788731977.000000,2000000000.000000,,37248521049.000000,1817837048.000000,39066358097.000000,,39054036513.000000,,39054036513.000000,41873785935.000000,8196128944.000000,,439730687884.000000,,,439730687884.000000,26867734604.000000,596788731977.000000,1529390696098.000000,,1386632436877.000000,,,1386632436877.000000,110982477221.000000,,31775782000.000000,1529390696098.000000,2126179428075.000000,,339750000000.000000,374948865468.000000,188816937923.000000,4000000000.000000,184816937923.000000,188816937923.000000,112231887.000000,,903628035278.000000,,3029807463353.000000,3397500000.000000
12M 2017,,,84903045576.000000,207532720301.000000,207492262301.000000,40458000.000000,207532720301.000000,4400066107.000000,4399066107.000000,1000000.000000,4400066107.000000,,46841147873.000000,343676979857.000000,,,,,529677006.000000,374708116.000000,2764780686533.000000,5650919297.000000,192383947746.000000,2963719938698.000000,3307396918555.000000,,,802405786738.000000,,,26180218892.000000,1708073629.000000,27888292521.000000,,70052870442.000000,,70052870442.000000,23301287082.000000,16114310952.000000,,637294871557.000000,,,637294871557.000000,27754154184.000000,802405786738.000000,1519181468376.000000,,1364688475786.000000,,,1364688475786.000000,120032519590.000000,,34460473000.000000,1519181468376.000000,2321587255114.000000,,339750000000.000000,374948865468.000000,270885467889.000000,5000000000.000000,265885467889.000000,270885467889.000000,225330084.000000,,985809663441.000000,,3307396918555.000000,3397500000.000000
12M 2018,,,227575695805.000000,216442717329.000000,216361019529.000000,81697800.000000,216442717329.000000,7588500428.000000,7588500428.000000,,7588500428.000000,,85153914570.000000,536760828132.000000,,,,,934021000.000000,2305386434.000000,3411907698638.000000,8766960657.000000,101861237878.000000,3525775304607.000000,4062536132739.000000,,,1150241108007.000000,20133541519.000000,,38192555818.000000,3583561638.000000,41776117456.000000,,42449869763.000000,,42449869763.000000,195901656429.000000,22163722497.000000,,726703811056.000000,,,726703811056.000000,101112389287.000000,1150241108007.000000,1773883093606.000000,,1603571854840.000000,,,1603571854840.000000,125392079766.000000,,44919159000.000000,1773883093606.000000,2924124201613.000000,,339750000000.000000,374948865468.000000,371551302328.000000,6000000000.000000,365551302328.000000,371551302328.000000,52161763330.000000,,1138411931126.000000,,4062536132739.000000,3397500000.000000
12M 2019,,,254557421382.000000,286266312351.000000,286181149731.000000,85162620.000000,286266312351.000000,12611740176.000000,12601740176.000000,10000000.000000,12611740176.000000,,99070944015.000000,652506417924.000000,,30112143317.000000,,32649457327.000000,929830000.000000,29550650813.000000,3893957386095.000000,101534266653.000000,107983477913.000000,4196717212118.000000,4849223630042.000000,,,1240237695433.000000,140193394066.000000,,54557159232.000000,9043906056.000000,63601065288.000000,,143352733534.000000,,143352733534.000000,90665560575.000000,26672436194.000000,,706403809523.000000,,,706403809523.000000,69348696253.000000,1240237695433.000000,2270833680960.000000,,2063557270342.000000,,,2063557270342.000000,140080242636.000000,,67196167982.000000,2270833680960.000000,3511071376393.000000,,339750000000.000000,374948865468.000000,477096564261.000000,7000000000.000000,470096564261.000000,477096564261.000000,146356823920.000000,,1338152253649.000000,,4849223630042.000000,3397500000.000000
12M 2020,,,191818184928.000000,338124611011.000000,338051666008.000000,72945003.000000,338124611011.000000,17286835697.000000,10520703127.000000,6766132570.000000,17286835697.000000,,80458533052.000000,627688164688.000000,,36356429433.000000,,32649457327.000000,929830000.000000,44821273531.000000,4059871768434.000000,102917709949.000000,265660464905.000000,4543206933579.000000,5170895098267.000000,,,1436932364028.000000,138702875000.000000,,56784228577.000000,38238181725.000000,95022410302.000000,,157328893399.000000,150209217.000000,157479102616.000000,232565395145.000000,18853142216.000000,,734430968288.000000,,,734430968288.000000,59878470461.000000,1436932364028.000000,2294642818540.000000,,2077125863235.000000,,,2077125863235.000000,133659437607.000000,,83857517698.000000,2294642818540.000000,3731575182568.000000,,339750000000.000000,374948865468.000000,568867636927.000000,8000000000.000000,560867636927.000000,568867636927.000000,155753413304.000000,,1439319915699.000000,,5170895098267.000000,3397500000.000000
