Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Hasil Penjualan Kendaraan Bekas,Pembelian Aset Tetap - Kendaraan Sewa,Pembelian Persediaan Kendaraan Bekas,Penerimaan Dari:,Penghasilan Bunga,Kupon Obligasi,Pengembalian Pajak,Total Penerimaan Dari:,Pembayaran Pajak,Pembayaran Imbalan Karyawan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Saham,Penambahan Investasi Pada Surat Berharga,Penerimaan Kas Aksi Korporasi,Penerimaan Kas Tambahan Setoran Modal Pasa Entitas Anak,Tambahan Modal Pada Entitas Asosiasi Oleh Perusahaan,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Dividen,Pembayaran Pembelian Saham Kepentingan Non-Pengendali Entitas Anak,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Penempatan Aset Keuangan Tersedia Untuk Dijual,Pembayaran Investasi,Kas Entitas Anak Yang Didekonsolidasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Investasi,Penerbitan Saham Baru,Penambahan Pinjaman Jangka Panjang,Penambahan Pinjaman Jangka Pendek,Penambahan Pinjaman Pembiayaan,Pembayaran Pinjaman Pembiayaan,Penerimaan Utang Promes,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Pendek,Pembayaran Utang Promes,Pembayaran Beban Keuangan,Penerimaan Dari Penerbitan Obligasi,Penbayaran Obligasi Yang Tidak Dikonversi Dan Telah Jatuh Tempo,Pembelian Saham Kepentingan Non-Pengendali Entitas Anak,Penambahan Setoran Modal,Pembayaran Liabilitas Sewa,Penerimaan Uang Muka Setoran Modal,Penerimaan Setoran Modal Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-150216976057.000000,541318844810.000000,-212091973924.000000,-70051518255.000000,83354939238.000000,-481600244842.000000,-8303023018.000000,,256994138.000000,,5038600128.000000,5295594266.000000,-8012497332.000000,-127097000.000000,,-150216976057.000000,-49112727994.000000,,,,,,3727410477.000000,-52840138471.000000,,,,,,,,,-49112727994.000000,201208517948.000000,,,,523108258045.000000,17897372950.000000,,,10000000000.000000,-231086248418.000000,-48739995134.000000,-10000000000.000000,-109970869495.000000,,,,,,50000000000.000000,,201208517948.000000,-43309620.000000,,1835504277.000000,7903623663.000000,9739127940.000000
12M 2012,-166673526337.000000,643665512065.000000,-222525668745.000000,-99625213118.000000,145132642165.000000,-606998990758.000000,-19383513033.000000,,1725778643.000000,,6847454467.000000,8573233110.000000,-14911429847.000000,-600098176.000000,,-166673526337.000000,-28238296237.000000,,,,,,2744984430.000000,-30983280667.000000,,,,,,,,,-28238296237.000000,500743628505.000000,,,530400000000.000000,489141244866.000000,242947430223.000000,,,8000000000.000000,-403184293212.000000,-227843012309.000000,-8000000000.000000,-130717741063.000000,,,,,,,,500743628505.000000,-3218844.000000,,305828587087.000000,9739127940.000000,315567715027.000000
12M 2013,-100483064366.000000,805813017942.000000,-249903581877.000000,-147539242245.000000,202791400911.000000,-698254892759.000000,-675668877.000000,,4212161157.000000,,8617440138.000000,12829601295.000000,-25168729756.000000,-374969000.000000,,-100483064366.000000,-26860043928.000000,,,,,,3943359185.000000,-23728733885.000000,-7074669228.000000,,,,,,,,-26860043928.000000,-162192696486.000000,,,,320036034313.000000,86059475675.000000,,,,-349821139122.000000,-106723882458.000000,,-111743184894.000000,,,,,,,,-162192696486.000000,-37213518.000000,,-289573018298.000000,315567715027.000000,25994696729.000000
12M 2014,-98398141231.000000,954146255529.000000,-349326424850.000000,-199231838785.000000,173791046192.000000,-687587298336.000000,,,631517051.000000,,10352600001.000000,10984117052.000000,-794007033.000000,-379991000.000000,,-98398141231.000000,-57050746237.000000,,,,,,4662286870.000000,-59325003107.000000,-2388030000.000000,,,,,,,,-57050746237.000000,151088114328.000000,-30577500000.000000,,,701488758744.000000,187666548719.000000,,,,-396325638650.000000,-175112499353.000000,,-136051555132.000000,,,,,,,,151088114328.000000,39979796.000000,,-4320793344.000000,25994696729.000000,21673903385.000000
12M 2015,-93490934465.000000,1139358832869.000000,-436504623603.000000,-212129497368.000000,215356367836.000000,-806131249708.000000,,,621609532.000000,,7581646027.000000,8203255559.000000,-974853050.000000,-669167000.000000,,-93490934465.000000,-45268825823.000000,,,,,,5116397571.000000,-50373973394.000000,-11250000.000000,,,,,,,,-45268825823.000000,145038075278.000000,-16987500000.000000,,,789946810480.000000,260749989970.000000,,,,-465411585041.000000,-254995987898.000000,,-168263652233.000000,,,,,,,,145038075278.000000,-47504567.000000,,6230810423.000000,21673903385.000000,27904713808.000000
12M 2016,177166217551.000000,1375569335193.000000,-490235457580.000000,-280162415553.000000,201136790842.000000,-629159394893.000000,-736813674.000000,,759503626.000000,,3754902633.000000,4514406259.000000,-3014585043.000000,-745648000.000000,,177166217551.000000,-12414690553.000000,,,,,,5976321327.000000,-16228285480.000000,-2162726400.000000,,,,,,,,-12414690553.000000,-152376454475.000000,-13590000000.000000,,,570000000010.000000,157425292194.000000,,,,-499775160168.000000,-183733343632.000000,,-182703242879.000000,,,,,,,,-152376454475.000000,10144915.000000,,12385217438.000000,27904713808.000000,40289931246.000000
12M 2017,178440487755.000000,1464710304771.000000,-457831895292.000000,-339584847546.000000,246139119027.000000,-720992876498.000000,,,1058477010.000000,,7507294728.000000,8565771738.000000,-21290010445.000000,-1275078000.000000,,178440487755.000000,-110620319300.000000,-500000000.000000,,,,,7618377163.000000,-115072839503.000000,-2665856960.000000,,,,,,,,-110620319300.000000,-23199887007.000000,-23782500000.000000,,,650000000000.000000,126006696523.000000,,,,-474875771222.000000,-128006696523.000000,,-172541615785.000000,,,,,,,,-23199887007.000000,-7167118.000000,,44613114330.000000,40289931246.000000,84903045576.000000
12M 2018,122913984853.000000,1579936788453.000000,-406144589162.000000,-391835829059.000000,326041195641.000000,-977265749661.000000,,,4202251254.000000,,21128134861.000000,25330386115.000000,-31784385474.000000,-1363832000.000000,,122913984853.000000,-113241977576.000000,,,,,,7014347625.000000,-113517653284.000000,-6738671917.000000,,,,,,,,-113241977576.000000,133240890609.000000,-40770000000.000000,,,1010000000000.000000,20133541519.000000,,,,-681147335801.000000,,,-174975315109.000000,,,,,,,,133240890609.000000,-240247657.000000,,142672650229.000000,84903045576.000000,227575695805.000000
12M 2019,-146284154076.000000,1903712376519.000000,-571141216949.000000,-545259369391.000000,409307548763.000000,-1322179090733.000000,,,12026661636.000000,,7912536851.000000,19939198487.000000,-39457837730.000000,-1205763042.000000,,-146284154076.000000,-149008421230.000000,,,,,,15911831378.000000,-63361369285.000000,-52519498906.000000,,,-18583001996.000000,,-30181000000.000000,-275382421.000000,,-149008421230.000000,323323533017.000000,,,,1245000000000.000000,120059852547.000000,,,,-803581894350.000000,,,-238154425180.000000,,,,,,,,323323533017.000000,-1049232134.000000,,26981725577.000000,227575695805.000000,254557421382.000000
12M 2020,301019586872.000000,2544072924315.000000,-981927755140.000000,-800296340325.000000,380564804170.000000,-837063245396.000000,,,9501145420.000000,,17072175138.000000,26573320558.000000,-28991357901.000000,-1912763409.000000,,301019586872.000000,-140937712015.000000,,,,,,7684427672.000000,-133751054414.000000,-14871085273.000000,,,,,,,,-140937712015.000000,-223537966789.000000,,,,792623270000.000000,-1490519066.000000,,,,-751595089602.000000,,,-250159393906.000000,,,,,-12916234215.000000,,,-223537966789.000000,716855478.000000,,-62739236454.000000,254557421382.000000,191818184928.000000
