Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan Dan Pertambahan Nilai,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Uang Muka Untuk Perolehan Aset Tetap,Biaya Persiapan Pabrik,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Pemegang Saham,Pembayaran Pinjaman Pemegang Saham,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Biaya Emisi Saham,Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,256856178.000000,3954820278.000000,-1290521931.000000,-1115737397.000000,-1135323383.000000,-140278903.000000,-16102486.000000,256856178.000000,-309425000.000000,-205925000.000000,,-103500000.000000,,-309425000.000000,,,,,,,,,,,-52568822.000000,,106524588.000000,53955766.000000
12M 2022,-1138214810.000000,5739711085.000000,-1964184262.000000,-1320232530.000000,-2809837407.000000,-170850908.000000,-612820788.000000,-1138214810.000000,-13508150000.000000,-13508150000.000000,,,,-13508150000.000000,14600433072.000000,,,,-1399566928.000000,,,16000000000.000000,14600433072.000000,,-45931738.000000,,53955766.000000,8024028.000000
12M 2023,-5147024180.000000,4607802857.000000,-2274807407.000000,-2961375551.000000,-4295037953.000000,-32617190.000000,-190988936.000000,-5147024180.000000,-10979466550.000000,-3896902530.000000,-137240000.000000,-4716000000.000000,-2229324020.000000,-10979466550.000000,26832659846.000000,,-1319726450.000000,1998061760.000000,,,,26154324536.000000,26832659846.000000,,10706169116.000000,,8024028.000000,10714193144.000000
