Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Investasi Jangka Panjang,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,53955766.000000,1355419417.000000,1355419417.000000,,1355419417.000000,94351000.000000,,,94351000.000000,190788486.000000,113500000.000000,1808014669.000000,,1037603802.000000,101976398.000000,,1139580200.000000,2947594869.000000,,,1062388053.000000,,100185291.000000,,100185291.000000,,,,,452212238.000000,10038560.000000,,,499951964.000000,499951964.000000,1062388053.000000,1458378277.000000,,899614964.000000,899614964.000000,558763313.000000,1458378277.000000,2520766330.000000,,250000000.000000,,558325418.000000,,558325418.000000,558325418.000000,,-381496880.000000,426828538.000000,2947594868.000000,500000.000000
12M 2022,,,8024028.000000,199307178.000000,199307178.000000,,199307178.000000,75281000.000000,,,75281000.000000,301324063.000000,4231114574.000000,4815050843.000000,,13719270695.000000,82752360.000000,,13802023055.000000,18617073898.000000,,,1487099480.000000,,98156500.000000,,98156500.000000,1319726450.000000,,,1319726450.000000,69216530.000000,,,,,,1487099480.000000,689687935.000000,,,,689687935.000000,689687935.000000,2176787415.000000,,16250000000.000000,,637009595.000000,,637009595.000000,637009595.000000,,-446723112.000000,16440286483.000000,18617073898.000000,16250000.000000
12M 2023,,,10714193144.000000,406824215.000000,406824215.000000,,406824215.000000,2945792690.000000,,,2945792690.000000,239159195.000000,10551132810.000000,24857102054.000000,,16458965701.000000,909402250.000000,137240000.000000,17505607951.000000,42362710005.000000,,,2254128881.000000,,142439253.000000,,142439253.000000,,,,,35627868.000000,78000000.000000,,,1998061760.000000,1998061760.000000,2254128881.000000,1036471653.000000,,,,1036471653.000000,1036471653.000000,3290600534.000000,,21650459420.000000,20753865116.000000,-2723036620.000000,,-2723036620.000000,-2723036620.000000,,-609178445.000000,39072109471.000000,42362710005.000000,1082522971.000000
