Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,3987775195.000000,-1229021922.000000,2758753273.000000,-1902404101.000000,-279822128.000000,-1622581973.000000,-1902404101.000000,856349172.000000,-265471344.000000,-265471344.000000,-265471344.000000,590877828.000000,-76318405.000000,-85597483.000000,30006782.000000,-20727704.000000,-76318405.000000,514559423.000000,15993444.000000,15993444.000000,15993444.000000,530552867.000000,514559423.000000,514559423.000000,,514559423.000000,530552868.000000,530552868.000000,,530552868.000000
12M 2022,4583598846.000000,-1962155471.000000,2621443375.000000,-2324084879.000000,-229080879.000000,-2095004000.000000,-2324084879.000000,297358496.000000,-123180047.000000,-123180047.000000,-123180047.000000,174178449.000000,-95494271.000000,-57873092.000000,-37621179.000000,,-95494271.000000,78684178.000000,-65226232.000000,-65226232.000000,-65226232.000000,13457946.000000,78684177.000000,78684177.000000,,78684177.000000,13457945.000000,13457945.000000,,13457945.000000
12M 2023,4815319894.000000,-2319090160.000000,2496229734.000000,-6491639675.000000,-185030958.000000,-6306608717.000000,-6491639675.000000,-3995409941.000000,-37262876.000000,-37262876.000000,-37262876.000000,-4032672817.000000,780829155.000000,,780829155.000000,,780829155.000000,-3251843662.000000,-162455333.000000,-162455333.000000,-162455333.000000,-3414298995.000000,-3251843662.000000,-3251843662.000000,,-3251843662.000000,-3414298995.000000,-3414298995.000000,,-3414298995.000000
