Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,4.04,,6.28,,49.52,,0.96,1.1,1.1,13.1
12M 2009,147.87,35.7,30.22,153.35,2.47,5.44,10.22,31.69,45.02,,0.45,0.45,0.5,0.5,69.43
12M 2010,775.11,,,775.11,0.47,1.85,,,0.48,0.48,0.01,0.01,0.02,0.02,90.08
12M 2011,3.1,,,3.1,117.61,530.64,,,17.46,19.12,0.77,0.81,1.27,1.27,11.36
12M 2012,211.54,74.31,409.04,-123.19,1.73,1.59,4.91,2.59,0.44,0.23,0.04,0.02,0.5,0.5,1.44
12M 2013,1903.3,78.78,901.17,1080.91,0.19,0.31,4.63,69.69,0.08,3.82,,,-0.03,-0.03,0.4
12M 2014,276.99,20.67,1378.66,-1081.0,1.32,1.11,17.66,12.23,52.05,51.31,0.01,0.01,-0.08,-0.08,0.32
12M 2015,616.82,19.33,2783.5,-2147.35,0.59,0.46,18.89,16.03,23.88,23.16,,,-0.03,-0.03,0.91
12M 2016,2594.55,,3804.58,-1210.03,0.14,0.27,,,4.01,4.71,,,,,0.06
12M 2017,249.49,,34165.0,-33915.51,1.46,1.73,,,20.26,26.44,,,-0.01,-0.01,0.05
