Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.48,97.74,1.48,97.74,0 B,0 B,0 B,(5 B),39 B
12M 2009,1.50,92.00,1.50,92.00,,,,(0 B),(1 B)
12M 2010,1.03,97.60,1.03,97.60,0 B,1 B,1 B,1 B,30 B
12M 2011,1.25,80.91,1.25,80.91,0 B,3 B,3 B,3 B,24 B
12M 2012,3.13,102.11,3.75,85.33,239 B,111 B,349 B,348 B,146 B
12M 2013,3.07,144.79,4.16,106.94,0 B,,0 B,(1 B),(528 B)
12M 2014,2.85,150.01,3.83,111.41,224 B,,224 B,215 B,(855 B)
12M 2015,3.25,144.74,4.53,103.84,170 B,,170 B,167 B,"(1,039 B)"
12M 2016,1.21,94.08,1.47,77.43,134 B,,134 B,122 B,"(1,398 B)"
12M 2017,0.59,84.77,0.74,67.98,135 B,,135 B,130 B,"(1,627 B)"
