Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(5 B),(0 B),(5 B),-13.12
12M 2009,17 B,,17 B,41.57
12M 2010,(6 B),(2 B),(9 B),-21.05
12M 2011,(4 B),(0 B),(4 B),-10.41
12M 2012,(80 B),(41 B),(121 B),-4.90
12M 2013,82 B,(96 B),(14 B),-0.58
12M 2014,(29 B),(32 B),(61 B),-2.45
12M 2015,(257 B),(37 B),(294 B),-11.86
12M 2016,(13 B),(12 B),(26 B),-1.03
12M 2017,(89 B),(188 B),(277 B),-11.17
