Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Pemasok, Karyawan Dan Lain-Lain",Pembayaran Beban-Beban,"Peningkatan (Pembayaran) Lain-Lain, Bersih",Penerimaan Dari Utang Lain-Lain,Penerimaan Dari Utang Pihak Berelasi,Pembayaran (Peningkatan) Piutang Kepada Pihak Dengan Hubungan Istimewa,Pembayaran Restitusi Pajak,Pembayaran Kepada Karyawan Dan Beban Usaha,Pembayaran Pajak Penghasilan,Pembayaran Beban Usaha,Pembayaran Beban Bunga Dan Keuangan,Peningkatan (Pembayaran) Surat Berharga,Pembayaran (Peningkatan) Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penebusan Surat Berharga,Penambahan (Pengurangan) Piutang Lain-Lain,Pelunasan Piutang Lain-Lain Dari Pihak Berelasi,Pelunasan Piutang Lain-Lain Dari Pihak Ketiga,Penambahan Piutang Lain-Lain - Pihak Ketiga,Penurunan (Kenaikan) Piutang Pihak Berelasi,Penambahan Investasi Pada Entitas Asosiasi,Penempatan Investasi,Pengurangan (Penambahan) Investasi Jangka Pendek,Pengurangan Investasi Lain-Lain,Kenaikan Aset Gas Dan Minyak Bumi,Penambahan Aset Eksplorasi Dan Evaluasi,Perolehan Aset Tetap,Arus Kas Keluar Bersih Dari Akusisi Entitas Anak,Pembayaran Uang Muka Investasi Pada Saham,Penerimaan Dari Surat Sanggup,Hasil Penjualan Aset Tetap,Hasil Penjualan Penyertaan,Penerimaan Bunga,Pengembalian (Penempatan) Deposito,Penerimaan Dividen Dari Perusahaan Asosiasi,Penurunan (Peningkatan) Jaminan Pelanggan,Penerimaan Dari Penjualan Investasi Pada Saham,Pengurangan (Penambahan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Hubungan Istimewa,Penurunan (Penambahan) Piutang Hubungan Istimewa,Penambahan Utang Lembaga Pembiayaan,Penambahan Piutang Lain-Lain - Pihak Berelasi,Pengurangan Utang Pembiayaan,Penurunan Piutang Lain-Lain Pihak Berelasi,Penambahan Utang Pembiayaan,Penerimaan Dari Penawaran Umum Terbatas Saham Perusahaan,Penerimaan Dari Penambahan Modal Disetor - Bersih,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penambahan Modal Disetor,Penerimaan Pelepasan Partispasi Oleh Entitas Anak,Penurunan Tambahan Modal Disetor,Penurunan Utang Pihak Berelasi,Perolehan Utang Bank Dan Lembaga Keuangan Lainnya,Pembayaran Utang Bank Dan Lembaga Keuangan Lainnya,Pembayaran Utang Sewa Pembiayaan,Penerimaan Dari (Pembayaran Untuk) Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Dari (Pembayaran Untuk) Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Penerimaan Dari (Pembayaran Untuk) Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-5305458078.000000,39988693306.000000,-35287983140.000000,,-885709758.000000,,,,,-8949797089.000000,-111457593.000000,,-59203804.000000,,,-5305458078.000000,16658701020.000000,,-96538980.000000,,,,,,4950000000.000000,,,,,-2901500.000000,,,,11808141500.000000,,,,,,,,16658701020.000000,-8471695519.000000,,-3051498856.000000,-50935290.000000,,,,,,,,,-3606458876.000000,,,,,,,,,,,-1762802497.000000,,,-1762802497.000000,-8471695519.000000,2881547423.000000,2599301292.000000,,5480848715.000000
12M 2009,16818422759.000000,30397862195.000000,-8636007499.000000,,-1518444132.000000,,,,,-2645991484.000000,-750281535.000000,,-28714786.000000,,,16818422759.000000,-33723765328.000000,-35651086919.000000,967592248.000000,,,,,,,,,,,,,,,691806593.000000,,,,,,,267922750.000000,-33723765328.000000,11453454386.000000,,11103782717.000000,-221511914.000000,,,,,,,,,,,,,,,,,,,,571183583.000000,,,571183583.000000,11453454386.000000,-5451888183.000000,5480848715.000000,,28960532.000000
12M 2010,-6435974625.000000,1481838721.000000,-43898000.000000,,228849938.000000,,,,,-8039462140.000000,-63303144.000000,,,,,-6435974625.000000,8466592595.000000,,,,,,,-9474250840.000000,,10262432465.000000,,,,-2080777648.000000,,,,,,,,9819500330.000000,,,-60311712.000000,8466592595.000000,-1832112374.000000,121342626.000000,-2309497000.000000,856042000.000000,,,,,,,,,,,,,,,,,,,,-500000000.000000,,,-500000000.000000,-1832112374.000000,77162970.000000,28960532.000000,,106123502.000000
12M 2011,-4190921219.000000,31002726528.000000,-28561305384.000000,,-528172190.000000,,,,,-5971840283.000000,-10297368.000000,,-122032522.000000,,,-4190921219.000000,4042216000.000000,,,,,-18000000.000000,,,,,,,,-20275000.000000,,,,,,,,4160925000.000000,,,-80434000.000000,4042216000.000000,21234439.000000,2070741295.000000,,,-2832428914.000000,-206541843.000000,,,,,,,,,,,,,,,,,,989463901.000000,,,989463901.000000,21234439.000000,-2198212075.000000,227466128.000000,,-1970745947.000000
12M 2012,-8266191.000000,3304656.000000,-7030766.000000,,,,,,,,-256741.000000,,-4283340.000000,,,-8266191.000000,-249743876.000000,,,,,,,,,,,,-3984069.000000,-262214.000000,-217799792.000000,-37200402.000000,3143354.000000,,,1036657.000000,,,,5322590.000000,,-249743876.000000,258158879.000000,,,,,,,,,255562147.000000,34884989.000000,-19292102.000000,-1925088.000000,,,,,2808112.000000,-458895.000000,-35487.000000,,-13384797.000000,,,,,,258158879.000000,148812.000000,11027.000000,674.000000,160513.000000
12M 2013,6740741.000000,20362182.000000,-12620168.000000,,,,,,,,,,-1001273.000000,,,6740741.000000,-34552611.000000,,,,,,,,,,,-227237.000000,-7898355.000000,-5957.000000,495808.000000,-26921742.000000,,,,,4872.000000,,,,,-34552611.000000,27778214.000000,,,,,,,,,4875.000000,,-15592886.000000,,,,,,14731707.000000,,-25930.000000,28660448.000000,,,,,,,27778214.000000,-33656.000000,160513.000000,-23120.000000,103737.000000
12M 2014,-2323911.000000,5090663.000000,-5398495.000000,,,,,,,,,,-2016079.000000,,,-2323911.000000,-14385820.000000,,-705322.000000,,,,,,,,,-11137182.000000,-2538001.000000,-5315.000000,,,,,,,,,,,,-14385820.000000,16514712.000000,,,,,,,,,366.000000,17979665.000000,,,,,,,,,,,,,-1465319.000000,,,-1465319.000000,16514712.000000,-195019.000000,864250.000000,-1714.000000,667517.000000
12M 2015,-18634485.000000,2034527.000000,-16834283.000000,,,,,,,,,,-3834729.000000,,,-18634485.000000,-3627068.000000,,-117978.000000,,,,,,,,,-813712.000000,-2682110.000000,-13268.000000,,,,,,,,,,,,-3627068.000000,21866147.000000,,,,,,,,,1017675.000000,-5623842.000000,,,,,,,,,,,,,26472314.000000,,,26472314.000000,21866147.000000,-395406.000000,667517.000000,-5356.000000,266755.000000
12M 2016,-975304.000000,134554.000000,-1109858.000000,,,,,,,,,,,,,-975304.000000,-304463.000000,,308150.000000,,,,,,,,,312865.000000,-925478.000000,,,,,,,,,,,,,-304463.000000,1935194.000000,,,,,,,,,,-12443333.000000,,,,9619875.000000,,,,,,,,,4758652.000000,,,4758652.000000,1935194.000000,655427.000000,266755.000000,7125.000000,929307.000000
12M 2017,-6577371.000000,164323.000000,-6451320.000000,,,,,,,,,,-290374.000000,,,-6577371.000000,-14613591.000000,,1081402.000000,,,,,,,,,-1819757.000000,-13926802.000000,51566.000000,,,,,,,,,,,,-14613591.000000,20647064.000000,,,,,,,,,,-5119329.000000,,,,,50000.000000,,,,,,,,25716393.000000,,,25716393.000000,20647064.000000,-543898.000000,929307.000000,,385409.000000
