Period,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,656854000.000000,-562401000.000000,-562401000.000000,-562401000.000000,94453000.000000,-33368000.000000,-33368000.000000,-33368000.000000,61085000.000000,-214301000.000000,-138322000.000000,,8303000.000000,384000.000000,-84666000.000000,-214301000.000000,-153216000.000000,-1185000.000000,-154401000.000000,87639000.000000,-66762000.000000,-154401000.000000,-154401000.000000,,-154401000.000000,-66762000.000000,-66762000.000000,,-66762000.000000
12M 2011,594644000.000000,-687701000.000000,-687701000.000000,-687701000.000000,-93057000.000000,-33254000.000000,-33254000.000000,-33254000.000000,-126311000.000000,-909246000.000000,-177150000.000000,,1906000.000000,-2938000.000000,-731064000.000000,-909246000.000000,-1035557000.000000,2431000.000000,-1033126000.000000,-199345000.000000,-1232471000.000000,-1033126000.000000,-991936000.000000,-41190000.000000,-1033126000.000000,-1232471000.000000,-1177365000.000000,-55106000.000000,-1232471000.000000
12M 2012,452796000.000000,-454653000.000000,-454653000.000000,-454653000.000000,-1857000.000000,-37987000.000000,-37987000.000000,-37987000.000000,-39844000.000000,-685136000.000000,-106578000.000000,,400000.000000,6071000.000000,-585029000.000000,-685136000.000000,-724980000.000000,5589000.000000,-719391000.000000,-45139000.000000,-764530000.000000,-719391000.000000,-720314000.000000,923000.000000,-719391000.000000,-764530000.000000,-759018000.000000,-5512000.000000,-764530000.000000
12M 2013,329460000.0,-290782000.0,-290782000.0,-290782000.0,38678000.0,-48029000.0,-48029000.0,-48029000.0,-9351000.0,208208000.0,-99328000.0,53693000.0,142000.0,13788000.0,239913000.0,208208000.0,198857000.0,-19590000.0,179267000.0,7970000.0,187237000.0,179267000.0,178352000.0,915000.0,179267000.0,187237000.0,185251000.0,1986000.0,187237000.0
12M 2014,315425000.000000,-260752000.000000,-260752000.000000,-260752000.000000,54673000.000000,-40983000.000000,-40983000.000000,-40983000.000000,13690000.000000,-53342000.000000,-93363000.000000,21807000.000000,10000.000000,3850000.000000,14354000.000000,-53342000.000000,-39652000.000000,195000.000000,-39457000.000000,-2501000.000000,-41958000.000000,-39457000.000000,-39457000.000000,,-39457000.000000,-41958000.000000,-41958000.000000,,-41958000.000000
12M 2015,253191000.000000,-189578000.000000,-189578000.000000,-189578000.000000,63613000.000000,-40249000.000000,-40249000.000000,-40249000.000000,23364000.000000,147489000.000000,-87683000.000000,17189000.000000,5000.000000,6968000.000000,211010000.000000,147489000.000000,170853000.000000,16366000.000000,187219000.000000,5666000.000000,192885000.000000,187219000.000000,187219000.000000,,187219000.000000,192885000.000000,192885000.000000,,192885000.000000
12M 2016,20253000.000000,-15607000.000000,-15607000.000000,-15607000.000000,4646000.000000,-8017000.000000,-8017000.000000,-8017000.000000,-3371000.000000,-12270000.000000,-1895000.000000,5000.000000,3000.000000,8107000.000000,-18490000.000000,-12270000.000000,-15641000.000000,-105000.000000,-15746000.000000,16887000.000000,1141000.000000,-15746000.000000,-15746000.000000,,-15746000.000000,1141000.000000,1141000.000000,,1141000.000000
12M 2017,25247152.000000,-22300227.000000,-22300227.000000,-22300227.000000,2946925.000000,-4278905.000000,-4278905.000000,-4278905.000000,-1331980.000000,-7541141.000000,-1908157.000000,,18359.000000,7464085.000000,-13115428.000000,-7541141.000000,-8873121.000000,181232.000000,-8691889.000000,-2106859.000000,-10798748.000000,-8691889.000000,-8691889.000000,,-8691889.000000,-10798748.000000,-10798748.000000,,-10798748.000000
12M 2018,24934905.000000,-21452194.000000,-21452194.000000,-21452194.000000,3482711.000000,-4156624.000000,-4156624.000000,-4156624.000000,-673913.000000,6299472.000000,-1709211.000000,,16275.000000,7020540.000000,971868.000000,6299472.000000,5625559.000000,-199752.000000,5425807.000000,-9298418.000000,-3872611.000000,5425807.000000,5425807.000000,,5425807.000000,-3872611.000000,-3872611.000000,,-3872611.000000
12M 2019,20051894.000000,-17708347.000000,-17708347.000000,-17708347.000000,2343547.000000,-3923288.000000,-3923288.000000,-3923288.000000,-1579741.000000,1641369.000000,-1626834.000000,,9850.000000,4482234.000000,-1223881.000000,1641369.000000,61628.000000,-934031.000000,-872403.000000,2557009.000000,1684606.000000,-872403.000000,-872403.000000,,-872403.000000,1684606.000000,1684606.000000,,1684606.000000
12M 2020,18364836.000000,-13425170.000000,-13425170.000000,-13425170.000000,4939666.000000,-3793867.000000,-3793867.000000,-3793867.000000,1145799.000000,-1772571.000000,-1003393.000000,,23136.000000,453604.000000,-1245918.000000,-1772571.000000,-626772.000000,-190372.000000,-817144.000000,-1920346.000000,-2737490.000000,-817144.000000,-817144.000000,,-817144.000000,-2737490.000000,-2737490.000000,,-2737490.000000
12M 2021,19666677.000000,-14974441.000000,-14974441.000000,-14974441.000000,4692236.000000,-3214337.000000,-3214337.000000,-3214337.000000,1477899.000000,4645246.000000,-1774211.000000,,8177.000000,4565811.000000,1845469.000000,4645246.000000,6123145.000000,-227758.000000,5895387.000000,-1739290.000000,4156097.000000,5895387.000000,5895387.000000,,5895387.000000,4156097.000000,4156097.000000,,4156097.000000
12M 2022,23560712.000000,-16786696.000000,-16786696.000000,-16786696.000000,6774016.000000,-3628228.000000,-3628228.000000,-3628228.000000,3145788.000000,6144296.000000,-1711120.000000,,53503.000000,6713274.000000,1088639.000000,6144296.000000,9290084.000000,-251920.000000,9038164.000000,-1568174.000000,7469990.000000,9038164.000000,9038164.000000,,9038164.000000,7469990.000000,7469990.000000,,7469990.000000
12M 2023,39025697.000000,-25070978.000000,-25070978.000000,-25070978.000000,13954719.000000,-3203562.000000,-3203562.000000,-3203562.000000,10751157.000000,5395034.000000,-1412032.000000,,149582.000000,6653715.000000,3769.000000,5395034.000000,16146191.000000,-529315.000000,15616876.000000,2159757.000000,17776633.000000,15616876.000000,15616876.000000,,15616876.000000,17776633.000000,17776633.000000,,17776633.000000
12M 2024,40659611.000000,-29379538.000000,-29379538.000000,-29379538.000000,11280073.000000,-4135540.000000,-4135540.000000,-4135540.000000,7144533.000000,-3089838.000000,-3361423.000000,,263976.000000,-1759799.000000,1767408.000000,-3089838.000000,4054695.000000,-492110.000000,3562585.000000,4270528.000000,7833113.000000,3562585.000000,3562585.000000,,3562585.000000,7833113.000000,7833113.000000,,7833113.000000
