Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan Klaim Asuransi,Pembayaran Bunga,Pembayaran Beban Keuangan,Penerimaan Bunga,Pembayaran Bagi Hasil,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga - Net Pembayaran Derivatif,Kas Dibatasi Penggunaannya,Penerimaan Dari Uang Muka Penjualan Aset Tetap,Hasil Penjualan Aset Tetap,Penurunan (Kenaikan) Uang Jaminan,Perolehan Aset Tetap,Perolehan Investasi Asosiasi,Pembayaran Dividen Kepentingan Non Pengendali Entitas Anak,Pembayaran Piutang Lain-Lain Pihak Berelasi,Penerimaan Piutang Lain-Lain,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Untuk Investasi,Perolehan Dividen,Hasil Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Hasil Penjualan Investasi Keuangan,Pencairan Aset Keuangan Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Jangka Pendek,Penerimaan Dari Uang Muka Mcs,Pembayaran Pinjaman,Pembayaran Utang Lain-Lain,Penerimaan Pinjaman,Penerimaan Utang Lain-Lain,Penerimaan Dari Penerbitan Saham Baru Anak Perusahaan,Pembayaran Liabilitas Jangka Pendek Lainnya - Pihak Berelasi,Pembayaran Liabilitas Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Akhir Periode
12M 2011,39302000.000000,663473000.000000,-482919000.000000,1549000.000000,-137130000.000000,,,-4151000.000000,-1520000.000000,39302000.000000,-191096000.000000,1906000.000000,-9116000.000000,,80343000.000000,,-144463000.000000,,,,,,,,,,-119766000.000000,-191096000.000000,87795000.000000,-176323000.000000,,,,,194092000.000000,2000000.000000,119958000.000000,,-51932000.000000,87795000.000000,-63999000.000000,84284000.000000,25000.000000,,20310000.000000
12M 2012,19513000.000000,489412000.000000,-411766000.000000,1251000.000000,-58585000.000000,,,,-799000.000000,19513000.000000,88348000.000000,395000.000000,-9895000.000000,,107056000.000000,,-9539000.000000,,,,,,,,,,331000.000000,88348000.000000,-114207000.000000,-86318000.000000,,,,,6664000.000000,3600000.000000,,,-38153000.000000,-114207000.000000,-6346000.000000,20310000.000000,133000.000000,-2804000.000000,11293000.000000
12M 2013,6294000.000000,329382000.000000,-284049000.000000,32000.000000,-38865000.000000,,,,-206000.000000,6294000.000000,12278000.000000,142000.000000,9877000.000000,,6667000.000000,,-4408000.000000,,,,,,,,,,,12278000.000000,-3873000.000000,,,,,,10000000.000000,,,,-13873000.000000,-3873000.000000,14699000.000000,11293000.000000,-76000.000000,-5644000.000000,20272000.000000
12M 2014,31305000.000000,307271000.000000,-256092000.000000,206000.000000,-19984000.000000,,10000.000000,,-106000.000000,31305000.000000,-9769000.000000,,,,132000.000000,,-9901000.000000,,,,,,,,,,,-9769000.000000,-17861000.000000,-2567000.000000,,,,,,,,,-15294000.000000,-17861000.000000,3675000.000000,20272000.000000,-2000.000000,,23945000.000000
12M 2015,22828000.000000,257271000.000000,-201877000.000000,164000.000000,-32662000.000000,,5000.000000,,-73000.000000,22828000.000000,2851000.000000,,9168000.000000,,17000.000000,54000.000000,-7138000.000000,,,,,,,750000.000000,,,,2851000.000000,-32911000.000000,-16396000.000000,,,,,,,,,-16515000.000000,-32911000.000000,-7232000.000000,23945000.000000,-580000.000000,-5819000.000000,10314000.000000
12M 2016,-2035000.000000,20065000.000000,-20838000.000000,,-1132000.000000,,3000.000000,,-133000.000000,-2035000.000000,-4312000.000000,,,,7000.000000,15000.000000,-5234000.000000,,,,,,,900000.000000,,,,-4312000.000000,1821000.000000,-8179000.000000,,10000000.000000,,,,,,,,1821000.000000,-4526000.000000,10314000.000000,,,5788000.000000
12M 2017,3370590.000000,25718791.000000,-20920952.000000,,-1254324.000000,,18359.000000,,-191284.000000,3370590.000000,1015404.000000,,,,7643236.000000,,-8127832.000000,,,,,,,1500000.000000,,,,1015404.000000,-5595045.000000,-5595045.000000,,,,,,,,,,-5595045.000000,-1209051.000000,5787637.000000,,,4578586.000000
12M 2018,1565488.000000,23836079.000000,-20836526.000000,,-1272238.000000,,16275.000000,,-178102.000000,1565488.000000,1235511.000000,,,,669.000000,,-1465158.000000,,,,,,,2700000.000000,,,,1235511.000000,-4205028.000000,-4205028.000000,,,,,,,,,,-4205028.000000,-1404029.000000,4578586.000000,,,3174557.000000
12M 2019,1503659.000000,20473646.000000,-17670466.000000,,-1133355.000000,,9850.000000,,-176016.000000,1503659.000000,1131131.000000,,,,2243511.000000,,-1334410.000000,,,,,,,30.000000,222000.000000,,,1131131.000000,-5231158.000000,,,,,,379025.000000,,,-5610183.000000,,-5231158.000000,-2596368.000000,3174557.000000,,,578189.000000
12M 2020,5010688.000000,17909242.000000,-12734470.000000,,,,23136.000000,,-187220.000000,5010688.000000,-4071519.000000,,,,562.000000,,-4072111.000000,,,,,,,30.000000,,,,-4071519.000000,-567709.000000,,,,,,232291.000000,,,-800000.000000,,-567709.000000,371460.000000,578189.000000,,,949649.000000
12M 2021,3894241.000000,20213027.000000,-15026056.000000,,,-1083053.000000,8177.000000,,-217854.000000,3894241.000000,-69883.000000,,,1013115.000000,331386.000000,,-659251.000000,,,,,-405000.000000,-602705.000000,252572.000000,,,,-69883.000000,-699621.000000,-111416.000000,,,,,,,,-588205.000000,,-699621.000000,3124737.000000,949649.000000,,,4074386.000000
12M 2022,2238886.000000,22688618.000000,-19545217.000000,,,-738046.000000,53503.000000,,-219972.000000,2238886.000000,-2238928.000000,,,,4909607.000000,,-4899804.000000,-1912607.000000,,-699256.000000,,-607601.000000,,970733.000000,,,,-2238928.000000,-2218589.000000,-500000.000000,,,,,,,,-1244337.000000,-474252.000000,-2218589.000000,-2218631.000000,4074386.000000,,,1855755.000000
12M 2023,15767625.000000,39549052.000000,-22360211.000000,,,-1026363.000000,149582.000000,,-544435.000000,15767625.000000,-3759852.000000,,,,,,-907088.000000,-213241.000000,-617894.000000,-2885000.000000,,,,863371.000000,,,,-3759852.000000,-3502539.000000,,,,-600000.000000,-479313.000000,,,,-1926238.000000,-496988.000000,-3502539.000000,8505234.000000,1935610.000000,,,10440844.000000
12M 2024,15454653.000000,39661288.000000,-21044481.000000,,,-2957349.000000,263976.000000,,-468781.000000,15454653.000000,-8244398.000000,,,,,,-10272010.000000,-1294580.000000,,1692975.000000,-2781731.000000,,,4410948.000000,,,,-8244398.000000,-9427286.000000,,,,-600000.000000,-387799.000000,,,,,-8439487.000000,-9427286.000000,-2217031.000000,10440844.000000,,,8223813.000000
