Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,598006499.17,0.00,598006499.17,98 B,226 B,324 B,284 B,(53 B)
12M 2013,0.00,998193932.82,0.00,998193932.82,107 B,207 B,314 B,273 B,(30 B)
12M 2014,0.00,1260888922.15,0.00,1260888922.15,156 B,54 B,211 B,166 B,(72 B)
12M 2015,0.00,4231004.58,0.00,4231004.58,58 B,80 B,138 B,128 B,(27 B)
12M 2016,2.29,217.71,2.29,217.71,221 B,425 B,646 B,592 B,(156 B)
12M 2017,3.01,262.08,3.01,262.08,483 B,881 B,"1,364 B","1,307 B",(322 B)
12M 2018,2.34,386.09,2.34,386.09,571 B,"1,207 B","1,778 B","1,702 B",(447 B)
12M 2019,1.79,428.15,1.79,428.15,434 B,"1,145 B","1,579 B","1,320 B",(66 B)
12M 2020,1.18,507.05,1.18,507.05,375 B,"1,173 B","1,548 B","1,227 B",(35 B)
12M 2021,1.75,558.99,1.75,558.94,542 B,"1,527 B","2,068 B","1,722 B",(54 B)
12M 2022,1.26,700.36,1.26,700.31,599 B,"2,229 B","2,827 B","2,374 B",(31 B)
12M 2023,1.34,780.99,1.34,780.94,656 B,"2,738 B","3,394 B","2,991 B",127 B
12M 2024,1.12,900.74,1.12,900.69,728 B,"2,863 B","3,590 B","2,928 B",128 B
