Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Penerimaan (Pembayaran) Beban Usaha Dan Lainnya,Penerimaan (Pembayaran) Pajak Penghasilan,Penghasilan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Investasi Pada Asosiasi,Akuisisi Entitas Anak - Neto Kas Yang Diperoleh,Penjualan Aset Tetap,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Uang Muka Untuk Perolehan Aset Tetap,Kas Yang Diperoleh Dari Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal,Pembayaran Sewa,Perolehan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Perolehan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Dari Bank Yang Dibatasi Penggunaannya,Penerimaan Dari (Pembayaran Kepada) Pihak Ketiga,Perolehan Dari (Pembayaran Kepada) Pihak Berelasi,Pembayaran Dividen,Akuisisi Entitas Anak,Penambahan Investasi Di Anak Perusahaan Melalui Akuisisi,Penambahan Piutang Pihak Berelasi,Penambahan Utang Pembiayaan,Penerimaan Dari Utang Pihak Ketiga,Pembayaran Utang Pihak Ketiga,Pembayaran Bagian Pokok Liabilitas Sewa,Penerimaan Dari Utang Pembiayaan,Pembayaran Utang Pembiayaan,Perolehan Dari Penawaran Umum,Tambahan Modal Disetor - Pengampunan Pajak,Beban Emisi Saham,Penerimaan Dari Deposito Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Bank Entitas Anak Pada Saat Akuisisi,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,6456088.000000,19197577.000000,,-6846997.000000,-1773041.000000,-8620038.000000,-1974057.000000,-1870294.000000,-290432.000000,13332.000000,6456088.000000,-101286.000000,-134641.000000,,,33355.000000,,,,-101286.000000,-7087914.000000,,,2000000.000000,-9557466.000000,6159517.000000,-6654176.000000,176752.000000,,-171932.000000,,,,,,,,,,-28052.000000,,,,987443.000000,-7087914.000000,,-733112.000000,,,4114407.000000,3381295.000000
12M 2014,10342077.000000,23239806.000000,,-8792110.000000,-1857596.000000,-10649706.000000,-1485213.000000,-431359.000000,-338714.000000,7263.000000,10342077.000000,-4374.000000,-4374.000000,,,,,,,-4374.000000,-10095274.000000,,,839000.000000,-9572529.000000,3174000.000000,-3169000.000000,-1442050.000000,,157526.000000,,,,,,,,,,-82221.000000,,,,,-10095274.000000,,242429.000000,,,3381295.000000,3623724.000000
12M 2015,7383182.000000,14921915.000000,,-3959356.000000,-2055482.000000,-6014838.000000,-837004.000000,-514321.000000,-176718.000000,4148.000000,7383182.000000,-1515757.000000,-1515757.000000,,,,,,,-1515757.000000,-8816465.000000,13953411.000000,,8871000.000000,-15647498.000000,2744040.000000,-2837040.000000,1701708.000000,,589283.000000,-18095943.000000,,,,,,,,,-95426.000000,,,,,-8816465.000000,,-2949040.000000,,,3623724.000000,674684.000000
12M 2016,10573186.000000,18192477.000000,,-2334107.000000,-2566775.000000,-4900882.000000,-2072023.000000,-263497.000000,-397159.000000,14270.000000,10573186.000000,-19476093.000000,-19476093.000000,,,,,,,-19476093.000000,12028007.000000,5222000.000000,,19409000.000000,-7429618.000000,2574919.000000,-1666919.000000,48061.000000,,-1082406.000000,-4652275.000000,,,,,,,,,-68125.000000,,20000.000000,-346630.000000,,12028007.000000,,3125100.000000,,200318.000000,674684.000000,4000102.000000
12M 2017,17415667.000000,44788866.000000,,-15991531.000000,-5933076.000000,-21924607.000000,-4414695.000000,605336.000000,-1671994.000000,32761.000000,17415667.000000,-29962092.000000,-31216679.000000,,,1254587.000000,,,,-29962092.000000,12677522.000000,,,40375109.000000,-27765072.000000,7302524.000000,-8155334.000000,427231.000000,-3865736.000000,4797000.000000,-375488.000000,,,,,,,,,-62712.000000,,,,,12677522.000000,,131097.000000,,72567.000000,4000102.000000,4203766.000000
12M 2018,30943193.000000,72658321.000000,,-24424089.000000,-6392596.000000,-30816685.000000,-6535464.000000,-671570.000000,-3722373.000000,30964.000000,30943193.000000,-63779412.000000,-63779412.000000,,,,,,,-63779412.000000,33900632.000000,12423254.000000,,61966094.000000,-35471751.000000,7854057.000000,-163597.000000,2297620.000000,-12444392.000000,-2490379.000000,,,,,,,,,,-70274.000000,,,,,33900632.000000,,1064413.000000,,,4203766.000000,5268179.000000
12M 2019,30092289.000000,84506374.000000,,-32989525.000000,-8647097.000000,-41636622.000000,-6980213.000000,-1616106.000000,-4196465.000000,15321.000000,30092289.000000,-2268804.000000,-2296408.000000,,,27604.000000,,,,-2268804.000000,-14566215.000000,,,67274000.000000,-69441720.000000,,-6283593.000000,29807.000000,-822499.000000,-2306621.000000,-2878288.000000,,,,,,,,,-137301.000000,,,,,-14566215.000000,,13257270.000000,,,3414122.000000,16671392.000000
12M 2020,36103881.000000,83689641.000000,,-28003780.000000,-7896032.000000,-35899812.000000,-6210012.000000,-1527962.000000,-4021772.000000,73798.000000,36103881.000000,-27398453.000000,-28135638.000000,,,737185.000000,,,,-27398453.000000,-2620405.000000,698483.000000,,29875000.000000,-33377660.000000,,,-1218166.000000,1160051.000000,3940979.000000,-2937733.000000,,,,,,,-534036.000000,,-227323.000000,,,,,-2620405.000000,,6085023.000000,,,16671392.000000,22756415.000000
12M 2021,37210326.000000,102024160.000000,,-32269171.000000,-11672247.000000,-43941418.000000,-8455318.000000,-8207911.000000,-4316154.000000,106967.000000,37210326.000000,-55624534.000000,-55016070.000000,-416596.000000,-248109.000000,56241.000000,,,,-55624534.000000,19899255.000000,2223096.000000,-27987.000000,57722131.000000,-27332213.000000,2475000.000000,,-2970073.000000,2386697.000000,,-7298815.000000,-160890.000000,,,,,,-6897206.000000,,-220485.000000,,,,,19899255.000000,,1485047.000000,,,22756415.000000,24241462.000000
12M 2022,53224806.000000,131410723.000000,,-45800015.000000,-14145688.000000,-59945703.000000,-9843132.000000,-5296394.000000,-3186276.000000,85588.000000,53224806.000000,-75745975.000000,-75546522.000000,,-206761.000000,7308.000000,,,,-75745975.000000,27319243.000000,,,95475983.000000,-54290744.000000,-2475000.000000,,1652608.000000,2000000.000000,,-4408915.000000,-168225.000000,,,,,-4478718.000000,-5568054.000000,,-419692.000000,,,,,27319243.000000,,4798074.000000,,,24241462.000000,29039536.000000
