Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Investasi Pada Entitas Asosiasi,Piutang Pihak Berelasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pihak Berelasi,Utang Dari Pihak Ketiga,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Ketiga,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,4114407.000000,3193133.000000,,,3193133.000000,38718.000000,,,38718.000000,1463028.000000,8809286.000000,,46034622.000000,69259.000000,,,574877.000000,990260.000000,47669018.000000,56478304.000000,,,14275302.000000,974659.000000,2774518.000000,,,2774518.000000,1143164.000000,,,1143164.000000,125850.000000,112600.000000,,,,9140799.000000,3712.000000,,9144511.000000,,14275302.000000,23650577.000000,,23372857.000000,683.000000,,23373540.000000,,,277037.000000,23650577.000000,37925879.000000,,133166.000000,,18419259.000000,,18419259.000000,18419259.000000,,,18552425.000000,56478304.000000,300.000000
12M 2013,,,3381295.000000,3635523.000000,,,3635523.000000,29475.000000,,,29475.000000,1239647.000000,8285940.000000,,43378495.000000,65428.000000,,,746809.000000,,44190732.000000,52476672.000000,,,10730926.000000,480000.000000,1819226.000000,,,1819226.000000,1829.000000,,,1829.000000,58031.000000,41421.000000,,,,8252857.000000,77562.000000,,8330419.000000,,10730926.000000,17195969.000000,,16703333.000000,230922.000000,,16934255.000000,,,261714.000000,17195969.000000,27926895.000000,,133166.000000,,24416611.000000,,24416611.000000,24416611.000000,,,24549777.000000,52476672.000000,300.000000
12M 2014,,,3623724.000000,688687.000000,,,688687.000000,5858.000000,,,5858.000000,2780268.000000,7098537.000000,,40254229.000000,90390.000000,,,589283.000000,,40933902.000000,48032439.000000,,,12898981.000000,485000.000000,274212.000000,,,274212.000000,1373.000000,,,1373.000000,39249.000000,17275.000000,,,,12000698.000000,81174.000000,,12081872.000000,,12898981.000000,4728613.000000,,4221963.000000,145088.000000,,4367051.000000,,,361562.000000,4728613.000000,17627594.000000,,133166.000000,,30271679.000000,,30271679.000000,30271679.000000,,,30404845.000000,48032439.000000,300.000000
12M 2015,,,674684.000000,1368960.000000,,,1368960.000000,1508.000000,,,1508.000000,1076250.000000,3121402.000000,,38681384.000000,106816.000000,,,,56737.000000,38844937.000000,41966339.000000,,,5091617.000000,392000.000000,305879.000000,,,305879.000000,810.000000,,,810.000000,578148.000000,14672.000000,,,,3730351.000000,69757.000000,,3800108.000000,,5091617.000000,6204156.000000,,5715813.000000,61080.000000,,5776893.000000,,,427263.000000,6204156.000000,11295773.000000,,14086577.000000,,16583989.000000,,16583989.000000,16583989.000000,,,30670566.000000,41966339.000000,100000.000000
12M 2016,,,4000102.000000,1184023.000000,,,1184023.000000,,,,,3020376.000000,8204501.000000,,92941633.000000,144058.000000,,,,25434.000000,93111125.000000,101315626.000000,,,19802375.000000,1300000.000000,3159816.000000,,,3159816.000000,11502.000000,,,11502.000000,109397.000000,37599.000000,,,,15121349.000000,62712.000000,,15184061.000000,,19802375.000000,32181591.000000,,31600484.000000,,,31600484.000000,,,581107.000000,32181591.000000,51983966.000000,,17816577.000000,1165370.000000,21527404.000000,,21527404.000000,21527404.000000,8822309.000000,,49331660.000000,101315626.000000,2500000000.000000
12M 2017,,,4203766.000000,3928333.000000,,,3928333.000000,164352.000000,,,164352.000000,7458519.000000,15754970.000000,,164693169.000000,200676.000000,,,,14586.000000,164908431.000000,180663401.000000,,,39486926.000000,447190.000000,2195253.000000,,,2195253.000000,21165.000000,,,21165.000000,326582.000000,1266448.000000,,,,35230288.000000,,,35230288.000000,,39486926.000000,70637230.000000,,45101583.000000,,,45101583.000000,19931153.000000,4797000.000000,807494.000000,70637230.000000,110124156.000000,,17816577.000000,1175370.000000,29369601.000000,300000.000000,29069601.000000,29369601.000000,22177697.000000,,70539245.000000,180663401.000000,2500000000.000000
12M 2018,,,5268179.000000,5239169.000000,,,5239169.000000,132652.000000,,,132652.000000,5922048.000000,16562048.000000,,217245218.000000,188500.000000,,,,2854.000000,217436572.000000,233998620.000000,,,47438990.000000,8137650.000000,2922862.000000,,,2922862.000000,185523.000000,,,185523.000000,404897.000000,667765.000000,2306621.000000,,,31152283.000000,126199.000000,1535190.000000,32813672.000000,,47438990.000000,89095389.000000,,75673931.000000,196688.000000,4980905.000000,80851524.000000,7486761.000000,,757104.000000,89095389.000000,136534379.000000,,19379251.000000,12035950.000000,39498545.000000,600000.000000,38898545.000000,39498545.000000,24949558.000000,1600937.000000,97464241.000000,233998620.000000,2719790000.000000
12M 2019,,,18593869.000000,9834550.000000,,,9834550.000000,50997.000000,,,50997.000000,5814129.000000,34293545.000000,,204650991.000000,155352.000000,,,,724111.000000,205530454.000000,239823999.000000,,,39059635.000000,1922477.000000,4609841.000000,,,4609841.000000,140305.000000,,,140305.000000,786911.000000,780156.000000,,,,29095644.000000,184905.000000,1539396.000000,30819945.000000,,39059635.000000,86441670.000000,,75562850.000000,148578.000000,3441509.000000,79152937.000000,6664262.000000,,624471.000000,86441670.000000,125501305.000000,,19379251.000000,12035950.000000,50754028.000000,600000.000000,50154028.000000,50754028.000000,30552528.000000,1600937.000000,114322694.000000,239823999.000000,2719790000.000000
12M 2020,,,22756415.000000,15470352.000000,,,15470352.000000,620038.000000,,,620038.000000,8419747.000000,47266552.000000,,218123528.000000,182114.000000,,,,28991698.000000,247297340.000000,294563892.000000,,,49735201.000000,,3391054.000000,,,3391054.000000,3974824.000000,,,3974824.000000,3310743.000000,1388572.000000,,,,26348686.000000,233431.000000,11087891.000000,37670008.000000,,49735201.000000,109915990.000000,,74807148.000000,319397.000000,26042497.000000,101169042.000000,8028469.000000,,718479.000000,109915990.000000,159651191.000000,,19379251.000000,12035950.000000,64770214.000000,800000.000000,63970214.000000,64770214.000000,37140722.000000,1586564.000000,134912701.000000,294563892.000000,2719790000.000000
12M 2021,,,24241462.000000,9934261.000000,9830948.000000,103313.000000,9934261.000000,1513708.000000,1513708.000000,,1513708.000000,13060115.000000,48749546.000000,,257165679.000000,158535.000000,8852.000000,,,19383718.000000,276716784.000000,325466330.000000,,,52510587.000000,2475000.000000,1220767.000000,,,1220767.000000,,370708.000000,,370708.000000,1630947.000000,1545022.000000,,,,35257340.000000,194789.000000,9787317.000000,45239446.000000,28697.000000,52510587.000000,122098561.000000,,96288413.000000,233389.000000,14465385.000000,110987187.000000,10415166.000000,,696208.000000,122098561.000000,174609148.000000,,19379251.000000,12333787.000000,73180146.000000,900000.000000,72280146.000000,73180146.000000,44376216.000000,1587782.000000,150857182.000000,325466330.000000,2719790000.000000
