Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Beban Bunga,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,19639967.000000,-9867800.000000,9772167.000000,-1593111.000000,-1593111.000000,,-1593111.000000,8179056.000000,-1925942.000000,,-1960725.000000,,95742.000000,,,-60959.000000,-1925942.000000,6253114.000000,-251122.000000,6001992.000000,-4640.000000,5997352.000000,6001992.000000,6001992.000000,,6001992.000000,5997352.000000,5997352.000000,,5997352.000000
12M 2014,20292970.000000,-11185819.000000,9107151.000000,-1465416.000000,-1465416.000000,,-1465416.000000,7641735.000000,-1473830.000000,,-1477950.000000,,7758.000000,,,-3638.000000,-1473830.000000,6167905.000000,-263184.000000,5904721.000000,-49653.000000,5855068.000000,5904721.000000,5904721.000000,,5904721.000000,5855068.000000,5855068.000000,,5855068.000000
12M 2015,15602187.000000,-8499941.000000,7102246.000000,-1642529.000000,-1642529.000000,,-1642529.000000,5459717.000000,-846485.000000,,-832856.000000,,43926.000000,,,-57555.000000,-846485.000000,4613232.000000,-164816.000000,4448416.000000,-40163.000000,4408253.000000,4448416.000000,4448416.000000,,4448416.000000,4408253.000000,4408253.000000,,4408253.000000
12M 2016,17971174.000000,-10301904.000000,7669270.000000,-2517252.000000,-2517252.000000,,-2517252.000000,5152018.000000,1392098.000000,,-2057753.000000,,-161631.000000,,,3611482.000000,1392098.000000,6544116.000000,-228507.000000,6315609.000000,-100825.000000,6214784.000000,6315609.000000,5041105.000000,1274504.000000,6315609.000000,6214784.000000,4943415.000000,1271369.000000,6214784.000000
12M 2017,46313611.000000,-25822800.000000,20490811.000000,-3691001.000000,-3350262.000000,-340739.000000,-3691001.000000,16799810.000000,-2294930.000000,,-4381931.000000,,57091.000000,,288789.000000,1741121.000000,-2294930.000000,14504880.000000,-1391717.000000,13113163.000000,-87055.000000,13026108.000000,13113163.000000,8300675.000000,4812488.000000,13113163.000000,13026108.000000,8217685.000000,4808423.000000,13026108.000000
12M 2018,67453067.000000,-40890458.000000,26562609.000000,-4188886.000000,-3871552.000000,-317334.000000,-4188886.000000,22373723.000000,-5525481.000000,,-6446718.000000,,413397.000000,,,507840.000000,-5525481.000000,16848242.000000,-2390964.000000,14457278.000000,44464.000000,14501742.000000,14457278.000000,10094649.000000,4362629.000000,14457278.000000,14501742.000000,10128944.000000,4372798.000000,14501742.000000
12M 2019,90636945.000000,-54575086.000000,36061859.000000,-6035576.000000,-5652613.000000,-382963.000000,-6035576.000000,30026283.000000,-8012445.000000,,-6792400.000000,,-83387.000000,,18863.000000,-1155521.000000,-8012445.000000,22013838.000000,-2486815.000000,19527023.000000,209718.000000,19736741.000000,19527023.000000,13950417.000000,5576606.000000,19527023.000000,19736741.000000,14133771.000000,5602970.000000,19736741.000000
12M 2020,85717534.000000,-47960113.000000,37757421.000000,-5319887.000000,-5065288.000000,-254599.000000,-5319887.000000,32437534.000000,-6352292.000000,73798.000000,-6256426.000000,,40752.000000,,-174912.000000,-35504.000000,-6352292.000000,26085242.000000,-3239680.000000,22845562.000000,-16305.000000,22829257.000000,22845562.000000,16934217.000000,5911345.000000,22845562.000000,22829257.000000,16939546.000000,5889711.000000,22829257.000000
12M 2021,101413948.000000,-61035104.000000,40378844.000000,-7247624.000000,-6735254.000000,-512370.000000,-7247624.000000,33131220.000000,-8746224.000000,106967.000000,-8455320.000000,,-507088.000000,,-6488.000000,115705.000000,-8746224.000000,24384996.000000,-3390223.000000,20702575.000000,20298.000000,20722873.000000,20702575.000000,15003438.000000,5699137.000000,20702575.000000,20722873.000000,15023128.000000,5699745.000000,20722873.000000
12M 2022,134657972.000000,-84250922.000000,50407050.000000,-9354778.000000,-8384812.000000,-969966.000000,-9354778.000000,41052272.000000,-11605896.000000,85588.000000,-9843132.000000,,-1455567.000000,,7308.000000,-400093.000000,-11605896.000000,29446376.000000,-3327096.000000,26119280.000000,-56361.000000,26062919.000000,26119280.000000,18887878.000000,7231402.000000,26119280.000000,26062919.000000,18913333.000000,7149586.000000,26062919.000000
12M 2023,163631548.000000,-109994081.000000,53637467.000000,-9414285.000000,-8015761.000000,-1398524.000000,-9414285.000000,44223182.000000,-14924400.000000,133536.000000,-13845472.000000,,-475980.000000,33111.000000,-47533.000000,-722062.000000,-14924400.000000,29298782.000000,-3535318.000000,25763464.000000,152139.000000,25915603.000000,25763464.000000,18473315.000000,7290149.000000,25763464.000000,25915603.000000,18603851.000000,7311752.000000,25915603.000000
12M 2024,185057669.000000,-130669572.000000,54388097.000000,-10756492.000000,-8892550.000000,-1863942.000000,-10756492.000000,43631605.000000,-16074442.000000,365593.000000,-14076325.000000,-868178.000000,-1801835.000000,-65270.000000,,371573.000000,-16074442.000000,27557163.000000,-3433159.000000,24124004.000000,-428843.000000,23695161.000000,24124004.000000,17412249.000000,6711755.000000,24124004.000000,23695161.000000,17172092.000000,6523069.000000,23695161.000000
