Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2020,,,,,,,,,,,,,-9.2,,0.81
12M 2021,10.14,278.37,71.64,216.87,36.0,,1.31,,9.13,,1.15,,-7.16,,0.78
12M 2022,11.9,294.29,74.55,231.64,30.67,,1.24,,16.87,,1.3,,3.25,,2.1
12M 2023,14.8,294.44,80.8,228.44,24.66,19.22,1.24,1.2,23.31,20.65,1.25,1.19,2.69,2.69,2.67
12M 2024,15.79,240.02,54.5,201.31,23.12,21.05,1.52,1.67,20.78,21.79,1.31,1.38,3.41,3.41,2.57
