Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Obligasi Konversi,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,13606744221.000000,14019272093.000000,14017242093.000000,2030000.000000,14019272093.000000,405255119.000000,405255119.000000,,405255119.000000,257614399731.000000,10527487191.000000,296173158355.000000,,85483636035.000000,6803901808.000000,238397039220.000000,330684577063.000000,626857735418.000000,,,366200487378.000000,224875600925.000000,,71463918010.000000,71463918010.000000,,,,2969461563.000000,3717716036.000000,,62867373048.000000,62867373048.000000,306417796.000000,366200487378.000000,147698471584.000000,,113931520487.000000,113931520487.000000,33766951097.000000,147698471584.000000,513898958962.000000,,10000000000.000000,,103005491286.000000,,,103005491286.000000,,,-46714829.000000,112958776457.000000,626857735419.000000,10000.000000
12M 2021,,,7953936757.000000,26112848074.000000,16591564734.000000,9521283340.000000,26112848074.000000,557033906.000000,557033906.000000,,557033906.000000,314794971669.000000,17247113624.000000,366665904030.000000,,72837219270.000000,7248757835.000000,187827696483.000000,267913673588.000000,634579577618.000000,,,467550352261.000000,321469053660.000000,,75849600746.000000,75849600746.000000,,,,3248290819.000000,6728590778.000000,,59419001431.000000,59419001431.000000,835814827.000000,467550352261.000000,107603493962.000000,,73773190053.000000,73773190053.000000,33830303909.000000,107603493962.000000,575153846223.000000,,20000000000.000000,,68537766391.000000,,,68537766391.000000,,,-29112034997.000000,59425731394.000000,634579577617.000000,20000.000000
12M 2022,,,67760211736.000000,32937233333.000000,32882694972.000000,54538361.000000,32937233333.000000,1661753672.000000,1661753672.000000,,1661753672.000000,406831829483.000000,21543409739.000000,530734437963.000000,,34478125494.000000,7999150197.000000,186863599821.000000,229340875512.000000,760075313475.000000,,,252209465803.000000,,,106940878166.000000,106940878166.000000,,83392665750.000000,83392665750.000000,8144814189.000000,6474397988.000000,,47060585406.000000,47060585406.000000,196124304.000000,252209465803.000000,116992508926.000000,,80008881836.000000,80008881836.000000,36983627090.000000,116992508926.000000,369201974729.000000,,20000000000.000000,,44800877135.000000,,,44800877135.000000,355000000000.000000,67532728.000000,-28995071119.000000,390873338744.000000,760075313473.000000,20000.000000
12M 2023,,,64888711997.000000,48612092693.000000,47781906953.000000,830185740.000000,48612092693.000000,3244889251.000000,3244889251.000000,,3244889251.000000,455601414112.000000,26389952914.000000,598737060967.000000,,51805441138.000000,11201533273.000000,192110710602.000000,255117685013.000000,853854745980.000000,,,224431492209.000000,,,129727043833.000000,129727043833.000000,,36227609560.000000,36227609560.000000,5090245486.000000,6700267736.000000,,46286379900.000000,46286379900.000000,399945694.000000,224431492209.000000,126281569682.000000,,81012051084.000000,81012051084.000000,45269518598.000000,126281569682.000000,350713061891.000000,,66714660000.000000,446293146220.000000,14425371459.000000,,,14425371459.000000,,104345023.000000,-24395838613.000000,503141684089.000000,853854745980.000000,2668586400.000000
12M 2024,,,51802464242.000000,41690033198.000000,41031601377.000000,658431821.000000,41690033198.000000,1445570558.000000,1112046069.000000,333524489.000000,1445570558.000000,372531306307.000000,34552762318.000000,502022136623.000000,,48686479302.000000,11800335413.000000,177241149430.000000,237727964145.000000,739750100768.000000,,,195519570238.000000,46493400164.000000,,58304716875.000000,58304716875.000000,,7930883276.000000,7930883276.000000,2480215882.000000,12390561512.000000,,47722958712.000000,47722958712.000000,20196833817.000000,195519570238.000000,110627609755.000000,,62225828037.000000,62225828037.000000,48401781718.000000,110627609755.000000,306147179993.000000,,65405667650.000000,424275617253.000000,-68728867943.000000,,,-68728867943.000000,,-27393230.000000,12677897045.000000,433602920775.000000,739750100768.000000,2616226706.000000
