Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2020,0.00,11295877.65,0.00,11295877.65,225 B,,225 B,211 B,(70 B)
12M 2021,0.00,2971286.57,0.00,2971286.57,321 B,,321 B,314 B,(101 B)
12M 2022,0.00,19540290.30,0.00,19540290.30,,,,(68 B),279 B
12M 2023,0.94,188.50,0.94,188.50,,,,(65 B),374 B
12M 2024,2.09,165.75,2.09,165.75,46 B,,46 B,(5 B),307 B
