Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Properti Investasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Pinjaman Jangka Pendek,Medium Term Notes,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Medium Term Notes,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,147045214000.000000,361305558000.000000,11292253000.000000,350013305000.000000,361305558000.000000,158649958000.000000,98504284000.000000,765505014000.000000,,367075532000.000000,17798320000.000000,3741602000.000000,,,21815117000.000000,410430571000.000000,1175935585000.000000,,,184724697000.000000,20000000000.000000,,90077465000.000000,13391517000.000000,103468982000.000000,504274000.000000,14678534000.000000,39593265000.000000,3563067000.000000,,,,2916575000.000000,184724697000.000000,289820536000.000000,200000000000.000000,9314544000.000000,,,80505992000.000000,289820536000.000000,474545233000.000000,,84000000000.000000,17139103000.000000,491805164000.000000,366539103000.000000,125266061000.000000,491805164000.000000,,108446085000.000000,701390352000.000000,1175935585000.000000,168000000.000000
12M 2018,,,108627016000.000000,471354239000.000000,18933807000.000000,452420432000.000000,471354239000.000000,320280088000.000000,108200166000.000000,1008461509000.000000,,621466518000.000000,16552056000.000000,4350605000.000000,61065000000.000000,134443900000.000000,22323958000.000000,860202037000.000000,1868663546000.000000,,,971332958000.000000,558500000000.000000,,82450935000.000000,9786688000.000000,92237623000.000000,21529628000.000000,1884454000.000000,40712930000.000000,11558175000.000000,,,200000000000.000000,44910148000.000000,971332958000.000000,107532251000.000000,,21062247000.000000,881855000.000000,205000000.000000,85383149000.000000,107532251000.000000,1078865209000.000000,,84000000000.000000,17139103000.000000,536846939000.000000,404540231000.000000,132306708000.000000,536846939000.000000,20810418000.000000,131001877000.000000,789798337000.000000,1868663546000.000000,840000000.000000
12M 2019,,,106567314000.000000,592293200000.000000,29797348000.000000,562495852000.000000,592293200000.000000,361927291000.000000,137905859000.000000,1198693664000.000000,,644245638000.000000,15323396000.000000,4620217000.000000,77041000000.000000,134443900000.000000,22351365000.000000,898025516000.000000,2096719180000.000000,,,1183749900000.000000,994828783000.000000,,103236915000.000000,17436875000.000000,120673790000.000000,11111286000.000000,4022387000.000000,22586549000.000000,21062247000.000000,,,,9464858000.000000,1183749900000.000000,91359931000.000000,,,1376913000.000000,,89983018000.000000,91359931000.000000,1275109831000.000000,,84000000000.000000,17139103000.000000,546163617000.000000,444130087000.000000,102033530000.000000,546163617000.000000,21096990000.000000,153209639000.000000,821609349000.000000,2096719180000.000000,840000000.000000
12M 2020,,,60193523000.000000,456479822000.000000,18782376000.000000,437697446000.000000,456479822000.000000,384997707000.000000,82444363000.000000,984115415000.000000,,650651969000.000000,21254403000.000000,4392558000.000000,77715000000.000000,134443900000.000000,43416130000.000000,931873960000.000000,1915989375000.000000,,,1044059083000.000000,899678025000.000000,,83890164000.000000,29604844000.000000,113495008000.000000,2382265000.000000,1385040000.000000,15269990000.000000,,,,,11848755000.000000,1044059083000.000000,131021238000.000000,,,1686733000.000000,,129334505000.000000,131021238000.000000,1175080321000.000000,,84000000000.000000,17139103000.000000,462532942000.000000,414045080000.000000,48487862000.000000,462532942000.000000,21256392000.000000,155980617000.000000,740909054000.000000,1915989375000.000000,840000000.000000
12M 2021,,,94349876000.000000,439201972000.000000,28269785000.000000,410932187000.000000,439201972000.000000,339153737000.000000,76419132000.000000,949124717000.000000,,615906581000.000000,18040668000.000000,4391713000.000000,77553000000.000000,134443900000.000000,39078720000.000000,889414582000.000000,1838539299000.000000,,,732024589000.000000,604985219000.000000,,80908478000.000000,13352146000.000000,94260624000.000000,2158162000.000000,2892289000.000000,9179101000.000000,,618757000.000000,,,17930437000.000000,732024589000.000000,365537447000.000000,,253304836000.000000,906581000.000000,,111326030000.000000,365537447000.000000,1097562036000.000000,,84000000000.000000,17139103000.000000,454208699000.000000,443137792000.000000,11070907000.000000,454208699000.000000,21490650000.000000,164138811000.000000,740977263000.000000,1838539299000.000000,840000000.000000
12M 2022,,,147684064000.000000,450583739000.000000,30823597000.000000,419760142000.000000,450583739000.000000,284408410000.000000,66267674000.000000,948943887000.000000,,582904111000.000000,14135694000.000000,4337671000.000000,77650000000.000000,134443900000.000000,43865702000.000000,857337078000.000000,1806280965000.000000,,,710243131000.000000,529323926000.000000,,60350939000.000000,4227726000.000000,64578665000.000000,4768868000.000000,2225655000.000000,15780622000.000000,75030748000.000000,,,,18534647000.000000,710243131000.000000,324221760000.000000,,217030305000.000000,,,107191455000.000000,324221760000.000000,1034464891000.000000,,84000000000.000000,17139103000.000000,475634170000.000000,447564299000.000000,28069871000.000000,475634170000.000000,20766089000.000000,174276712000.000000,771816074000.000000,1806280965000.000000,840000000.000000
12M 2023,,,65836308000.000000,523392615000.000000,73695524000.000000,449697091000.000000,523392615000.000000,299944787000.000000,40358987000.000000,929532697000.000000,,544098774000.000000,43542552000.000000,4873511000.000000,104118000000.000000,107555120000.000000,34988063000.000000,839176020000.000000,1768708717000.000000,,,824922171000.000000,553433130000.000000,,51304326000.000000,22090444000.000000,73394770000.000000,14074011000.000000,3502415000.000000,92697780000.000000,73845271000.000000,,,,13974794000.000000,824922171000.000000,267029978000.000000,,162659618000.000000,,,104370360000.000000,267029978000.000000,1091952149000.000000,,84000000000.000000,17139103000.000000,378027481000.000000,463780691000.000000,-85753210000.000000,378027481000.000000,19374489000.000000,178215497000.000000,676756570000.000000,1768708719000.000000,840000000.000000
12M 2024,,,92004255000.000000,335634267000.000000,88747216000.000000,246887051000.000000,335634267000.000000,168589026000.000000,34884432000.000000,631111980000.000000,,499474742000.000000,108382068000.000000,5070213000.000000,104215000000.000000,53677824000.000000,28107531000.000000,798927378000.000000,1430039358000.000000,,,662944251000.000000,392982475000.000000,,37322258000.000000,12400964000.000000,49723222000.000000,47718541000.000000,420755000.000000,95081747000.000000,34329131000.000000,,,,42688380000.000000,662944251000.000000,373972754000.000000,,242947514000.000000,,,131025240000.000000,373972754000.000000,1036917005000.000000,,84000000000.000000,17139103000.000000,92953922000.000000,469735626000.000000,-376781704000.000000,92953922000.000000,13368672000.000000,185660654000.000000,393122351000.000000,1430039356000.000000,840000000.000000
