Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Kegiatan Operasi Lainnya,Penerimaan Bunga,Pembayaran Restitusi Pajak Pertambahan Nilai,Pengembalian Kelebihan Pembayaran Pajak Penghasilan,Pembayaran Pkbl,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Penambahan Investasi,Penerimaan Dividen,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Penerimaan Utang Bank,Penerimaan Dari Hasil Penerbitan Saham Baru,Penerimaan Dari Wesel Bayar Jangka Menengah,Penerimaan Uang Muka Setoran Modal,Pembayaran Utang Bank,Pembayaran Medium Term Notes,Pembayaran Dividen Kas,Pembayaran Dividen Daluarsa,Pembayaran Utang Pembiayaan Konsumen,Penambahan Liabilitas Sewa,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Yang Diperoleh Dari Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2017,102026324000.000000,909909032000.000000,-618624958000.000000,-145666781000.000000,747073000.000000,1208760000.000000,,,-825226000.000000,-44721576000.000000,102026324000.000000,-89166913000.000000,-89166913000.000000,,,,,,,-89166913000.000000,63127921000.000000,,117288600000.000000,,,,-193043217000.000000,200000000000.000000,-43252709000.000000,,,,-17864753000.000000,63127921000.000000,75987332000.000000,169031000.000000,70888851000.000000,,147045214000.000000
12M 2018,-80778031000.000000,937416029000.000000,-783974273000.000000,-173790030000.000000,123508000.000000,856607000.000000,,,-846586000.000000,-60563286000.000000,-80778031000.000000,-399560826000.000000,-83806278000.000000,,,,,-315754548000.000000,,-399560826000.000000,436760483000.000000,,982507190000.000000,,,,-417034798000.000000,,-84726181000.000000,,,,-43985728000.000000,436760483000.000000,-43578374000.000000,288450000.000000,147045214000.000000,4871726000.000000,108627016000.000000
12M 2019,-2481802000.000000,1001484212000.000000,-698183353000.000000,-248907790000.000000,-29946473000.000000,,,,,-26928398000.000000,-2481802000.000000,-30787081000.000000,-30636917000.000000,,937140000.000000,,-1641442000.000000,,554138000.000000,-30787081000.000000,32048810000.000000,,1909988830000.000000,,-200000000000.000000,,-1524673043000.000000,,-90562792000.000000,-102156000.000000,,,-62602029000.000000,32048810000.000000,-1220073000.000000,-839629000.000000,108627016000.000000,,106567314000.000000
12M 2020,259484562000.000000,1156847685000.000000,-675003986000.000000,-236080266000.000000,10631138000.000000,,,,,3089991000.000000,259484562000.000000,-25834517000.000000,-26968349000.000000,,1474053000.000000,,-1207329000.000000,,867108000.000000,-25834517000.000000,-279827439000.000000,,2190263200000.000000,,,,-2306476203000.000000,,-69168141000.000000,,,,-94446295000.000000,-279827439000.000000,-46177394000.000000,-196397000.000000,106567314000.000000,,60193523000.000000
12M 2021,189923155000.000000,1080497115000.000000,-662104415000.000000,-242257972000.000000,-1947487000.000000,2377829000.000000,30589478000.000000,,,-17231393000.000000,189923155000.000000,-10344930000.000000,-7227048000.000000,,1003424000.000000,-4293632000.000000,-1794853000.000000,,1967179000.000000,-10344930000.000000,-145242664000.000000,,1688612030000.000000,,,,-1730000000000.000000,,-19509192000.000000,,,-4586171000.000000,-79759331000.000000,-145242664000.000000,34335561000.000000,-179208000.000000,60193523000.000000,,94349876000.000000
12M 2022,172983076000.000000,1160701803000.000000,-759082236000.000000,-261109879000.000000,50826000.000000,665795000.000000,27195765000.000000,22006416000.000000,,-17445414000.000000,172983076000.000000,-12551116000.000000,-10771560000.000000,,55054000.000000,-2942772000.000000,-1656731000.000000,,2764893000.000000,-12551116000.000000,-107273496000.000000,,1572178116000.000000,,,,-1609083193000.000000,,-9827057000.000000,,-618757000.000000,-3315990000.000000,-56606615000.000000,-107273496000.000000,53158464000.000000,175724000.000000,94349876000.000000,,147684064000.000000
12M 2023,46716509000.000000,939632338000.000000,-658508497000.000000,-271798486000.000000,-66719000.000000,629898000.000000,34060547000.000000,17221395000.000000,,-14453967000.000000,46716509000.000000,-10516886000.000000,-13420053000.000000,,973483000.000000,-120000000.000000,-1078270000.000000,,3127954000.000000,-10516886000.000000,-118116796000.000000,,1365119065000.000000,,,,-1396566025000.000000,,-12924062000.000000,,,-9457573000.000000,-64288201000.000000,-118116796000.000000,-81917173000.000000,69417000.000000,147684064000.000000,,65836308000.000000
12M 2024,141277659000.000000,920808733000.000000,-547384622000.000000,-229034277000.000000,1892571000.000000,364385000.000000,2984011000.000000,4105857000.000000,,-12458999000.000000,141277659000.000000,-12190805000.000000,-9945423000.000000,,553176000.000000,-3500000000.000000,-1748764000.000000,,2450206000.000000,-12190805000.000000,-103170095000.000000,,348457593000.000000,,,,-392664182000.000000,,-78623000.000000,,,-7188006000.000000,-51696877000.000000,-103170095000.000000,25916759000.000000,251188000.000000,65836308000.000000,,92004255000.000000
