Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,1002126037000.000000,-436890484000.000000,565235553000.000000,-378128462000.000000,-270806365000.000000,-107029362000.000000,-292735000.000000,-378128462000.000000,187107091000.000000,-15758901000.000000,-16967661000.000000,1208760000.000000,-15758901000.000000,171348190000.000000,-46082129000.000000,125266061000.000000,-2859308000.000000,122406753000.000000,125266061000.000000,125266061000.000000,,125266061000.000000,122406753000.000000,122406753000.000000,,122406753000.000000
12M 2018,1022969624000.0,-439945331000.0,583024293000.0,-366485904000.0,-269026064000.0,-120287617000.0,22827777000.0,-366485904000.0,216538389000.0,-38968669000.0,-39928722000.0,960053000.0,-38968669000.0,177569720000.0,-44277206000.0,133292514000.0,22553761000.0,155846275000.0,133292514000.0,132306708000.0,985806000.0,133292514000.0,155846275000.0,154862500000.0,983775000.0,155846275000.0
12M 2019,1105420197000.0,-495935504000.0,609484693000.0,-417899943000.0,-315132534000.0,-123064978000.0,20297569000.0,-417899943000.0,191584750000.0,-61928235000.0,-62602029000.0,673794000.0,-61928235000.0,129656515000.0,-27346391000.0,102310124000.0,22217740000.0,124527864000.0,102310124000.0,102033530000.0,276594000.0,102310124000.0,124527864000.0,124241292000.0,286572000.0,124527864000.0
12M 2020,980556653000.0,-457069539000.0,523487114000.0,-367050020000.0,-317599442000.0,-116090763000.0,66640185000.0,-367050020000.0,156437094000.0,-92353715000.0,-94446295000.0,2092580000.0,-92353715000.0,64083379000.0,-15418230000.0,48665149000.0,2753092000.0,51418241000.0,48665149000.0,48487861000.0,177288000.0,48665149000.0,51418241000.0,51258840000.0,159401000.0,51418241000.0
12M 2021,1051444342000.000000,-531914614000.000000,519529728000.000000,-429256131000.000000,-429447920000.000000,,191789000.000000,-429256131000.000000,90273597000.000000,-77381502000.000000,-79759331000.000000,2377829000.000000,-77381502000.000000,12892095000.000000,-1595144000.000000,11296951000.000000,8001490000.000000,19298441000.000000,11296951000.000000,11070907000.000000,226044000.000000,11296951000.000000,19298441000.000000,19064183000.000000,234258000.000000,19298441000.000000
12M 2022,1168474434000.000000,-584381039000.000000,584093395000.000000,-483062096000.000000,-489647237000.000000,,6585141000.000000,-483062096000.000000,101031299000.000000,-59529182000.000000,-60194977000.000000,665795000.000000,-59529182000.000000,41502117000.000000,-14106863000.000000,27395254000.000000,2614171000.000000,30009425000.000000,27395254000.000000,28069871000.000000,-674617000.000000,27395254000.000000,30009425000.000000,30733987000.000000,-724562000.000000,30009425000.000000
12M 2023,1003571884000.000000,-495706317000.000000,507865567000.000000,-435764408000.000000,-439996297000.000000,,4231889000.000000,-435764408000.000000,72101159000.000000,-63658303000.000000,-64288201000.000000,629898000.000000,-63658303000.000000,8442856000.000000,-518861000.000000,7923995000.000000,3912910000.000000,11836905000.000000,7923995000.000000,7871212000.000000,52783000.000000,7923995000.000000,11836905000.000000,11809997000.000000,26908000.000000,11836905000.000000
12M 2024,744694626000.000000,-474034804000.000000,270659822000.000000,-568610582000.000000,-476116931000.000000,,-92493651000.000000,-568610582000.000000,-297950760000.000000,-59298915000.000000,-59663300000.000000,364385000.000000,-59298915000.000000,-357249675000.000000,66616701000.000000,-290632974000.000000,1912861000.000000,-288720113000.000000,-290632975000.000000,-285069165000.000000,-5563810000.000000,-290632975000.000000,-288720115000.000000,-282714298000.000000,-6005817000.000000,-288720115000.000000
