Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pengeluaran Kas Kepada Pemasok,Pengeluaran Kas Kepada Karyawan,Pembayaran Bunga Dan Beban Keuangan,Penempatan Atas Kas Yang Dibatasi Penggunaannya,Penarikan Kas Yang Dibatasi Penggunaannya,Pengembalian Pajak,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penerimaan Dividen,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Perolehan Properti Investasi,Hasil Penjualan Aset Lain-Lain,Penerimaan Lain-Lain Dari Penjualan Tanah Dan Bangunan,Penerimaan Pengembalian Uang Muka Pembelian Pesawat,Penerimaan Pengembalian Dana Pemeliharaan Pesawat,Penerimaan Uang Jaminan,Pengeluaran Untuk Dana Pemeliharaan Pesawat,Uang Muka Pembelian Pesawat,Uang Muka Untuk Perolehan Aset Tetap,Investasi Pada Entitas Anak,Pengeluaran Untuk Perolehan Aset Pemeliharaan Pesawat,Perolehan Aset Tetap,Pembayaran Uang Jaminan,Pencairan (Penempatan) Deposito Berjangka,Penambahan Aset Tidak Berwujud,Penerimaan Lainnya Dari Aktivitas Investasi,Pembayaran Lainnya Dari Aktivitas Investasi,Pengeluaran Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,(Pembayaran)/Penerimaan Liabilitas Anjak Piutang-Bersih,Penerimaan Dari Penerbitan Modal Saham Kepentingan Non Pengendali,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Sukuk,Pembayaran Untuk Penarikan Kembali Obligasi,Penerimaan Utang Obligasi,Pembayaran Utang Obligasi,(Pembayaran)/Penerimaan Pinjaman Efek Beragun Aset,Penerimaan Dari Penawaran Saham,Pembayaran Dividen Oleh Entitas Anak Kepada Kepentingan Nonpengendalinya,Penerimaan Kas Dari Penjualan Saham,Penerimaan Kas Dari Tambahan Modal Disetor,"Hasil Dari Penawaran Umum Saham Perdana, Bersih",Pembayaran Biaya Pengembalian Pesawat,Pembayaran Dividen Ke Pemegang Saham Minoritas,Pengeluaran Untuk Dana Cadangan Pemeliharaan Pesawat,Penurunan (Kenaikan) Kas Yang Dibatasi Penggunaannya,Penerimaan (Pembayaran) Untuk Aktivitas Pendanaan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2009,1369760695817.000000,17095304153534.000000,-12554058896624.000000,-2837441847318.000000,-141520432939.000000,,,,-192522280836.000000,,1369760695817.000000,-1590033188794.000000,97709955977.000000,18475948559.000000,20653709665.000000,5000000000.000000,,,45077044000.000000,447650079845.000000,204433121381.000000,188028510220.000000,-630481914583.000000,-809477710371.000000,-320785532065.000000,,-107982102035.000000,-317160335117.000000,-377214002882.000000,3600000000.000000,,,,-57559961388.000000,-1590033188794.000000,-601712783918.000000,56095272948.000000,-751319055661.000000,,,208634195711.000000,-99541328482.000000,,,,,,,,,,,,,,,,-142926881.000000,,-92307903.000000,-15346633650.000000,-601712783918.000000,,-821985276895.000000,2601788985919.000000,-57312204091.000000,1722491504933.000000
12M 2010,1602135109198.000000,19727946231008.000000,-15394665319384.000000,-2530137098586.000000,-123502566481.000000,,,,-77506137359.000000,,1602135109198.000000,-945514087803.000000,37053110998.000000,15340601799.000000,24685216913.000000,6306000000.000000,,,,1093954595645.000000,327800615892.000000,33110582972.000000,-1279545343704.000000,-449178334807.000000,-272745252834.000000,,-16071544526.000000,-272076925795.000000,-204350510627.000000,,,11000000000.000000,-796899729.000000,,-945514087803.000000,-1137893716606.000000,321148123027.000000,-1542812737418.000000,,,509521802672.000000,-409191700674.000000,,,,,,,,,,,,,,,,-70863205.000000,,323892860.000000,-16812233868.000000,-1137893716606.000000,,-481272695211.000000,1722491504933.000000,-63835575951.000000,1177383233771.000000
12M 2011,1903319583356.000000,26982873262078.000000,-21343417015896.000000,-3505713872008.000000,-115672709871.000000,,,,-114750080947.000000,,1903319583356.000000,-2231751451857.000000,173676663770.000000,11590604977.000000,174093432359.000000,9719307504.000000,,76425892054.000000,,121717715279.000000,156387851589.000000,61638657434.000000,-1189990236718.000000,-1098932688572.000000,-67540408914.000000,,-17902644813.000000,-375204194752.000000,-270853264171.000000,,,3421861117.000000,,,-2231751451857.000000,2823402836797.000000,799958704730.000000,-837752592967.000000,,,168887703452.000000,-478440614785.000000,,,,,,,,,,,,,,3187020395046.000000,,,,-16270758679.000000,,2823402836797.000000,,2494970968296.000000,1177383233771.000000,111292131306.000000,3783646333373.000000
12M 2012,364685554.000000,3303464135.000000,-2520504898.000000,-390157600.000000,-13655445.000000,,,,-14460638.000000,,364685554.000000,-524398944.000000,7003496.000000,1897701.000000,3893794.000000,,,,,73495873.000000,17143158.000000,3974307.000000,-180440276.000000,-373812834.000000,-27265181.000000,,-3096135.000000,-29335992.000000,-18183897.000000,327042.000000,,,,,-524398944.000000,75457955.000000,206260009.000000,-124540535.000000,,,,,,,39759949.000000,-37336500.000000,,,,,,,,,,,-6559941.000000,,,-933748.000000,-1191279.000000,75457955.000000,,-84255435.000000,417252577.000000,-7212199.000000,325784943.000000
12M 2013,139025923.000000,3828013062.000000,-3204353979.000000,-425242885.000000,-35040542.000000,,,,-24349733.000000,,139025923.000000,-382836665.000000,9892089.000000,1739459.000000,10314619.000000,,,,,398739049.000000,41931995.000000,1101734.000000,-235312053.000000,-442858026.000000,-14259993.000000,,-55864432.000000,-54121268.000000,-43814936.000000,-324902.000000,,,,,-382836665.000000,432274933.000000,431112338.000000,-228479260.000000,,,,,,,181946307.000000,-142398200.000000,,,200259361.000000,,,,,,,,-6677864.000000,,,-1710965.000000,-1776784.000000,432274933.000000,,188464191.000000,325784942.000000,-38988504.000000,475260629.000000
12M 2014,-54152784.000000,4004586542.000000,-3559997794.000000,-427671220.000000,-58915533.000000,,,,-12154779.000000,,-54152784.000000,-255779988.000000,12724000.000000,194733.000000,4770914.000000,,,,,267051525.000000,45738406.000000,15813295.000000,-302532646.000000,-168937917.000000,-14973819.000000,-8606557.000000,-14763356.000000,,-40791017.000000,,,191953.000000,,-51659502.000000,-255779988.000000,252919439.000000,481920742.000000,-371971858.000000,,,,,,,172085834.000000,-162680475.000000,,,,,,133511711.000000,,,,,-2883214.000000,,,2751957.000000,184742.000000,252919439.000000,,-57013333.000000,480429053.000000,10911778.000000,434327498.000000
12M 2015,179399348.000000,3769410803.000000,-3102317745.000000,-405976381.000000,-69855783.000000,,,,-11861546.000000,,179399348.000000,-199952498.000000,6597482.000000,10686697.000000,1659360.000000,,,,,232788003.000000,9336989.000000,20680984.000000,-315919637.000000,-70282089.000000,-12115837.000000,,-16528215.000000,,-26363964.000000,,,2642824.000000,,-43135095.000000,-199952498.000000,181386979.000000,78196510.000000,-676547731.000000,,,,,,,1173194154.000000,-892533705.000000,496280000.000000,,,,,,,,,,-67483.000000,,,3618439.000000,-753205.000000,181386979.000000,,160833829.000000,434327498.000000,-75188672.000000,519972655.000000
12M 2016,107532264.000000,3868012178.000000,-3170901643.000000,-482507564.000000,-84522027.000000,,,,-22548680.000000,,107532264.000000,-307091112.000000,7180596.000000,433502.000000,5698791.000000,1441498.000000,,,,59111963.000000,29487113.000000,39144528.000000,-354844553.000000,-24748673.000000,-4749209.000000,,-7490197.000000,,-17166487.000000,,,,-1329643.000000,-39260341.000000,-307091112.000000,267480911.000000,59656335.000000,-126456343.000000,,,,,,,1359271806.000000,-1024441948.000000,,,,,,,,,,,-237613.000000,,,-49615.000000,-261711.000000,267480911.000000,,67922063.000000,519972655.000000,-9191979.000000,578702739.000000
12M 2017,-61665293.000000,4108864583.000000,-3540737186.000000,-510589158.000000,-93266467.000000,,,,-25937065.000000,,-61665293.000000,-376232673.000000,6196164.000000,457237.000000,427949.000000,,,,,19976942.000000,43288153.000000,15302946.000000,-380483559.000000,-36993228.000000,-2789355.000000,,-7864706.000000,,-4494259.000000,,,,,-29256957.000000,-376232673.000000,161633596.000000,,-88938020.000000,,,,,,,1763933988.000000,-1594938764.000000,,,,,,82350342.000000,,,,,,,,374009.000000,-1147959.000000,161633596.000000,,-276264370.000000,578702739.000000,4480576.000000,306918945.000000
12M 2018,270751794.000000,4575378914.000000,-3686125869.000000,-492870541.000000,-102680915.000000,,,,-22949795.000000,,270751794.000000,-310345994.000000,3695161.000000,633621.000000,16022.000000,,,,,1000000.000000,101115120.000000,12847621.000000,-362910700.000000,-3130300.000000,-3827609.000000,,-13185676.000000,,-16710287.000000,,,,-13814063.000000,-16074904.000000,-310345994.000000,2297697.000000,41471882.000000,-74305880.000000,,,,,,,2363075342.000000,-2164877944.000000,,,,-156237798.000000,,,,,,,,-981917.000000,,-2543336.000000,-3302652.000000,2297697.000000,,-37296503.000000,305717850.000000,-17232610.000000,251188737.000000
