Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Tagihan Bruto Kepada Pemberi Kerja,Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Dana Perawatan Pesawat Dan Uang Jaminan,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Obligasi Konversi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Surat Berharga Yang Diterbitkan,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,1722491504933.000000,11000000000.000000,1066610231730.000000,16800344951.000000,1049809886779.000000,1066610231730.000000,,15797503450.000000,618117614050.000000,,778512089650.000000,4212528943813.000000,,1641837903955.000000,213853933744.000000,53906113305.000000,6374882265648.000000,170997091579.000000,,2134416985184.000000,10589894293415.000000,14802423237228.000000,,,6347677546808.000000,218634569901.000000,,48754066876.000000,1218182894813.000000,1266936961689.000000,261995310407.000000,75814553473.000000,,75814553473.000000,1379303983962.000000,,1285737277610.000000,850525703696.000000,,,395366505884.000000,2531629487190.000000,613362680186.000000,6347677546808.000000,5233722113811.000000,,,,,1015868855215.000000,2366768202502.000000,,,255331459294.000000,3637968517011.000000,261422388901.000000,1334331207899.000000,5233722113811.000000,11581399660619.000000,,9120498000000.000000,8402079001.000000,-7439291646859.000000,,,-7439291646859.000000,6952962208.000000,1524462182259.000000,3221023576609.000000,14802423237228.000000,9120499.000000
12M 2010,,,1177383233771.000000,,1253521997326.000000,18780248019.000000,1234741749307.000000,1253521997326.000000,,56219980315.000000,607193889315.000000,,802703227791.000000,3897022328518.000000,,2039687218349.000000,222740640663.000000,223294465167.000000,5602508956465.000000,172626740470.000000,,1508137571547.000000,9768995592661.000000,13666017921179.000000,,,5241275472939.000000,316719689917.000000,,37676755520.000000,1116418222014.000000,1154094977534.000000,278255780663.000000,88865454714.000000,,88865454714.000000,1177920284617.000000,,283354152241.000000,542952462691.000000,,,364800997421.000000,1191107612353.000000,1034311673141.000000,5241275472939.000000,4955286439271.000000,,,,,1617202334913.000000,1742957090777.000000,,,210240457343.000000,3570399883033.000000,11209231023.000000,1373677325215.000000,4955286439271.000000,10196561912210.000000,,9120498000000.000000,8402079001.000000,-6830889752321.000000,,,-6830889752321.000000,12194313088.000000,1159251369201.000000,3469456008969.000000,13666017921179.000000,18240996000.000000
12M 2011,,,3783646333373.000000,,1590706568516.000000,373241478888.000000,1217465089628.000000,1590706568516.000000,,31113927621.000000,720554811432.000000,,658070047356.000000,6784091688298.000000,,3010466915189.000000,143812890590.000000,219525907743.000000,5045541650331.000000,165317596743.000000,34639456986.000000,2606570977230.000000,11225875394812.000000,18009967083110.000000,,,5866977928724.000000,5797997739.000000,,472666804547.000000,571614233872.000000,1044281038419.000000,240758487450.000000,114535294214.000000,,114535294214.000000,1445372619147.000000,,728653269252.000000,494681115141.000000,,,262406132770.000000,1485740517163.000000,1530491974592.000000,5866977928724.000000,4595855640546.000000,,,,,1685367742907.000000,1247839066710.000000,,,240218031499.000000,3173424841116.000000,32280610566.000000,1390150188864.000000,4595855640546.000000,10462833569270.000000,,11320498000000.000000,995422474047.000000,-5974223243992.000000,,,-5974223243992.000000,14913806463.000000,1190522477322.000000,7547133513840.000000,18009967083110.000000,22640996000.000000
12M 2012,,,325784942.000000,,129471098.000000,7109221.000000,122361877.000000,129471098.000000,,7877613.000000,83443877.000000,,89988688.000000,636566218.000000,,461933812.000000,16517489.000000,11462857.000000,798079135.000000,18912898.000000,7217106.000000,567308251.000000,1881431548.000000,2517997766.000000,,,754207052.000000,5651251.000000,,83773489.000000,89696142.000000,173469631.000000,16669543.000000,20407652.000000,,20407652.000000,169268165.000000,,106125048.000000,58132590.000000,,,21795528.000000,186053166.000000,182687644.000000,754207052.000000,648830636.000000,,,,,294822442.000000,148220008.000000,,,30536262.000000,473578712.000000,15019898.000000,160232026.000000,648830636.000000,1403037688.000000,,1146031889.000000,4548037.000000,110598370.000000,,,110598370.000000,1870928.000000,-148089146.000000,1114960078.000000,2517997766.000000,22640996000.000000
12M 2013,,,475260630.000000,,139981363.000000,4034966.000000,135946397.000000,139981363.000000,,8745081.000000,90328457.000000,,104818392.000000,819133923.000000,,617623057.000000,17459916.000000,26209085.000000,863098897.000000,22020790.000000,6822881.000000,581416403.000000,2134651029.000000,2953784952.000000,,,983890767.000000,45222668.000000,,122293726.000000,83892550.000000,206186276.000000,16271886.000000,17037776.000000,,17037776.000000,160967081.000000,,280075641.000000,53268680.000000,,,15060990.000000,348405311.000000,189799769.000000,983890767.000000,852746068.000000,,,,,324619850.000000,138482264.000000,55191260.000000,,162850383.000000,681143757.000000,16987753.000000,154614558.000000,852746068.000000,1836636835.000000,,1146031889.000000,4548037.000000,123920993.000000,5529919.000000,118391074.000000,123920993.000000,1470140.000000,-158822942.000000,1117148117.000000,2953784952.000000,30000000000.000000
12M 2014,,,434327498.000000,,120623827.000000,2747485.000000,117876342.000000,120623827.000000,,8349932.000000,85204399.000000,,162009287.000000,810514943.000000,,786933317.000000,545647.000000,107412835.000000,922994362.000000,26818510.000000,6047329.000000,439549035.000000,2290301035.000000,3100815978.000000,,,1219365356.000000,75312110.000000,,111563071.000000,104026360.000000,215589431.000000,24196608.000000,18458721.000000,,18458721.000000,224597949.000000,,368945183.000000,12933174.000000,,,39262253.000000,421140610.000000,240069927.000000,1219365356.000000,964738102.000000,,,,,446699347.000000,105965183.000000,,159758003.000000,73526187.000000,785948720.000000,2997485.000000,175791897.000000,964738102.000000,2184103458.000000,,1309433569.000000,-33948489.000000,-253830286.000000,6081861.000000,-259912147.000000,-253830286.000000,12773917.000000,-117716191.000000,916712520.000000,3100815978.000000,25868926633.000000
12M 2015,,,519972655.000000,,121527641.000000,2318588.000000,119209053.000000,121527641.000000,,17581553.000000,91631231.000000,,257134925.000000,1007848005.000000,,1012753651.000000,399772.000000,104990625.000000,867089209.000000,55390166.000000,4648523.000000,256891035.000000,2302162981.000000,3310010986.000000,,,1195849121.000000,361254270.000000,,44963436.000000,104392331.000000,149355767.000000,49901950.000000,80997046.000000,,80997046.000000,181042507.000000,,103936071.000000,15125233.000000,,,53155762.000000,172217066.000000,201080515.000000,1195849121.000000,1163438680.000000,,,,,133022468.000000,106055960.000000,,635947442.000000,69448854.000000,944474724.000000,1661989.000000,217301967.000000,1163438680.000000,2359287801.000000,,1309433569.000000,-33948489.000000,-213964526.000000,6081861.000000,-220046387.000000,-213964526.000000,17202429.000000,-127999798.000000,950723185.000000,3310010986.000000,25868926633.000000
12M 2016,,,578702739.000000,,191295565.000000,3716431.000000,187579134.000000,191295565.000000,,21172730.000000,108954457.000000,,265007811.000000,1165133302.000000,,1241870703.000000,427479.000000,108493964.000000,926666977.000000,57772474.000000,4992892.000000,232211599.000000,2572436088.000000,3737569390.000000,,,1563576121.000000,698011118.000000,,91412955.000000,129019003.000000,220431958.000000,35583709.000000,39458951.000000,,39458951.000000,197983396.000000,,61696994.000000,22311219.000000,,,27319726.000000,111327939.000000,260779050.000000,1563576121.000000,1164096050.000000,,,,,132418213.000000,138588227.000000,,641041165.000000,86550585.000000,998598190.000000,2055561.000000,163442299.000000,1164096050.000000,2727672171.000000,,1309433569.000000,-33948489.000000,-214987869.000000,6081861.000000,-221069730.000000,-214987869.000000,17091271.000000,-67691263.000000,1009897219.000000,3737569390.000000,25868926633.000000
12M 2017,,,306918945.000000,,229250088.000000,7738669.000000,221511419.000000,229250088.000000,,42993404.000000,131155717.000000,,276423473.000000,986741627.000000,,1506626547.000000,511344.000000,69511409.000000,900657607.000000,67433865.000000,3424645.000000,228385049.000000,2776550466.000000,3763292093.000000,,,1921846147.000000,868378784.000000,,95136627.000000,128886122.000000,224022749.000000,43412813.000000,49698754.000000,,49698754.000000,202761501.000000,,64001397.000000,13801586.000000,147320207.000000,,18045272.000000,243168462.000000,290403084.000000,1921846147.000000,903976746.000000,,,,,60355645.000000,66893867.000000,,494707567.000000,101346802.000000,723303881.000000,1685345.000000,178987520.000000,903976746.000000,2825822893.000000,,1310326950.000000,23526520.000000,-443402426.000000,6081861.000000,-449484287.000000,-443402426.000000,42687495.000000,4330661.000000,937469200.000000,3763292093.000000,25886576254.000000
12M 2018,,,251758660.000000,,414100677.000000,62439198.000000,351661479.000000,414100677.000000,,280808848.000000,176457029.000000,,233849526.000000,1356974740.000000,,1683138397.000000,673004.000000,54178361.000000,944002399.000000,81155552.000000,1476348.000000,250060885.000000,3014684946.000000,4371659686.000000,,,2451116662.000000,1047132765.000000,,247998777.000000,154328620.000000,402327397.000000,120549414.000000,78247776.000000,,78247776.000000,233169596.000000,,25536141.000000,14261210.000000,,,56067107.000000,95864458.000000,473825256.000000,2451116662.000000,1010354652.000000,,,,,77536546.000000,52588888.000000,,496845180.000000,124895098.000000,751865712.000000,788664.000000,257700276.000000,1010354652.000000,3461471314.000000,,1310326950.000000,23526520.000000,-409776306.000000,6081861.000000,-415858167.000000,-409776306.000000,46803140.000000,-60691932.000000,910188372.000000,4371659686.000000,25886576254.000000
