Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Penghasilan Bunga,Penerimaan Dari Restitusi Pajak,Penerimaan Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Dan Proses Likuidasi Entitas Anak,Hasil Penjualan Aset Tetap,Hasil Pelepasan Entitas Anak,Hasil Penjualan Investasi Pada Entitas Asosiasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Pencairan (Penempatan) Deposito Berjangka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Perolehan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Perolehan Saham Treasuri,Pembayaran Utang Lain-Lain,Penerimaan Dari Konversi Waran,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Pinjaman Pembelian Aset Tetap,Penambahan Modal Tanpa Melalui Penambahan Modal Terlebih Dahulu,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,79992000000.000000,1798374000000.000000,-1641635000000.000000,,-59959000000.000000,-16788000000.000000,,,,79992000000.000000,-195016000000.000000,,,,,,-213011000000.000000,17995000000.000000,-195016000000.000000,104472000000.000000,114833000000.000000,,28933000000.000000,,-13345000000.000000,,7556000000.000000,,,,-33505000000.000000,104472000000.000000,-10552000000.000000,153947000000.000000,,143395000000.000000
12M 2009,239422000000.000000,1908088000000.000000,-1602665000000.000000,,-61177000000.000000,-3949000000.000000,,,-875000000.000000,239422000000.000000,-95326000000.000000,,2838000000.000000,,,,-101396000000.000000,3232000000.000000,-95326000000.000000,-229662000000.000000,50868000000.000000,,-258370000000.000000,,-202000000.000000,,228000000.000000,,,,-22186000000.000000,-229662000000.000000,-85566000000.000000,143395000000.000000,,57829000000.000000
12M 2010,157306000000.000000,2307070000000.000000,-2139645000000.000000,,,-10119000000.000000,,,,157306000000.000000,-148016000000.000000,,1966000000.000000,,,,-146758000000.000000,-3224000000.000000,-148016000000.000000,112585000000.000000,243597000000.000000,,-96849000000.000000,,,,1787000000.000000,,,,-35950000000.000000,112585000000.000000,121875000000.000000,57829000000.000000,-1942000000.000000,177762000000.000000
12M 2011,74060000000.000000,2577610000000.000000,-2437516000000.000000,,-55902000000.000000,-10132000000.000000,,,,74060000000.000000,-192787000000.000000,,32000000.000000,150000000.000000,,-21462000000.000000,-163689000000.000000,-7818000000.000000,-192787000000.000000,67715000000.000000,96100000000.000000,-120606000000.000000,303791000000.000000,-157145000000.000000,,,1538000000.000000,-7201000000.000000,,,-48762000000.000000,67715000000.000000,-51012000000.000000,177762000000.000000,32000000.000000,126782000000.000000
12M 2012,1646000000.000000,2327244000000.000000,-2236436000000.000000,,-67443000000.000000,-22643000000.000000,,,924000000.000000,1646000000.000000,-165675000000.000000,,,,16498000000.000000,-40486000000.000000,-142985000000.000000,1298000000.000000,-165675000000.000000,135396000000.000000,184532000000.000000,-41751000000.000000,2340000000.000000,-38889000000.000000,,,39454000000.000000,-10290000000.000000,,,,135396000000.000000,-28633000000.000000,126782000000.000000,577000000.000000,98726000000.000000
12M 2013,222244000000.000000,2866716000000.000000,-2547784000000.000000,,-91288000000.000000,-5400000000.000000,,,,222244000000.000000,-216365000000.000000,14695000000.000000,1255000000.000000,,,-50891000000.000000,-193313000000.000000,11889000000.000000,-216365000000.000000,-52227000000.000000,29683000000.000000,,9360000000.000000,-65609000000.000000,-8809000000.000000,,,-16852000000.000000,,,,-52227000000.000000,-46348000000.000000,98726000000.000000,1062000000.000000,53440000000.000000
12M 2014,68190000000.000000,2383722000000.000000,-2208180000000.000000,,-114335000000.000000,-8127000000.000000,,,15110000000.000000,68190000000.000000,-315180000000.000000,,3000000000.000000,,,-23344000000.000000,-290534000000.000000,-4302000000.000000,-315180000000.000000,228393000000.000000,86027000000.000000,,261400000000.000000,-100739000000.000000,,,,-18295000000.000000,,,,228393000000.000000,-18597000000.000000,53440000000.000000,42000000.000000,34885000000.000000
12M 2015,96860000000.000000,2203437000000.000000,-1950548000000.000000,,-134751000000.000000,-22233000000.000000,,,955000000.000000,96860000000.000000,-233195000000.000000,,,,,-62750000000.000000,-136109000000.000000,-34336000000.000000,-233195000000.000000,131383000000.000000,62665000000.000000,,160000000000.000000,-130482000000.000000,,,,-10654000000.000000,,49854000000.000000,,131383000000.000000,-4952000000.000000,34885000000.000000,850000000.000000,30783000000.000000
12M 2016,287744000000.000000,3279940000000.000000,-2830901000000.000000,,-147782000000.000000,-16781000000.000000,,,3268000000.000000,287744000000.000000,-83183000000.000000,,,,,-8512000000.000000,-110463000000.000000,35792000000.000000,-83183000000.000000,-51619000000.000000,19477000000.000000,,223300000000.000000,-309800000000.000000,22775000000.000000,,,-7371000000.000000,,,,-51619000000.000000,152942000000.000000,30782000000.000000,-178000000.000000,183546000000.000000
12M 2017,69285000000.000000,2627368000000.000000,-2431080000000.000000,,-134643000000.000000,-5362000000.000000,,,13002000000.000000,69285000000.000000,-120958000000.000000,,,,,-1126000000.000000,-119084000000.000000,-748000000.000000,-120958000000.000000,-65584000000.000000,,-77571000000.000000,114000000000.000000,-78847000000.000000,,,,-847000000.000000,-11072000000.000000,,-11247000000.000000,-65584000000.000000,-117257000000.000000,183546000000.000000,141000000.000000,66430000000.000000
12M 2018,26016000000.000000,2715523000000.000000,-2536275000000.000000,,-138449000000.000000,-14783000000.000000,,,,26016000000.000000,-176976000000.000000,,,,,-15422000000.000000,-134250000000.000000,-27304000000.000000,-176976000000.000000,137019000000.000000,90004000000.000000,,75000000000.000000,,,,,-9000000.000000,-9980000000.000000,,-17996000000.000000,137019000000.000000,-13941000000.000000,66430000000.000000,645000000.000000,53134000000.000000
12M 2019,271140000000.000000,3349730000000.000000,-2917813000000.000000,,-145577000000.000000,-15448000000.000000,,,248000000.000000,271140000000.000000,-41139000000.000000,,,,,,-67424000000.000000,26285000000.000000,-41139000000.000000,-258604000000.000000,-104337000000.000000,,,-117100000000.000000,,,,-14672000000.000000,,,-22495000000.000000,-258604000000.000000,-28603000000.000000,53134000000.000000,-323000000.000000,24208000000.000000
12M 2020,193682000000.000000,2898818000000.000000,-2592402000000.000000,,-125130000000.000000,-4556000000.000000,,,16952000000.000000,193682000000.000000,-62826000000.000000,,,,,,-66192000000.000000,3366000000.000000,-62826000000.000000,-91202000000.000000,50000000000.000000,-29757000000.000000,66000000000.000000,-137400000000.000000,,,,,-13051000000.000000,,-26994000000.000000,-91202000000.000000,39654000000.000000,24208000000.000000,160000000.000000,64022000000.000000
12M 2021,233809000000.000000,3432120000000.000000,-3073802000000.000000,,-116349000000.000000,-12875000000.000000,,,4715000000.000000,233809000000.000000,-98655000000.000000,,,,,,-96761000000.000000,-1894000000.000000,-98655000000.000000,-139388000000.000000,8786000000.000000,,125000000000.000000,-215240000000.000000,,,,,-30940000000.000000,,-26994000000.000000,-139388000000.000000,-4234000000.000000,64022000000.000000,241000000.000000,60029000000.000000
12M 2022,31245000000.000000,3699505000000.000000,-3539387000000.000000,,-107476000000.000000,-21397000000.000000,,,,31245000000.000000,-107781000000.000000,,,,,,-109813000000.000000,2032000000.000000,-107781000000.000000,81001000000.000000,74260000000.000000,,200000000000.000000,-132160000000.000000,,,,,-25107000000.000000,,-35992000000.000000,81001000000.000000,4465000000.000000,60029000000.000000,891000000.000000,65385000000.000000
