Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Utang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembelian Aset Tetap,Utang Lain-Lain,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Goodwill,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,143395000000.000000,,5656000000.000000,164503000000.000000,67170000000.000000,97333000000.000000,164503000000.000000,874000000.000000,,,874000000.000000,239894000000.000000,158707000000.000000,713029000000.000000,,,2100000000.000000,971180000000.000000,7042000000.000000,497000000.000000,4902000000.000000,985721000000.000000,1698750000000.000000,,,680717000000.000000,171096000000.000000,,22912000000.000000,44374000000.000000,67286000000.000000,21643000000.000000,10333000000.000000,14489000000.000000,51529000000.000000,,,,331452000000.000000,12889000000.000000,344341000000.000000,,680717000000.000000,369942000000.000000,,,,,254549000000.000000,,254549000000.000000,36563000000.000000,65346000000.000000,600000000.000000,12884000000.000000,369942000000.000000,1050659000000.000000,,469368000000.000000,96486000000.000000,45935000000.000000,4500000000.000000,41435000000.000000,45935000000.000000,29241000000.000000,7061000000.000000,648091000000.000000,1698750000000.000000,3754944833.000000
12M 2009,,,57829000000.000000,,2424000000.000000,207021000000.000000,84810000000.000000,122211000000.000000,207021000000.000000,541000000.000000,,,541000000.000000,165289000000.000000,103334000000.000000,536438000000.000000,,,2100000000.000000,1054857000000.000000,552000000.000000,373000000.000000,4504000000.000000,1062386000000.000000,1598824000000.000000,,,514068000000.000000,214329000000.000000,,59130000000.000000,27785000000.000000,86915000000.000000,37681000000.000000,15375000000.000000,9680000000.000000,44235000000.000000,,,,105468000000.000000,385000000.000000,105853000000.000000,,514068000000.000000,302133000000.000000,,,,,174082000000.000000,,174082000000.000000,40900000000.000000,71452000000.000000,569000000.000000,15130000000.000000,302133000000.000000,816201000000.000000,,469596000000.000000,96486000000.000000,170164000000.000000,5000000000.000000,165164000000.000000,170164000000.000000,38583000000.000000,7794000000.000000,782623000000.000000,1598824000000.000000,3756771333.000000
12M 2010,,,177762000000.000000,,5648000000.000000,284689000000.000000,103362000000.000000,181327000000.000000,284689000000.000000,2281000000.000000,,,2281000000.000000,293639000000.000000,71588000000.000000,835607000000.000000,,,12054000000.000000,1117614000000.000000,34000000.000000,249000000.000000,2075000000.000000,1132026000000.000000,1967633000000.000000,,,811791000000.000000,457153000000.000000,,16993000000.000000,88244000000.000000,105237000000.000000,20026000000.000000,12433000000.000000,9166000000.000000,,,,,107350000000.000000,100426000000.000000,207776000000.000000,,811791000000.000000,353832000000.000000,,,,,173912000000.000000,29801000000.000000,203713000000.000000,41084000000.000000,91298000000.000000,537000000.000000,17200000000.000000,353832000000.000000,1165623000000.000000,,471383000000.000000,96486000000.000000,194070000000.000000,5500000000.000000,188570000000.000000,194070000000.000000,39300000000.000000,771000000.000000,802010000000.000000,1967633000000.000000,3771065999.000000
12M 2011,,,126782000000.000000,,13466000000.000000,319333000000.000000,104626000000.000000,214707000000.000000,319333000000.000000,1675000000.000000,,,1675000000.000000,387085000000.000000,58660000000.000000,907001000000.000000,,,4243000000.000000,1210049000000.000000,,,1992000000.000000,1216284000000.000000,2123285000000.000000,,,725374000000.000000,435676000000.000000,,17046000000.000000,157571000000.000000,174617000000.000000,9762000000.000000,19386000000.000000,5057000000.000000,,,,5280000000.000000,44282000000.000000,31314000000.000000,80876000000.000000,,725374000000.000000,586880000000.000000,,,,7262000000.000000,396956000000.000000,15657000000.000000,419875000000.000000,41727000000.000000,105737000000.000000,,19541000000.000000,586880000000.000000,1312254000000.000000,,472921000000.000000,96486000000.000000,204973000000.000000,6000000000.000000,198973000000.000000,204973000000.000000,43156000000.000000,-6505000000.000000,811031000000.000000,2123285000000.000000,3783367329.000000
12M 2012,,,98726000000.000000,,12168000000.000000,502424000000.000000,107870000000.000000,394554000000.000000,502424000000.000000,2260000000.000000,2260000000.000000,,2260000000.000000,300744000000.000000,110138000000.000000,1026460000000.000000,,,,1271236000000.000000,,,1976000000.000000,1273212000000.000000,2299672000000.000000,,,907065000000.000000,578457000000.000000,,28892000000.000000,149192000000.000000,178084000000.000000,4956000000.000000,18046000000.000000,6622000000.000000,,,,8780000000.000000,67094000000.000000,45026000000.000000,120900000000.000000,,907065000000.000000,538472000000.000000,,,,6595000000.000000,357053000000.000000,,363648000000.000000,43488000000.000000,109948000000.000000,,21388000000.000000,538472000000.000000,1445537000000.000000,,512375000000.000000,96486000000.000000,210022000000.000000,6500000000.000000,203522000000.000000,210022000000.000000,43191000000.000000,-7939000000.000000,854135000000.000000,2299672000000.000000,4098997362.000000
12M 2013,,,53440000000.000000,,279000000.000000,663754000000.000000,181057000000.000000,482697000000.000000,663754000000.000000,3031000000.000000,,,3031000000.000000,232695000000.000000,140880000000.000000,1094079000000.000000,,,,1271806000000.000000,,,16990000000.000000,1288796000000.000000,2382875000000.000000,,,1016562000000.000000,608140000000.000000,,1424000000.000000,26942000000.000000,28366000000.000000,6899000000.000000,19293000000.000000,117000000.000000,,,,11958000000.000000,99106000000.000000,242683000000.000000,353747000000.000000,,1016562000000.000000,481192000000.000000,,,,10149000000.000000,335320000000.000000,18171000000.000000,363640000000.000000,,98513000000.000000,,19039000000.000000,481192000000.000000,1497754000000.000000,,512375000000.000000,103879000000.000000,220811000000.000000,7000000000.000000,213811000000.000000,220811000000.000000,75288000000.000000,-27232000000.000000,885121000000.000000,2382875000000.000000,4098997362.000000
12M 2014,,,34885000000.000000,,4581000000.000000,523316000000.000000,90845000000.000000,432471000000.000000,523316000000.000000,3248000000.000000,,,3248000000.000000,269981000000.000000,152515000000.000000,988526000000.000000,,,,1480942000000.000000,,,7514000000.000000,1488456000000.000000,2476982000000.000000,,,945117000000.000000,694167000000.000000,,3574000000.000000,94041000000.000000,97615000000.000000,4472000000.000000,15111000000.000000,117000000.000000,,,,10501000000.000000,123134000000.000000,,133635000000.000000,,945117000000.000000,618514000000.000000,,,,8077000000.000000,475857000000.000000,,483934000000.000000,,112523000000.000000,,22057000000.000000,618514000000.000000,1563631000000.000000,,512375000000.000000,103879000000.000000,248723000000.000000,7500000000.000000,241223000000.000000,248723000000.000000,75875000000.000000,-27501000000.000000,913351000000.000000,2476982000000.000000,4098997362.000000
12M 2015,,,30782000000.000000,,38917000000.000000,919096000000.000000,118368000000.000000,800728000000.000000,919096000000.000000,3766000000.000000,,,3766000000.000000,370284000000.000000,129520000000.000000,1492365000000.000000,,,,1712330000000.000000,,,61258000000.000000,1773588000000.000000,3265953000000.000000,,,1491109000000.000000,756832000000.000000,,3034000000.000000,534189000000.000000,537223000000.000000,11838000000.000000,17249000000.000000,117000000.000000,,,,7371000000.000000,160479000000.000000,,167850000000.000000,,1491109000000.000000,669593000000.000000,,,,856000000.000000,495702000000.000000,,496558000000.000000,,142255000000.000000,,30780000000.000000,669593000000.000000,2160702000000.000000,,562375000000.000000,103733000000.000000,264296000000.000000,8000000000.000000,256296000000.000000,264296000000.000000,77178000000.000000,97669000000.000000,1105251000000.000000,3265953000000.000000,4498997362.000000
12M 2016,,,183546000000.000000,,3125000000.000000,338623000000.000000,83441000000.000000,255182000000.000000,338623000000.000000,8657000000.000000,2650000000.000000,6007000000.000000,8657000000.000000,452315000000.000000,106094000000.000000,1092360000000.000000,,,,1771780000000.000000,,,67667000000.000000,1839447000000.000000,2931807000000.000000,,,1090816000000.000000,776309000000.000000,,,201744000000.000000,201744000000.000000,14097000000.000000,18558000000.000000,117000000.000000,,,,847000000.000000,79144000000.000000,,79991000000.000000,,1090816000000.000000,676009000000.000000,,,,9000000.000000,485200000000.000000,,485209000000.000000,,152511000000.000000,,38289000000.000000,676009000000.000000,1766825000000.000000,,562375000000.000000,104152000000.000000,295458000000.000000,8500000000.000000,286958000000.000000,295458000000.000000,82014000000.000000,120983000000.000000,1164982000000.000000,2931807000000.000000,4498997362.000000
12M 2017,,,66430000000.000000,,3873000000.000000,448159000000.000000,109160000000.000000,338999000000.000000,448159000000.000000,16879000000.000000,3281000000.000000,13598000000.000000,16879000000.000000,442334000000.000000,49814000000.000000,1027489000000.000000,,,,1863833000000.000000,,,48134000000.000000,1911967000000.000000,2939456000000.000000,,,1019986000000.000000,698738000000.000000,,5212000000.000000,178968000000.000000,184180000000.000000,12214000000.000000,17352000000.000000,118000000.000000,,,9078000000.000000,9000000.000000,98297000000.000000,,107384000000.000000,,1019986000000.000000,724770000000.000000,,14219000000.000000,,,501200000000.000000,,515419000000.000000,,163176000000.000000,,46175000000.000000,724770000000.000000,1744756000000.000000,,562375000000.000000,104152000000.000000,322873000000.000000,9000000000.000000,313873000000.000000,322873000000.000000,86507000000.000000,118793000000.000000,1194700000000.000000,2939456000000.000000,4498997362.000000
